Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1902476,chloride transmembrane transport,19_GO:0051179 localization,-2.2,3.2,3.3,30230,113,584,7,1.2,0.45,1185|1186|2562|9016|9481|56262|57030,CLCN6|CLCN7|GABRB3|SLC25A14|SLC25A27|LRRC8A|SLC17A7,-0.72,MyList
GO Biological Processes,19,GO:0090398,cellular senescence,19_GO:0050896 response to stimulus,-2.2,4.2,3.6,30230,61,584,5,0.86,0.38,406|5580|5602|5609|23411,BMAL1|PRKCD|MAPK10|MAP2K7|SIRT1,-0.72,MyList
Reactome Gene Sets,6,R-HSA-198725,Nuclear Events (kinase and transcription factor activation),,-2.2,4.2,3.6,30230,61,584,5,0.86,0.38,1958|1959|2353|3726|9252,EGR1|EGR2|FOS|JUNB|RPS6KA5,-0.72,MyList
GO Biological Processes,19,GO:0009247,glycolipid biosynthetic process,19_GO:0009987 cellular process,-2.2,3.6,3.4,30230,86,584,6,1,0.42,9517|64924|65258|84302|93183|128869,SPTLC2|SLC30A5|MPPE1|PGAP4|PIGM|PIGU,-0.72,MyList
KEGG Pathway,24,hsa04012,ErbB signaling pathway,,-2.2,3.6,3.4,30230,86,584,6,1,0.42,673|5290|5582|5602|5609|6655,BRAF|PIK3CA|PRKCG|MAPK10|MAP2K7|SOS2,-0.72,MyList
GO Biological Processes,19,GO:0010212,response to ionizing radiation,19_GO:0050896 response to stimulus,-2.2,2.9,3.2,30230,142,584,8,1.4,0.48,1958|3981|11200|23411|29086|51776|54617|84142,EGR1|LIG4|CHEK2|SIRT1|BABAM1|MAP3K20|INO80|ABRAXAS1,-0.72,MyList
GO Cellular Components,20,GO:0099501,exocytic vesicle membrane,,-2.2,2.9,3.2,30230,142,584,8,1.4,0.48,6854|6856|8677|25837|26503|57030|80262|143425,SYN2|SYPL1|STX10|RAB26|SLC17A5|SLC17A7|PHAF1|SYT9,-0.72,MyList
GO Cellular Components,20,GO:0030672,synaptic vesicle membrane,,-2.2,2.9,3.2,30230,142,584,8,1.4,0.48,6854|6856|8677|25837|26503|57030|80262|143425,SYN2|SYPL1|STX10|RAB26|SLC17A5|SLC17A7|PHAF1|SYT9,-0.72,MyList
GO Biological Processes,19,GO:0048839,inner ear development,19_GO:0032502 developmental process,-2.2,2.5,3.1,30230,204,584,10,1.7,0.54,1052|2562|7485|8100|9481|26018|51761|90410|123016|140469,CEBPD|GABRB3|GET1|IFT88|SLC25A27|LRIG1|ATP8A2|IFT20|TTC8|MYO3B,-0.72,MyList
WikiPathways,27,WP4871,Kisspeptin kisspeptin receptor system in the ovary,,-2.2,5.3,3.8,30230,39,584,4,0.68,0.34,5290|5580|5581|5582,PIK3CA|PRKCD|PRKCE|PRKCG,-0.72,MyList
Reactome Gene Sets,6,R-HSA-9031628,NGF-stimulated transcription,,-2.2,5.3,3.8,30230,39,584,4,0.68,0.34,1958|1959|2353|3726,EGR1|EGR2|FOS|JUNB,-0.72,MyList
GO Biological Processes,19,GO:0021696,cerebellar cortex morphogenesis,19_GO:0032502 developmental process,-2.2,5.3,3.8,30230,39,584,4,0.68,0.34,6095|8925|79809|91137,RORA|HERC1|TTC21B|SLC25A46,-0.72,MyList
Reactome Gene Sets,6,R-HSA-5668914,Diseases of metabolism,,-2.2,2.3,3,30230,270,584,12,2.1,0.59,21|1798|10020|10195|10585|11253|29929|29954|55624|56922|91869|113612,ABCA3|DPAGT1|GNE|ALG3|POMT1|MAN1B1|ALG6|POMT2|POMGNT1|MCCC1|RFT1|CYP2U1,-0.72,MyList
GO Biological Processes,19,GO:0006367,transcription initiation at RNA polymerase II promoter,19_GO:0009987 cellular process,-2.2,2.7,3.1,30230,173,584,9,1.5,0.51,1958|2068|2071|2968|6837|6908|8850|9439|200316,EGR1|ERCC2|ERCC3|GTF2H4|MED22|TBP|KAT2B|MED23|APOBEC3F,-0.71,MyList
Reactome Gene Sets,6,R-HSA-9013404,RAC2 GTPase cycle,,-2.2,3.6,3.4,30230,87,584,6,1,0.42,5290|7410|10451|23092|81839|143872,PIK3CA|VAV2|VAV3|ARHGAP26|VANGL1|ARHGAP42,-0.71,MyList
KEGG Pathway,24,hsa05210,Colorectal cancer,,-2.2,3.6,3.4,30230,87,584,6,1,0.42,673|2353|4292|5290|5602|6655,BRAF|FOS|MLH1|PIK3CA|MAPK10|SOS2,-0.71,MyList
Reactome Gene Sets,6,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,,-2.2,4.2,3.5,30230,62,584,5,0.86,0.38,2068|2071|2353|2968|4292,ERCC2|ERCC3|FOS|GTF2H4|MLH1,-0.7,MyList
KEGG Pathway,24,hsa04213,Longevity regulating pathway - multiple species,,-2.2,4.2,3.5,30230,62,584,5,0.86,0.38,3310|5290|5563|23411|51422,HSPA6|PIK3CA|PRKAA2|SIRT1|PRKAG2,-0.7,MyList
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-2.2,1.8,2.8,30230,600,584,21,3.6,0.77,827|3611|3833|3985|4292|5311|8882|9639|9897|11200|23032|23113|23354|26160|54617|64946|80128|84142|84446|84942|85378,CAPN6|ILK|KIFC1|LIMK2|MLH1|PKD2|ZPR1|ARHGEF10|WASHC5|CHEK2|USP33|CUL9|HAUS5|IFT172|INO80|CENPH|TRIM46|ABRAXAS1|BRSK1|WDR73|TUBGCP6,-0.7,MyList
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-2.2,1.7,2.8,30230,717,584,24,4.1,0.82,1959|2562|3611|3988|5797|9252|9638|10079|10479|23032|23405|51324|51542|51761|56978|57728|80067|80128|84446|91137|123016|285527|440275|729920,EGR2|GABRB3|ILK|LIPA|PTPRM|RPS6KA5|FEZ1|ATP9A|SLC9A6|USP33|DICER1|SPG21|VPS54|ATP8A2|PRDM8|WDR19|DCAF17|TRIM46|BRSK1|SLC25A46|TTC8|FRYL|EIF2AK4|CRPPA,-0.7,MyList
WikiPathways,27,WP4673,Male infertility,,-2.2,2.9,3.2,30230,144,584,8,1.4,0.48,406|2068|3981|4292|5192|5428|8476|54514,BMAL1|ERCC2|LIG4|MLH1|PEX10|POLG|CDC42BPA|DDX4,-0.7,MyList
WikiPathways,27,WP4659,Gastrin signaling,,-2.2,3.2,3.2,30230,115,584,7,1.2,0.45,1958|2353|3551|5290|5580|5581|5587,EGR1|FOS|IKBKB|PIK3CA|PRKCD|PRKCE|PRKD1,-0.7,MyList
GO Biological Processes,19,GO:0006664,glycolipid metabolic process,19_GO:0009987 cellular process,-2.2,3.2,3.2,30230,115,584,7,1.2,0.45,20|9517|64924|65258|84302|93183|128869,ABCA2|SPTLC2|SLC30A5|MPPE1|PGAP4|PIGM|PIGU,-0.7,MyList
GO Biological Processes,19,GO:0010256,endomembrane system organization,19_GO:0009987 cellular process,-2.1,1.8,2.8,30230,601,584,21,3.6,0.77,3611|5587|5873|6836|7485|9382|9885|9897|10162|10239|23175|23399|23682|55362|57531|79803|80067|84131|84342|92840|339122,ILK|PRKD1|RAB27A|SURF4|GET1|COG1|OSBPL2|WASHC5|LPCAT3|AP3S2|LPIN1|CTDNEP1|RAB38|TMEM63B|HACE1|HPS6|DCAF17|CEP78|COG8|REEP6|RAB43,-0.69,MyList
GO Biological Processes,19,GO:0007269,neurotransmitter secretion,19_GO:0051179 localization,-2.1,3.5,3.3,30230,88,584,6,1,0.42,6854|9783|23167|84446|93664|143425,SYN2|RIMS3|EFR3A|BRSK1|CADPS2|SYT9,-0.69,MyList
GO Biological Processes,19,GO:0099643,signal release from synapse,19_GO:0051179 localization,-2.1,3.5,3.3,30230,88,584,6,1,0.42,6854|9783|23167|84446|93664|143425,SYN2|RIMS3|EFR3A|BRSK1|CADPS2|SYT9,-0.69,MyList
GO Biological Processes,19,GO:0010232,vascular transport,19_GO:0051179 localization,-2.1,3.5,3.3,30230,88,584,6,1,0.42,20|6515|6533|23428|81539|114134,ABCA2|SLC2A3|SLC6A6|SLC7A8|SLC38A1|SLC2A13,-0.69,MyList
GO Biological Processes,19,GO:0150104,transport across blood-brain barrier,19_GO:0051179 localization,-2.1,3.5,3.3,30230,88,584,6,1,0.42,20|6515|6533|23428|81539|114134,ABCA2|SLC2A3|SLC6A6|SLC7A8|SLC38A1|SLC2A13,-0.69,MyList
