_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.4,R-HSA-448424,Interleukin-17 signaling,M1,1,0
1,-3.1,GO:0110156,mRNA methylguanosine-cap decapping,M1,1,0
1,-2.4,M110,PID IL1 PATHWAY,M1,1,0
1,-3.1,R-HSA-6807047,Cholesterol biosynthesis via desmosterol (Bloch pathway),M1,1,0
1,-7.2,GO:0006661,phosphatidylinositol biosynthetic process,M1,1,0
1,-3.7,GO:1902775,mitochondrial large ribosomal subunit assembly,M1,1,0
1,-2.4,GO:0006622,protein targeting to lysosome,M1,1,0
1,-2.2,GO:0007423,sensory organ development,M1,1,0
1,-4.8,GO:0033365,protein localization to organelle,M1,1,0
1,-3.2,GO:0009060,aerobic respiration,M1,1,0
1,-2.7,GO:0014037,Schwann cell differentiation,M1,1,0
1,-2.6,WP2059,Alzheimer 39 s disease and miRNA effects,M1,1,0
1,-2,R-HSA-8949215,Mitochondrial calcium ion transport,M1,1,0
1,-3.4,GO:0031501,mannosyltransferase complex,M1,1,0
1,-4.3,GO:0006892,post-Golgi vesicle-mediated transport,M1,1,0
1,-2.3,GO:0017156,calcium-ion regulated exocytosis,M1,1,0
1,-2.2,WP5497,Cyclin dependent kinase 4 6 inhibitors in breast cancer,M1,1,0
1,-3.2,GO:0097731,9+0 non-motile cilium,M1,1,0
1,-2.1,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-2.7,hsa04211,Longevity regulating pathway,M1,1,0
1,-3,WP3865,Novel intracellular components of RIG I like receptor pathway,M1,1,0
1,-2.1,hsa04723,Retrograde endocannabinoid signaling,M1,1,0
1,-4.6,GO:0035269,protein O-linked glycosylation via mannose,M1,1,0
1,-2.1,M8,PID ENDOTHELIN PATHWAY,M1,1,0
1,-2.3,hsa05162,Measles,M1,1,0
1,-4.7,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,M1,1,0
1,-4.2,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-4.6,GO:0015918,sterol transport,M1,1,0
1,-4.6,R-HSA-1632852,Macroautophagy,M1,1,0
1,-2.5,GO:0006821,chloride transport,M1,1,0
1,-4.8,GO:0046890,regulation of lipid biosynthetic process,M1,1,0
1,-2.3,GO:0032259,methylation,M1,1,0
1,-5.6,GO:0032007,negative regulation of TOR signaling,M1,1,0
1,-3.8,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-4.3,GO:0006468,protein phosphorylation,M1,1,0
1,-6.1,R-HSA-5620924,Intraflagellar transport,M1,1,0
