"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"UBE2L3",1.23,0.00726926143932859,1.2,0.01,"1.2","<0.01","Up",NA
"UBE2M",0.628,0.00123239091902677,0.6,0,"0.6","<0.01","NS",NA
"UBE2N",0.734,0.0193934796894415,0.7,0.02,"0.7","0.02","NS",NA
"UBE2O",0.0863,0.634635948834129,0.1,0.63,"0.1","0.63","NS",NA
"UBE2Q1",-0.112,0.70315572460377,-0.1,0.7,"-0.1","0.70","NS",NA
"UBE2R2",0.187,0.618341984566119,0.2,0.62,"0.2","0.62","NS",NA
"UBE2S",1.17,1.87200077565711e-05,1.2,0,"1.2","<0.01","Up",NA
"UBE2V1",-0.447,0.348322034901417,-0.4,0.35,"-0.4","0.35","NS",NA
"UBE2V2",0.698,0.0801625470992073,0.7,0.08,"0.7","0.08","NS",NA
"UBE2Z",0.33,0.23873369725654,0.3,0.24,"0.3","0.24","NS",NA
"UBE3A",-0.0855,0.753740707007828,-0.1,0.75,"-0.1","0.75","NS",NA
"UBE3B",0.322,0.724858214584739,0.3,0.72,"0.3","0.72","NS",NA
"UBE3C",0.0635,0.931913199967795,0.1,0.93,"0.1","0.93","NS",NA
"UBE4A",0.409,0.378338100341315,0.4,0.38,"0.4","0.38","NS",NA
"UBE4B",0.798,0.0474619908301894,0.8,0.05,"0.8","0.05","NS",NA
"UBFD1",0.797,0.0117650297748878,0.8,0.01,"0.8","0.01","NS",NA
"UBL4A",1.06,0.00234670099137234,1.1,0,"1.1","<0.01","Up",NA
"UBL5",1.21,0.000934517685527093,1.2,0,"1.2","<0.01","Up",NA
"UBL7",1.22,0.0147899319661937,1.2,0.01,"1.2","0.01","NS",NA
"UBLCP1",0.47,0.0616160930973619,0.5,0.06,"0.5","0.06","NS",NA
"UBP1",-0.16,0.583633250582344,-0.2,0.58,"-0.2","0.58","NS",NA
"UBQLN1",0.0662,0.931695656152547,0.1,0.93,"0.1","0.93","NS",NA
"UBQLN2",0.658,0.29813511753531,0.7,0.3,"0.7","0.30","NS",NA
"UBQLN4",0.594,0.382211356820953,0.6,0.38,"0.6","0.38","NS",NA
"UBR1",-0.649,0.187323873277498,-0.6,0.19,"-0.6","0.19","NS",NA
"UBR2",-1.97,0.163554784240107,-2,0.16,"-2.0","0.16","NS",NA
"UBR4",0.239,0.721992653865929,0.2,0.72,"0.2","0.72","NS",NA
"UBR5",-0.901,0.000867160236106521,-0.9,0,"-0.9","<0.01","NS",NA
"UBR7",-1.66,0.00553623399139044,-1.7,0.01,"-1.7","<0.01","Down",NA
"UBTD1",0.513,0.256438977784672,0.5,0.26,"0.5","0.26","NS",NA
"UBTD2",-0.429,0.263199159893723,-0.4,0.26,"-0.4","0.26","NS",NA
"UBTF",0.394,0.300386346946909,0.4,0.3,"0.4","0.30","NS",NA
"UBXN1",1.15,0.0217740657990242,1.1,0.02,"1.1","0.02","NS",NA
"UBXN2A",1.15,0.0177026825903834,1.1,0.02,"1.1","0.02","NS",NA
"UBXN2B",0.404,0.166371444136275,0.4,0.17,"0.4","0.17","NS",NA
"UBXN4",-0.368,0.287068278274479,-0.4,0.29,"-0.4","0.29","NS",NA
"UBXN6",0.131,0.702678039877427,0.1,0.7,"0.1","0.70","NS",NA
"UBXN7",0.896,0.0101375326311746,0.9,0.01,"0.9","0.01","NS",NA
"UBXN8",-0.373,0.796885390622628,-0.4,0.8,"-0.4","0.80","NS",NA
"UCHL1",0.869,0.00143101482992185,0.9,0,"0.9","<0.01","NS",NA
"UCHL3",1.2,0.000574648741220351,1.2,0,"1.2","<0.01","Up",NA
"UCHL5",0.694,0.0103657096116226,0.7,0.01,"0.7","0.01","NS",NA
"UCK1",0.454,0.142086930615895,0.5,0.14,"0.5","0.14","NS",NA
"UCK2",0.0994,0.662291460154173,0.1,0.66,"0.1","0.66","NS",NA
"UCKL1",-0.27,0.409588744077934,-0.3,0.41,"-0.3","0.41","NS",NA
