"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"GALNT4",-0.422,NA,-0.4,NA,"-0.4",NA,"NS",NA
"GATA4",0.524,0.363171387065459,0.5,0.36,"0.5","0.36","NS",NA
"GCNT1",5.99,6.35729187019201e-05,6,0,"6.0","<0.01","Up",NA
"GHITM",0.588,0.295397128902938,0.6,0.3,"0.6","0.30","NS",NA
"GINM1",-2.59,0.00459172972564362,-2.6,0,"-2.6","<0.01","Down",NA
"GJA1",0.342,0.446652063281071,0.3,0.45,"0.3","0.45","NS",NA
"GJC1",2.06,0.0160990162987251,2.1,0.02,"2.1","0.02","NS",NA
"GK",0.109,0.969867387248759,0.1,0.97,"0.1","0.97","NS",NA
"GLRX",0.434,0.742416728973453,0.4,0.74,"0.4","0.74","NS",NA
"GLRX2",-0.192,0.933368868336477,-0.2,0.93,"-0.2","0.93","NS",NA
"GLT8D1",0.459,0.449600992619844,0.5,0.45,"0.5","0.45","NS",NA
"GNAZ",3.79,0.101798923139031,3.8,0.1,"3.8","0.10","NS",NA
"GNB2",0.284,0.793920087458901,0.3,0.79,"0.3","0.79","NS",NA
"GNG5",0.538,0.61326488967296,0.5,0.61,"0.5","0.61","NS",NA
"GOLGA7",0.11,0.912008394489654,0.1,0.91,"0.1","0.91","NS",NA
"GOLM1",0.636,0.406170483215615,0.6,0.41,"0.6","0.41","NS",NA
"GON4L",0.175,0.821585511869048,0.2,0.82,"0.2","0.82","NS",NA
"GORASP1",-0.159,0.937059575348666,-0.2,0.94,"-0.2","0.94","NS",NA
"GPBP1L1",0.173,0.855118419759931,0.2,0.86,"0.2","0.86","NS",NA
"GPC3",0.112,0.912646342515686,0.1,0.91,"0.1","0.91","NS",NA
"GPC6",0.0154,0.986973917427658,0,0.99,"0.0","0.99","NS",NA
"GPRC5C",-4.13,0.0204145454225492,-4.1,0.02,"-4.1","0.02","NS",NA
"GPRIN3",-0.238,0.818255691495702,-0.2,0.82,"-0.2","0.82","NS",NA
"GRAMD4",-0.262,NA,-0.3,NA,"-0.3",NA,"NS",NA
"GREB1L",-1.97,0.309728955869938,-2,0.31,"-2.0","0.31","NS",NA
"GRIP1",-0.0756,0.981279329879705,-0.1,0.98,"-0.1","0.98","NS",NA
"GSTA4",0.778,NA,0.8,NA,"0.8",NA,"NS",NA
"GTF3C1",0.542,0.0514681833149198,0.5,0.05,"0.5","0.05","NS",NA
"GTF3C6",0.3,0.917146259070976,0.3,0.92,"0.3","0.92","NS",NA
"GUF1",1.01,0.00197111286070685,1,0,"1.0","<0.01","Up",NA
"GXYLT2",-2.86,0.418905154339104,-2.9,0.42,"-2.9","0.42","NS",NA
"H1-6",-0.955,NA,-1,NA,"-1.0",NA,"NS",NA
"HABP2",1.08,NA,1.1,NA,"1.1",NA,"NS",NA
"HAUS5",0.115,0.962356336623672,0.1,0.96,"0.1","0.96","NS",NA
"HDAC8",-0.225,0.957441144468682,-0.2,0.96,"-0.2","0.96","NS",NA
"HDHD5",1.45,0.0041386072453082,1.4,0,"1.4","<0.01","Up",NA
"HERPUD1",-0.445,0.939727827275179,-0.4,0.94,"-0.4","0.94","NS",NA
"HERPUD2",1.22,0.0469712764592833,1.2,0.05,"1.2","0.05","NS",NA
"HGFAC",0.443,0.738383729905904,0.4,0.74,"0.4","0.74","NS",NA
"HIGD2A",0.454,0.822907914571055,0.5,0.82,"0.5","0.82","NS",NA
"HLA-A",0.303,0.451781356662783,0.3,0.45,"0.3","0.45","NS",NA
"HMGCS1",-0.715,0.0104614562944575,-0.7,0.01,"-0.7","0.01","NS",NA
"HMGN3",4.46,0.0388444929755423,4.5,0.04,"4.5","0.04","NS",NA
"HMGN4",-0.414,0.923513810476121,-0.4,0.92,"-0.4","0.92","NS",NA
"HMMR",-0.1,0.896765839702256,-0.1,0.9,"-0.1","0.90","NS",NA
"HMOX1",0.23,0.637326684330584,0.2,0.64,"0.2","0.64","NS",NA
"HMX1",-1.91,0.190358912470375,-1.9,0.19,"-1.9","0.19","NS",NA
"HOXA6",-4.66,0.00505064737332809,-4.7,0.01,"-4.7","<0.01","Down",NA
"HOXB13",-0.181,0.78966750469092,-0.2,0.79,"-0.2","0.79","NS",NA
"HPCAL4",-0.504,0.897206594460925,-0.5,0.9,"-0.5","0.90","NS",NA
"HPRT1",-0.788,0.0406533665895928,-0.8,0.04,"-0.8","0.04","NS",NA
"HPX",0.0393,NA,0,NA,"0.0",NA,"NS",NA
"HSF2",-0.32,0.934797341075715,-0.3,0.93,"-0.3","0.93","NS",NA
"HSPA6",10.6,0.00108523886260361,10.6,0,"10.6","<0.01","Up",NA
"HSPBAP1",1.97,NA,2,NA,"2.0",NA,"NS",NA
"HTD2",-3.72,0.292893184860116,-3.7,0.29,"-3.7","0.29","NS",NA
"HYAL2",0.614,NA,0.6,NA,"0.6",NA,"NS",NA
"ICAM5",0.217,0.948630245301203,0.2,0.95,"0.2","0.95","NS",NA
"IER3IP1",3.48,0.0272753379540032,3.5,0.03,"3.5","0.03","NS",NA
"IFI35",-0.466,NA,-0.5,NA,"-0.5",NA,"NS",NA
"IFNAR1",-0.191,0.851938001837516,-0.2,0.85,"-0.2","0.85","NS",NA
"IFNAR2",-3.97,0.153820773207708,-4,0.15,"-4.0","0.15","NS",NA
"IFNGR1",-0.563,0.839766652945712,-0.6,0.84,"-0.6","0.84","NS",NA
"IFRD1",-0.317,0.67724314369712,-0.3,0.68,"-0.3","0.68","NS",NA
"IFT27",-0.405,0.122711602672062,-0.4,0.12,"-0.4","0.12","NS",NA
"IFT57",0.174,0.983250071185243,0.2,0.98,"0.2","0.98","NS",NA
"IFT81",-0.225,0.570125926878657,-0.2,0.57,"-0.2","0.57","NS",NA
"IGF2R",-0.0472,0.96712829856004,0,0.97,"-0.0","0.97","NS",NA
"IKZF5",2.84,0.365250952536273,2.8,0.37,"2.8","0.37","NS",NA
"IL13RA1",-0.119,0.921534553584954,-0.1,0.92,"-0.1","0.92","NS",NA
"IL6ST",-0.0305,0.990243391556991,0,0.99,"-0.0","0.99","NS",NA
"ISL1",0.264,0.921722657453143,0.3,0.92,"0.3","0.92","NS",NA
"ISOC2",0.263,0.769968106552097,0.3,0.77,"0.3","0.77","NS",NA
"ITIH2",-0.916,0.216266334753502,-0.9,0.22,"-0.9","0.22","NS",NA
"ITIH4",-6.2,5.41640783333178e-05,-6.2,0,"-6.2","<0.01","Down",NA
"ITM2B",-0.691,0.229193800883542,-0.7,0.23,"-0.7","0.23","NS",NA
"ITM2C",-0.601,0.238914239583098,-0.6,0.24,"-0.6","0.24","NS",NA
