plot_id,plot_title,x_label,y_label,name,ID,x_ratio,y_ratio,x_padj,y_padj,significant_x,significant_y,significance_class,significant_either_axis,combined_abs_ratio
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM7,P33993,0.102,0.193,0.999035847456636,0.604630522682433,FALSE,FALSE,Not significant,FALSE,0.295
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM8,Q9UJA3,-0.00857,0.269,0.999035847456636,0.328174587878701,FALSE,FALSE,Not significant,FALSE,0.27757000000000004
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCM9,Q9NXL9,-0.129,0.0196,0.999035847456636,0.965390721849376,FALSE,FALSE,Not significant,FALSE,0.1486
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCMBP,Q9BTE3,0.0898,0.0462,0.999035847456636,0.911086665754522,FALSE,FALSE,Not significant,FALSE,0.136
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCOLN1,Q9GZU1,-0.444,-0.261,0.999035847456636,0.535127530921176,FALSE,FALSE,Not significant,FALSE,0.7050000000000001
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCOLN3,Q8TDD5,0.0821,0.767,0.999035847456636,0.0155016960255344,FALSE,TRUE,Significant on y-axis only,TRUE,0.8491
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCRIP1,C9JLW8,-0.552,-2.39,0.999035847456636,2.8602312736495e-4,FALSE,TRUE,Significant on y-axis only,TRUE,2.942
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCRIP2,Q9BUT9,-0.172,-1.41,0.999035847456636,0.0116188211144679,FALSE,TRUE,Significant on y-axis only,TRUE,1.5819999999999999
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCRS1,Q96EZ8,-0.018,0.512,0.999035847456636,0.168378614977065,FALSE,FALSE,Not significant,FALSE,0.53
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCTS1,Q9ULC4,-0.218,-0.886,0.999035847456636,0.00377759941220889,FALSE,TRUE,Significant on y-axis only,TRUE,1.104
gfp_within_genotype_100uM_vs_200uM,GFP treatment response: 100 uM vs 200 uM,GFP 100 uM vs vehicle log2 ratio,GFP 200 uM vs vehicle log2 ratio,MCU,Q8NE86,0.317,0.552,0.999035847456636,0.504487691986453,FALSE,FALSE,Not significant,FALSE,0.869
