"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AJUBA",-0.0605,0.980423944416789,-0.1,0.98,"-0.1","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AK1",-0.164,0.738310241376286,-0.2,0.74,"-0.2","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AK2",0.5,0.59827364270221,0.5,0.6,"0.5","0.60","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AK3",0.333,0.414480765992498,0.3,0.41,"0.3","0.41","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AK4",0.582,0.239541152917874,0.6,0.24,"0.6","0.24","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AK6",0.405,0.370654089868061,0.4,0.37,"0.4","0.37","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP1",0.536,0.195649268554803,0.5,0.2,"0.5","0.20","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP10",0.638,0.671222268589058,0.6,0.67,"0.6","0.67","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"AKAP11",0.281,0.836710861151256,0.3,0.84,"0.3","0.84","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP12",0.0325,0.989016353817681,0,0.99,"0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP13",0.0577,0.984121704412235,0.1,0.98,"0.1","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP17A",0.318,0.544550971361462,0.3,0.54,"0.3","0.54","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP5",-0.048,0.983005937679658,0,0.98,"-0.0","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP8",0.319,0.816127676977899,0.3,0.82,"0.3","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP8L",0.234,0.801594911335109,0.2,0.8,"0.2","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP9",-0.147,0.791486081872275,-0.1,0.79,"-0.1","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKR1A1",0.0681,0.961522714549315,0.1,0.96,"0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKR1B1",0.216,0.937193971710409,0.2,0.94,"0.2","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKR1E2",-0.362,0.546437026300036,-0.4,0.55,"-0.4","0.55","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKR7A2",0.175,0.829724813664393,0.2,0.83,"0.2","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKT1",-0.259,0.929920066723982,-0.3,0.93,"-0.3","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKT1S1",0.721,0.518391596579056,0.7,0.52,"0.7","0.52","NS","Present_3of3","Present_3of3","Present vs Present",NA
