"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"IFT46",0.308,0.59109960262522,0.3,0.59,"0.3","0.59","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"IFT52",1.72,NA,1.7,NA,"1.7",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"IFT56",0.545,0.594048340148564,0.5,0.59,"0.5","0.59","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"IFT70A",2.23,0.138531603345943,2.2,0.14,"2.2","0.14","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"IFT74",-0.507,0.104775443279248,-0.5,0.1,"-0.5","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IFT80",-0.331,0.795456135432151,-0.3,0.8,"-0.3","0.80","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"IGBP1",-0.0828,0.911110812337403,-0.1,0.91,"-0.1","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGF1R",0.0885,0.741054864685185,0.1,0.74,"0.1","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGF2BP1",-0.0646,0.817035886940184,-0.1,0.82,"-0.1","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGF2BP2",-0.087,0.741323507787428,-0.1,0.74,"-0.1","0.74","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGF2BP3",-0.0988,0.72586664119928,-0.1,0.73,"-0.1","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGFBP2",0.868,0.202903120659305,0.9,0.2,"0.9","0.20","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGFBP5",1.05,0.0979885938612161,1,0.1,"1.0","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGFBP7",0.731,0.158848586124248,0.7,0.16,"0.7","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGHMBP2",0.719,0.152778742861618,0.7,0.15,"0.7","0.15","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGSF3",0.309,0.161754173372762,0.3,0.16,"0.3","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IGSF8",0.513,0.0527025934192674,0.5,0.05,"0.5","0.05","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IK",0.499,0.182270123399381,0.5,0.18,"0.5","0.18","NS","Present_3of3","Present_3of3","Present vs Present",NA
"IKBIP",0.82,0.00765504371445425,0.8,0.01,"0.8","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"IKBKB",-0.322,0.577524802388283,-0.3,0.58,"-0.3","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
