"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"GGCT",-0.701,0.0918417818737679,-0.7,0.09,"-0.7","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGCX",0.755,0.433687182564743,0.8,0.43,"0.8","0.43","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGH",1.11,0.0846007580792306,1.1,0.08,"1.1","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGNBP2",0.986,0.053715913578764,1,0.05,"1.0","0.05","Up","MAR_2of3","Present_3of3","MAR vs Present",NA
"GGPS1",-0.358,0.386540607999583,-0.4,0.39,"-0.4","0.39","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GGT7",-0.0261,0.957895904817941,0,0.96,"-0.0","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GHDC",0.258,0.594881199429818,0.3,0.59,"0.3","0.59","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GID4",0.0622,0.873678705669837,0.1,0.87,"0.1","0.87","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"GID8",0.58,0.344183754670338,0.6,0.34,"0.6","0.34","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GIGYF1",0.993,0.0186625110065624,1,0.02,"1.0","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GIGYF2",0.804,0.0360780628465858,0.8,0.04,"0.8","0.04","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GINS1",-0.808,0.00106312800453415,-0.8,0,"-0.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GINS2",0.446,0.0231354382231805,0.4,0.02,"0.4","0.02","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GINS3",0.379,0.25883331896282,0.4,0.26,"0.4","0.26","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GINS4",0.328,0.362666266722335,0.3,0.36,"0.3","0.36","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GIPC1",-0.726,0.00102914685654232,-0.7,0,"-0.7","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GIT1",-0.123,0.673704175258812,-0.1,0.67,"-0.1","0.67","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GIT2",-0.277,0.224664438644359,-0.3,0.22,"-0.3","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GKAP1",0.671,0.18322389805256,0.7,0.18,"0.7","0.18","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLA",0.701,0.299965390854689,0.7,0.3,"0.7","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLB1",0.868,0.0515752540762303,0.9,0.05,"0.9","0.05","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GLB1L2",-0.213,0.597491906812168,-0.2,0.6,"-0.2","0.60","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLCCI1",1.11,0.0299896263622811,1.1,0.03,"1.1","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GLCE",0.429,0.760214380195376,0.4,0.76,"0.4","0.76","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"GLDC",0.543,0.141524458588299,0.5,0.14,"0.5","0.14","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLE1",0.328,0.582735252772489,0.3,0.58,"0.3","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLG1",-1.26,0.0179327602118238,-1.3,0.02,"-1.3","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GLI2",0.909,0.380149892946564,0.9,0.38,"0.9","0.38","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLI3",1.15,0.0137741588587985,1.1,0.01,"1.1","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GLI4",0.907,0.0193289270000203,0.9,0.02,"0.9","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GLIPR2",-0.00695,0.990706911968491,0,0.99,"-0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLMN",-0.244,0.521433335725367,-0.2,0.52,"-0.2","0.52","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLMP",-1.06,0.0245382962197848,-1.1,0.02,"-1.1","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GLO1",-1.51,0.0153705891834284,-1.5,0.02,"-1.5","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GLOD4",-0.696,0.0055341464767658,-0.7,0.01,"-0.7","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GLRX3",-0.431,0.0795706775666657,-0.4,0.08,"-0.4","0.08","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLRX5",1.33,0.000558919954701458,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GLS",0.00993,0.986889302736035,0,0.99,"0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLTP",-0.203,0.702814591938941,-0.2,0.7,"-0.2","0.70","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLUD1",-0.00409,0.992403443049249,0,0.99,"-0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLUL",-0.163,0.824778086536955,-0.2,0.82,"-0.2","0.82","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GLYR1",1.23,0.000418770810626418,1.2,0,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GM2A",0.0871,0.934190280034028,0.1,0.93,"0.1","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
