"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"BSN",-0.842,0.239,-0.8,0.24,"-0.8","0.24","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"BTBD2",1.72,0.000154,1.7,0,"1.7","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BTBD8",-1.29,0.0358,-1.3,0.04,"-1.3","0.04","Down","MAR_2of3","Present_3of3","MAR vs Present",NA
"BTBD9",0.969,0.473,1,0.47,"1.0","0.47","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"BTF3",-2.05,0.0348,-2,0.03,"-2.0","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BTF3L4",-2.37,0.0184,-2.4,0.02,"-2.4","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C11orf54",-1.85,0.0479,-1.9,0.05,"-1.9","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf122",-2.27,0.018,-2.3,0.02,"-2.3","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf159",0.2,0.482,0.2,0.48,"0.2","0.48","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf198",-1.09,0.0452,-1.1,0.05,"-1.1","0.05","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf43",-1.01,0.0268,-1,0.03,"-1.0","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C1orf50",-2.11,0.000694,-2.1,0,"-2.1","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"C1orf52",-2.28,0.0296,-2.3,0.03,"-2.3","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C2orf49",-1.15,0.0263,-1.1,0.03,"-1.1","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C4A",7.36,1.1e-06,7.4,0,"7.4","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"C4BPA",2.05,0.262,2,0.26,"2.0","0.26","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C6orf89",5.09,5.67e-06,5.1,0,"5.1","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"C8orf88",-3.73,0.0856,-3.7,0.09,"-3.7","0.09","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"C9orf40",-1.57,0.117,-1.6,0.12,"-1.6","0.12","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C9orf72",3.11,0.304,3.1,0.3,"3.1","0.30","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"C9orf78",-1.37,0.0182,-1.4,0.02,"-1.4","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CAAP1",-1.32,0.00143,-1.3,0,"-1.3","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CABIN1",5.34,0.00776,5.3,0.01,"5.3","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CABLES1",5.71,1.06e-08,5.7,0,"5.7","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"CACNB3",1.86,8.87e-06,1.9,0,"1.9","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"CACYBP",-1.03,0.0332,-1,0.03,"-1.0","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CALCOCO2",0.212,0.444,0.2,0.44,"0.2","0.44","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAPG",-1.25,0.0313,-1.2,0.03,"-1.2","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CAPRIN1",-1.56,0.0356,-1.6,0.04,"-1.6","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CAPZB",-1.02,0.00943,-1,0.01,"-1.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
