"Gene","Acute Veh","Acute 100uM","Acute 200uM","Recvr Veh","Recvr 100uM","Recvr 200uM"
"KLC3",-0.228,-0.671,-0.652,0.523,0.251,0.707
"KLF16",0.617,-0.939,0.402,-0.15,-0.209,0.336
"KLF3",1.93,0.0708,0.657,-1.11,-0.461,-0.332
"KLF5",1.5,0.112,0.202,-0.481,-0.597,-0.592
"KLHDC2",0.915,-0.0754,0.0782,-0.306,0.144,-0.0234
"KLHDC3",0.974,-0.358,0.305,-0.132,-0.449,0.0424
"KLHDC4",1.66,-0.321,-0.133,-0.174,-0.192,0.278
"KLHL20",-0.876,0.149,2.43,-0.457,-0.331,-0.298
"KMT2A",-0.278,-0.864,0.111,0.365,0.18,0.231
"KMT2B",0.318,-0.753,0.0587,0.254,0.0376,0.117
"KMT2D",0.102,-0.767,-0.469,0.463,0.275,0.278
"KMT5A",0.348,-0.77,-0.329,0.352,0.0722,0.358
"KMT5B",-0.814,-0.921,-0.386,0.644,0.316,0.0287
"KMT5C",0.652,-0.972,-0.167,0.323,0.173,-0.107
"KNOP1",1.04,-0.443,0.53,-0.0977,-0.196,-0.133
"KNSTRN",0.986,-0.998,-0.494,0.569,0.393,0.991
"KPNA5",-1.58,-0.582,-0.104,0.494,0.62,0.421
"KRAS",1.94,-0.486,0.508,0.0697,-0.282,0.00753
"KRBA1",0.0598,-0.324,-0.535,0.51,0.0681,0.729
"KRCC1",-0.416,-1.03,-0.367,0.296,0.494,0.747
"KRR1",0.485,-0.833,0.137,0.173,-0.057,0.264
"KRTCAP2",-3.69,0.605,1.62,0.326,0.3,0.104
"KTN1",0.866,-0.987,-0.378,0.412,0.233,0.497
"KYAT1",0.852,-0.193,0.0464,0.0492,-0.0235,-0.16
"L1RE1",0.77,-0.264,-0.0137,-0.283,-0.294,0.226
"L2HGDH",-0.861,0.0466,0.27,0.136,0.202,-0.0683
"L3MBTL3",-0.347,-0.841,-0.188,0.517,0.347,-0.0288
"LACTB2",1.8,-0.55,-0.00592,0.534,-0.142,0.29
"LAGE3",0.692,-0.0121,-0.249,-0.38,-0.275,-0.00277
"LAMB1",1.46,-0.183,0.816,-0.0908,-0.207,-0.149
"LAMC1",1.89,-0.079,1.02,-0.303,-0.497,-0.562
"LAMP1",2.22,0.09,1.43,-0.503,-0.726,-0.431
"LAMP2",2.46,0.204,1.59,-0.745,-0.737,-0.373
"LAMTOR2",0.846,0.262,0.756,-0.0129,0.0368,-0.412
"LAMTOR4",1.16,0.476,0.851,-0.497,-0.724,-0.211
"LANCL2",2.6,0.409,0.401,-0.501,-0.363,-0.817
"LAP3",1.95,-0.0812,0.698,-0.278,-0.503,-0.522
"LARP1",0.848,-0.145,-0.281,0.182,-0.0128,0.287
"LARP1B",1.12,-0.346,0.357,0.0772,-0.132,0.263
"LARP4",-0.103,-0.271,-0.732,0.494,0.342,0.641
"LARP6",0.194,-0.766,-0.55,0.51,0.333,0.712
"LARS2",-1.02,0.109,0.417,0.293,0.307,-0.109
"LAS1L",-1.04,-0.468,0.0977,0.431,0.383,0.126
"LASP1",1.45,-0.465,-0.459,0.353,0.215,0.886
"LATS1",-0.0655,-0.852,-0.735,0.613,0.542,0.961
"LBR",-0.0376,-0.717,0.495,0.212,0.186,-0.0138
"LCA5",0.655,-0.281,-1.23,0.00393,0.244,0.723
"LDAH",-1.51,-0.109,0.0937,0.215,0.196,0.205
"LDLRAD3",3.3,-0.139,3.63,-2.18,-1.41,-1.13
"LDLRAP1",-2.44,0.393,0.727,0.33,0.166,0.241
"LEF1",0.905,-0.361,-0.251,-0.116,-0.0488,0.0227
"LENG1",1.47,-0.807,-0.491,0.166,0.143,0.727
"LENG9",-1.12,-0.63,-0.0188,0.627,0.275,-0.0715
"LEO1",0.601,-0.41,0.15,0.151,-0.13,-0.15
"LEPROT",-0.989,0.898,0.0588,-0.0879,0.185,0.0786
"LGALS1",-0.185,-0.917,-0.497,0.619,0.284,0.141
"LGALS3",1.39,-0.115,0.203,0.233,-0.00887,0.555
"LGALS3BP",-0.43,-1.04,0.192,-0.0115,-0.0479,0.165
"LGALSL",1.13,-1.11,-0.743,0.873,0.871,0.673
"LHPP",2.26,-0.0978,0.367,-0.541,-0.605,-0.487
"LIAS",0.462,-0.705,0.0183,0.333,0.415,0.244
"LIAT1",0.98,-0.197,-0.151,-0.355,-0.353,-0.147
"LIMA1",-0.0176,-0.632,-0.599,0.453,0.342,0.66
"LIMCH1",0.246,-0.858,-0.725,0.337,0.194,0.427
"LIMD1",0.83,-0.129,-0.4,0.414,-0.0742,0.236
"LIMD2",-0.221,-0.812,-1.71,0.03,0.421,1.03
"LIMS1",1.16,0.318,0.204,0.144,-0.692,0.109
"LIN28B",0.92,-0.064,0.186,-0.143,-0.116,-0.156
"LIN37",1.02,-0.723,-0.148,0.326,0.121,0.34
"LIN7A",0.372,-0.802,-0.351,0.673,0.148,0.232
"LIN7C",1.06,-0.744,-0.162,0.534,0.144,0.261
"LIPT2",-1.29,-0.407,0.342,0.497,0.526,-0.275
"LLPH",2.17,-0.318,1.04,-0.568,-0.618,-0.411
"LMAN2",1.88,-0.349,1.33,-0.17,-0.605,-0.793
"LMAN2L",1.5,0.118,1.1,-0.501,-0.454,-0.549
"LMCD1",0.615,-0.0528,-0.429,-0.214,-0.157,0.451
"LMF2",-0.167,-0.347,1.15,0.0113,0.147,-0.455
"LMNA",0.815,-0.626,0.276,0.117,0.00117,0.263
"LMNB1",0.725,-0.649,0.174,0.0511,-0.0491,-0.0654
"LMNB2",0.725,-0.519,0.383,-0.109,-0.164,-0.0284
"LMOD1",0.0503,-0.919,-1.04,0.439,0.495,0.938
"LONP1",-1.27,-0.0265,0.629,0.409,0.307,0.0843
"LONP2",1.6,-0.432,-0.0175,0.0161,0.0611,0.0109
"LOX",-1.9,-0.705,-0.124,0.936,1.09,0.593
"LPCAT1",-1.07,-0.223,0.011,0.34,0.348,-0.00725
"LPCAT4",-1.71,-0.721,-0.213,0.645,0.582,0.237
"LPIN1",1.71,0.918,1.22,-0.62,-0.726,-0.465
"LPP",1.26,-0.523,-0.541,0.574,-0.152,0.339
"LRATD2",-0.742,-0.136,-0.383,0.301,0.263,0.208
"LRCH2",-0.49,-0.16,-0.534,0.513,0.278,0.314
"LRCH3",-4.63,-0.205,0.431,1.14,0.932,1.19
"LRCH4",0.673,-0.473,-0.0819,0.432,0.186,0.0444
"LRFN1",-3.4,0.148,1.4,0.42,0.481,0.576
"LRPAP1",1.03,-0.729,0.218,0.248,0.0487,0.519
"LRPPRC",-1.68,-0.2,0.47,0.619,0.467,0.167
"LRRC14",-2.19,-0.0676,1.91,0.0716,-0.00614,-0.235
"LRRC20",1.05,0.321,-0.337,0.0634,0.0012,-0.424
"LRRC40",-0.994,0.0223,0.0783,0.085,0.224,0.222
"LRRC59",0.921,-0.812,0.0315,0.417,0.295,0.482
"LRRC8E",-1.19,0.765,0.785,-0.0221,-0.219,-0.364
"LRRFIP1",1.59,-0.238,0.016,-0.0754,-0.214,0.0286
"LRRFIP2",1.2,-0.745,-0.281,0.184,0.229,0.554
"LSM1",1.25,-0.3,-0.354,0.0523,0.3,0.142
"LSM10",1.58,-0.112,0.0893,-0.375,-0.598,-0.362
"LSM11",0.562,-0.619,0.0927,0.074,0.0304,-0.0816
"LSM12",0.915,-0.0794,-0.16,-0.385,-0.112,0.0127
"LSM14B",0.779,-0.385,-0.393,-0.0667,-0.0191,0.362
"LSM2",1.44,-0.0349,0.364,-0.41,-0.427,-0.45
"LSM3",0.508,-0.761,-0.501,0.256,0.466,0.318
"LSM4",0.991,-0.318,0.0503,0.0931,-0.0898,0.39
"LSM6",1.05,-0.021,0.449,-0.403,-0.43,-0.0839
"LSM7",1.03,-0.12,-0.156,-0.0683,-0.33,0.00363
"LSM8",0.617,-0.618,-0.362,0.235,0.263,0.134
"LSS",0.69,0.0598,0.832,-0.11,-0.156,-0.544
"LTBP3",-0.111,-0.671,-0.312,0.643,0.533,0.0889
"LTO1",1.11,-0.00109,0.252,-0.0223,-0.125,-0.442
"LUC7L",0.967,-0.775,-0.22,0.0677,0.0419,0.184
"LUC7L2",0.768,-0.649,-0.0532,0.214,0.141,-0.0269
"LUC7L3",0.57,-0.779,-0.113,0.274,0.16,0.154
"LUZP1",0.0354,-0.587,-0.442,0.301,0.401,0.76
"LYAR",1.47,-0.511,0.485,-0.049,-0.392,-0.21
"LYPD1",1.12,-0.28,1.16,0.00967,-0.415,0.105
"LYPLA1",1.24,0.187,0.0258,0.2,0.178,-0.281
"LYRM1",4.52,-0.313,-0.152,-0.606,-0.47,-0.925
"LYRM2",1.48,-0.769,0.553,0.283,0.0779,0.476
"LYRM4",0.899,-0.131,0.751,-0.0719,-0.24,-0.17
"LYRM7",0.877,-0.703,0.44,0.198,0.156,0.434
"LYSMD1",0.584,-0.515,-0.646,0.494,0.269,0.894
"LZIC",1.28,-0.362,-0.0244,-0.0538,-0.105,0.2
"LZTFL1",1.13,0.248,-0.0676,-0.147,-0.254,0.00103
"LZTR1",-4.34,0.706,0.68,0.305,0.462,0.545
"LZTS2",-0.263,-0.822,-0.724,0.532,0.401,0.508
"LZTS3",-0.605,-1.1,-0.452,1.16,1.01,1.15
"M6PR",1.6,-0.0852,1.25,-0.327,-0.605,-0.46
"MACO1",0.683,-0.997,0.0535,0.82,0.484,0.59
"MACROH2A1",0.688,-0.703,0.719,-0.113,-0.106,-0.227
"MACROH2A2",0.306,-0.992,0.271,0.0306,0.0517,-0.0762
"MAD2L1BP",-1.24,-0.5,1.16,0.0527,0.0531,0.285
"MAD2L2",-2.55,-0.0354,0.213,0.815,0.555,0.328
"MAF",0.763,-0.955,-0.791,0.58,0.364,0.905
"MAFF",1.68,-0.151,0.498,-0.144,-0.667,-0.737
"MAFG",0.708,-0.732,0.0898,0.355,0.447,0.378
"MAGED4B",-0.628,-0.799,0.323,0.481,0.228,0.5
"MAGI1",0.175,-0.814,-0.838,0.4,0.192,0.335
"MALSU1",1.94,0.317,1.14,-0.000694,-0.0645,-0.215
"MALT1",1.72,-0.365,-0.599,-0.272,-0.0474,-0.138
"MAML1",-0.0549,-0.734,-0.953,0.884,0.459,1.12
"MAN1A1",-0.351,0.847,0.27,0.0748,0.0587,-0.114
"MAN2B1",1.42,-1.06,0.622,0.304,-0.00991,0.28
"MAN2B2",0.55,-0.636,0.451,0.0975,0.0168,-0.115
"MANBA",1.16,-0.648,0.6,-0.035,-0.00695,-0.049
"MANEA",1.32,-0.45,0.691,0.182,0.0291,0.0592
"MANEAL",1.4,-0.478,0.829,-0.0383,-0.157,-0.0305
"MANF",1.52,-0.621,0.686,0.156,-0.122,0.173
"MAP1A",0.0184,-0.526,-0.764,-0.142,0.111,0.711
"MAP2",-5.22,0.521,0.559,0.99,0.708,1.4
"MAP3K21",1.4,-0.904,-0.922,0.68,0.482,0.734
"MAP3K7",-0.676,-0.409,-0.942,0.816,0.527,0.974
"MAP4",0.969,-0.48,-0.609,-0.311,-0.107,0.311
"MAP6D1",-1.64,2.39,2.76,-0.766,-0.433,-0.00881
"MAP7",0.657,-0.49,-0.175,0.105,0.07,0.684
"MAP7D1",0.462,-0.832,-0.597,0.179,0.284,0.935
"MAP7D2",0.541,-0.879,-0.46,0.241,0.487,0.778
"MAP9",0.342,-0.684,-0.655,0.385,0.269,0.935
"MAPK7",0.778,-0.272,0.357,0.0419,-0.218,0.0519
"MAPK8IP2",1.59,-0.44,-0.484,-0.0329,-0.136,0.00306
"MAPK9",-0.9,0.216,-0.108,-0.0872,0.0708,0.224
"MAPRE3",-0.0873,-0.0277,-0.702,-0.12,-0.0236,0.403
"MARCHF6",-2.71,-0.154,0.289,0.746,0.842,0.611
"MARCHF7",-2.31,0.45,0.638,0.314,0.458,0.987
"MARCKS",2.62,0.839,2.01,-1.38,-1.02,-0.723
"MARCKSL1",2.63,0.405,1.75,-0.579,-0.801,-0.569
"MARF1",-1.39,0.497,-0.237,-0.00673,0.135,0.775
"MARK2",-0.588,-0.156,0.0577,0.42,0.18,0.294
"MARS2",-0.949,-0.2,0.277,0.313,0.128,-0.032
"MARVELD2",-0.101,-1.03,-0.337,0.961,0.355,0.442
"MAT2A",1.56,0.12,0.158,-0.588,-0.536,-0.102
"MAU2",-1.02,-0.704,-0.354,0.399,0.255,-0.292
"MAVS",-0.0637,-0.446,-0.54,0.578,0.205,0.696
"MAX",0.104,-1.56,-1,1.3,0.84,1.14
"MAZ",1.36,-0.00148,0.614,-0.244,-0.922,-0.746
"MBD1",1.01,-0.486,0.566,-0.399,-0.584,-0.864
"MBD2",0.961,-0.67,-0.114,-0.104,-0.000999,0.156
"MBD3",0.342,-0.823,-0.664,0.59,0.453,0.887
"MBLAC2",0.732,-0.432,0.616,0.345,-0.00477,-0.0919
"MBNL1",1.55,-0.0341,0.187,0.288,-0.516,-0.641
"MBNL3",1.23,0.508,-0.322,0.529,-0.00672,-0.196
"MBTD1",-0.714,-0.993,0.345,0.385,0.281,-0.00567
"MCAM",0.742,-0.592,0.674,0.156,-0.122,-0.0897
"MCCC2",-0.501,0.086,0.519,0.195,0.0443,-0.301
"MCEE",1.07,-0.34,0.806,0.383,-0.0548,-0.311
"MCM3AP",0.244,-0.82,0.0155,0.438,0.289,0.0559
"MCM9",-0.208,-0.789,-0.0936,0.526,0.458,0.529
"MCMBP",-0.861,0.169,-0.227,-0.00379,0.0217,0.0195
"MCOLN1",1.14,-0.263,0.781,0.0602,-0.363,-0.205
"MCOLN3",-0.73,-0.599,0.0546,0.359,0.429,0.204
"MCRIP1",0.78,-0.611,-1.17,0.724,0.452,1.25
"MCRIP2",0.119,-0.404,-0.25,0.212,0.252,0.804
"MCRS1",0.691,-0.0723,0.593,-0.341,-0.262,-0.261
"MCTS1",1.73,0.37,0.445,-0.283,-0.405,-0.302
"MCU",-2.8,-0.168,0.486,0.298,0.242,0.363
"MCUB",-0.329,-1.11,0.251,0.52,0.37,0.43
"MCUR1",-0.389,0.0263,0.758,0.103,-0.0813,-0.308
"MDC1",0.553,-0.938,-0.0585,-0.207,-0.111,0.0632
"MDFIC",0.432,1.2,0.674,-0.148,-0.291,-0.427
"MDH2",2.02,-0.319,1.33,-0.109,-0.437,-0.589
"MDK",1.73,-0.37,1.09,-0.0199,0.136,-0.0519
"MDN1",-1.51,-0.809,-0.183,0.519,0.516,0.0748
"MEAF6",0.545,-0.943,-0.0155,0.388,0.253,0.47
"MECOM",0.267,-0.854,-0.0238,0.322,0.058,0.144
"MECP2",1.17,-0.646,0.752,-0.649,-0.463,-0.565
"MED10",0.742,-1.01,-0.453,0.659,0.295,0.838
"MED11",-0.221,-0.571,-0.61,0.473,0.512,0.358
"MED12",-4.06,-0.37,0.188,0.93,0.779,1.05
"MED13",-1.6,-0.141,-0.114,0.663,0.309,0.00333
"MED13L",-1.65,-0.449,0.363,0.392,0.306,0.368
"MED15",0.818,-0.525,-0.703,0.68,0.156,0.813
"MED17",-0.963,0.0775,0.155,0.0323,0.1,-0.0914
"MED19",0.5,-0.976,-0.269,0.246,-0.204,0.308
"MED26",0.88,-0.92,-0.487,0.622,0.248,0.569
"MED30",1.63,-0.408,-0.132,0.662,0.183,0.758
"MED31",0.369,-0.695,-0.747,1.01,0.315,0.606
"MED4",0.364,-1.13,-0.538,0.375,0.477,0.65
"MED8",0.0743,-0.802,-0.941,1.01,0.438,1.16
"MED9",2.56,-3.11,1.77,1.07,0.583,1.53
"MEF2A",-3.03,0.137,0.142,0.0672,0.395,0.752
"MEF2C",0.5,0.197,0.132,-0.952,-0.0879,-0.0511
"MELK",-2.68,-0.453,-0.126,0.625,0.574,0.474
"MEN1",-0.612,-0.689,0.145,0.34,0.326,0.117
"MESD",1.01,-0.279,0.492,-0.16,-0.128,0.193
"MET",0.338,0.748,0.765,-0.231,-0.0356,-0.285
"METAP1",1.74,-0.36,0.277,0.0901,-0.21,-0.256
"METAP1D",1.53,-0.368,0.792,0.0472,0.0154,-0.148
"METAP2",2.48,0.161,0.356,-0.488,-0.549,0.0146
"METTL15",-2.89,0.741,0.186,-0.118,0.571,0.245
"METTL21A",1.18,-0.0696,0.0405,-0.131,-0.198,-0.0525
"METTL9",-1.91,-0.263,1.87,0.248,-0.245,0.268
"MEX3B",0.93,-0.255,-0.355,-0.22,-0.223,-0.126
"MFAP1",0.688,-0.751,-0.237,0.412,0.221,0.311
"MFN1",-0.712,0.0572,2.23,-0.497,-0.498,-0.282
"MFN2",-0.991,0.736,0.872,0.00387,0.029,0.522
"MFSD10",-1.15,-0.315,-0.279,0.391,0.363,0.153
"MGARP",-0.333,-0.695,0.385,0.304,0.202,-0.0151
"MGAT1",0.974,0.693,0.712,-0.548,-0.543,-0.404
"MGST1",4.71,2.5,3.61,-1.83,-2.04,-1.66
"MGST2",-0.268,0.822,0.483,-0.252,0.0686,-0.278
"MGST3",-0.483,0.617,0.417,-0.0875,0.0131,-0.111
"MIA2",0.889,0.0302,0.867,-0.205,-0.25,-0.328
"MICA",1.17,0.209,1.08,-0.331,-0.602,-0.164
"MICAL3",1.17,-0.544,-0.238,0.192,0.0809,0.397
"MICALL1",1.03,-0.407,-0.319,0.258,0.145,0.462
"MICU2",-4.02,0.274,0.793,0.855,0.76,0.403
"MIER1",1.2,0.306,0.265,-0.477,-0.243,-0.194
"MIER3",-0.0436,-1.13,0.902,-0.176,0.118,0.156
"MIF",1.37,-0.378,-0.583,0.637,0.383,0.432
"MIGA1",-2.65,-0.00672,0.72,0.387,0.382,0.234
"MIIP",-2.17,0.535,-2.14,1.55,1.17,1.96
"MINPP1",0.16,0.0514,0.784,-0.0746,-0.303,-0.238
"MIPEP",-3.66,-0.049,-0.0216,1.09,0.714,0.565
"MIS12",1.39,-0.409,-0.221,0.0633,-0.0179,0.265
"MIS18BP1",-0.624,-0.332,-0.489,0.536,0.487,0.326
"MITF",1.28,-0.307,-0.0991,0.266,-0.246,0.342
"MIX23",1.63,-0.64,0.111,0.309,-0.0545,0.265
"MKI67",0.0328,-1.07,-0.349,0.343,0.389,0.566
"MLEC",0.917,-0.35,0.88,-0.146,-0.121,-0.342
"MLLT1",0.714,-0.823,0.00376,0.0637,-0.191,0.0894
"MLLT3",0.338,-0.765,-0.157,0.264,0.0876,0.227
"MLYCD",-2.83,0.0249,0.447,0.552,0.452,-0.0177
"MMAB",2.36,-0.176,0.854,-0.193,-0.493,-0.161
"MMADHC",0.366,0.519,0.133,-0.594,-0.724,-0.0944
"MMTAG2",0.683,-0.559,0.0186,-0.0889,-0.222,0.0519
"MNAT1",1.22,-0.127,-0.0611,0.195,-0.322,-0.0417
"MND1",1.17,-0.281,-0.154,0.0128,-0.186,0.186
"MNT",0.836,-0.839,-0.434,0.666,0.362,0.386
"MNX1",0.447,-0.711,-0.191,0.312,0.0772,0.602
"MOCOS",1.49,-0.244,0.362,-0.165,-0.294,-0.107
"MOCS1",2.21,-0.286,0.68,0.118,-0.077,-0.409
"MOCS2",1.63,0.318,0.265,-0.181,-0.307,0.0728
"MORF4L1",0.332,-0.677,-0.611,0.235,0.254,0.471
"MORF4L2",0.735,-0.713,-0.578,0.0879,0.243,0.714
"MOSPD1",1.76,0.306,0.896,-0.461,-0.531,-0.432
"MPC2",-0.697,0.0845,0.242,0.354,0.166,-0.0895
"MPHOSPH6",1.17,0.0933,0.418,-0.425,-0.323,-0.281
"MPHOSPH8",0.418,-0.896,0.291,0.174,0.0318,0.0409
"MPHOSPH9",-5.04,-0.335,0.0664,1.19,0.971,1.48
"MPRIP",-0.234,-0.303,-0.606,0.32,0.294,0.646
"MPV17L2",-2.39,0.691,2.07,0.481,0.361,0.43
"MPZL1",2.25,0.669,1.44,-0.429,-0.683,-0.737
"MRAS",1.73,-0.326,0.404,-0.148,-0.503,-0.473
"MREG",0.617,0.791,1.16,-0.511,-0.214,-0.337
"MRFAP1L2",1.05,-0.615,-0.196,0.347,0.303,0.833
"MRGBP",0.134,-0.891,-0.293,0.474,0.305,0.553
"MRM3",-0.207,-0.086,0.805,0.281,0.151,-0.0181
"MRNIP",0.8,-0.553,-0.583,0.184,0.281,0.749
"MRPL10",0.977,-0.373,0.0936,0.239,0.121,-0.11
"MRPL11",1.91,-0.344,0.43,0.127,-0.229,-0.192
"MRPL12",1.06,-0.338,0.324,0.706,0.174,0.768
"MRPL13",1.28,-0.3,0.504,0.204,0.0532,-0.13
"MRPL14",0.843,-0.543,0.102,0.339,0.13,0.132
"MRPL15",0.834,-0.483,0.668,0.118,-0.243,-0.106
"MRPL16",1.05,-0.367,-0.366,0.39,0.226,-0.0767
"MRPL17",1.27,-0.432,0.256,0.531,0.00185,0.52
"MRPL18",1.52,-0.255,0.634,-0.0194,-0.0138,-0.174
"MRPL19",1.89,-0.134,0.372,-0.00182,-0.158,-0.407
"MRPL2",1.35,-0.774,-0.271,0.344,0.262,-0.00661
"MRPL20",1.18,-0.513,0.467,0.159,-0.298,-0.346
"MRPL21",1.25,-0.458,0.574,0.0869,0.0567,-0.235
"MRPL22",1.18,-0.368,0.558,0.00327,-0.03,-0.217
"MRPL23",1.05,-0.0602,0.423,0.184,-0.0482,-0.0583
"MRPL24",1.05,-0.196,0.184,0.287,0.163,0.102
"MRPL27",1.03,-1.12,0.174,0.33,-0.0321,-0.309
"MRPL28",1.1,-0.39,0.175,0.268,0.0831,0.338
"MRPL3",2.01,-0.162,0.19,-0.0432,-0.0811,-0.258
"MRPL32",1.2,-0.595,0.364,0.541,0.0462,0.489
"MRPL33",1.19,-0.469,0.27,0.0498,-0.108,-0.0555
"MRPL34",0.838,-0.613,0.284,0.147,0.322,0.548
"MRPL35",1.44,-1.36,-0.0397,0.394,-0.0964,-0.271
"MRPL37",1.28,0.0238,-0.503,0.498,0.248,-0.0885
"MRPL38",1.3,-0.0643,0.428,-0.0516,-0.151,-0.0207
"MRPL39",1.31,-0.141,0.322,0.0437,0.0342,-0.0664
"MRPL4",1.16,-0.305,0.677,0.0425,-0.0385,-0.207
"MRPL40",1.01,-1.04,-0.0113,0.534,0.407,0.689
"MRPL42",0.267,-0.805,-0.146,0.837,0.827,0.913
"MRPL43",0.692,-0.555,0.179,0.521,0.235,0.432
"MRPL44",1.29,-0.226,0.419,0.19,0.0215,0.144
"MRPL45",1.26,-0.0157,0.353,-0.0464,-0.0509,-0.148
"MRPL46",1.4,-0.0978,0.531,-0.101,-0.182,-0.136
"MRPL48",1.19,-0.203,0.376,-0.154,-0.113,-0.285
"MRPL49",0.44,-0.706,0.169,0.668,0.52,0.583
"MRPL50",-0.208,-1.12,-0.471,1.03,0.943,1.06
"MRPL51",1.97,-0.324,0.652,-0.091,-0.616,-0.724
"MRPL52",0.636,-1.05,0.0347,0.887,0.836,1.31
"MRPL53",0.896,-0.152,0.0574,0.448,-0.018,0.0711
"MRPL54",1.56,-0.406,0.63,0.118,0.0744,0.638
"MRPL55",1.15,-0.343,0.225,0.21,0.151,0.378
"MRPL57",0.6,-0.657,0.543,0.252,-0.196,0.0529
"MRPL58",1.01,-0.428,0.247,0.404,0.326,0.412
"MRPL9",0.989,-0.0972,0.546,-0.0404,-0.241,-0.033
"MRPS10",1.03,-0.124,0.314,-0.148,-0.131,-0.325
"MRPS11",1.43,-0.525,0.777,-0.108,-0.214,-0.45
"MRPS15",1.54,-0.365,0.537,-0.421,-0.304,-0.353
"MRPS16",0.684,-0.735,-0.09,0.484,0.229,0.575
"MRPS17",1.71,-0.473,0.689,0.067,-0.271,-0.611
"MRPS18A",0.799,-0.25,0.279,0.555,-0.0895,-0.287
"MRPS18B",1.31,-0.532,0.171,0.188,0.0241,0.265
"MRPS18C",0.919,-0.885,-0.147,0.696,0.552,0.852
"MRPS2",1.51,-0.348,0.487,-0.0175,-0.15,-0.362
"MRPS22",1.2,-0.38,0.426,0.0191,-0.0772,-0.141
"MRPS23",1.53,-0.511,-0.0289,0.293,0.0764,0.192
"MRPS25",0.919,-0.476,0.286,0.429,0.0963,0.016
"MRPS26",1.08,-0.466,0.384,0.234,0.184,0.521
"MRPS28",1.47,-0.466,0.147,0.164,-0.0749,0.141
"MRPS30",1.5,-0.0389,0.163,0.285,0.0728,-0.375
"MRPS33",0.91,-0.269,0.412,-0.149,-0.211,0.0199
"MRPS34",0.79,-0.346,0.429,0.195,-0.106,-0.197
"MRPS35",0.992,-0.141,0.243,0.0263,-0.102,0.0423
"MRPS6",1.29,-0.569,0.0171,0.613,0.191,0.49
"MRPS7",0.941,-0.113,0.384,0.173,-0.166,-0.0679
"MRPS9",1.23,-0.0323,0.384,-0.127,-0.185,-0.258
"MRRF",0.719,-0.647,0.333,0.331,0.239,0.43
"MRTFB",-0.397,-0.346,-1.09,0.568,0.323,0.616
"MSN",1.14,0.0487,0.2,-0.109,-0.124,-0.0392
"MSRA",1.95,-0.379,0.589,-0.296,-0.449,-0.318
"MSRB2",1.42,-0.57,0.0472,0.91,0.239,0.774
"MSRB3",0.765,-0.341,0.0631,0.0628,-0.161,0.384
"MST1",2.27,-0.575,2.4,-0.686,-0.537,-0.201
"MT-CO2",-1.13,-0.0821,-0.0562,0.543,0.632,0.0942
"MT-ND4",-0.0982,-0.591,-0.782,0.691,0.639,0.169
"MT1X",1.85,-0.046,0.361,-0.324,-0.344,-0.277
"MTAP",2.45,-0.0612,0.327,0.0578,-0.446,-0.336
"MTBP",-1.33,-0.584,0.131,1.33,0.499,-0.242
"MTCL1",0.484,-0.764,-0.61,-0.13,-0.061,0.412
"MTCL3",-1.39,-2.23,-1.42,0.571,0.833,1.33
"MTDH",0.759,-0.628,0.214,-0.0871,-0.142,0.225
"MTFR1",0.433,-0.725,-0.592,0.78,0.364,0.63
"MTFR1L",-0.221,-1.24,-0.544,0.62,0.637,0.838
"MTG1",-1.61,-0.656,0.154,0.573,0.579,0.261
"MTHFD1",-0.731,0.414,-0.324,0.0554,0.124,0.104
"MTHFD1L",-1.52,-0.0535,0.229,0.696,0.55,0.251
"MTHFD2",1.91,-0.00685,0.726,-0.126,-0.345,-0.223
"MTHFS",2.22,0.0828,-0.0442,-0.07,-0.286,-0.00392
"MTIF3",0.592,-0.423,0.227,0.308,0.0493,0.196
"MTMR4",-0.395,2.31,2.45,-0.331,-1.28,-1.42
"MTO1",-0.871,-0.195,-0.374,0.668,0.471,0.352
"MTPAP",-0.537,-0.548,0.162,0.466,0.403,-0.00986
"MTPN",0.668,0.0789,-0.606,0.534,0.471,0.527
"MTRES1",1.18,-0.443,0.456,-0.00687,0.0932,0.36
"MTREX",-1.36,-0.467,-0.485,0.475,0.493,0.276
"MTRFR",0.69,-1.59,-0.119,0.423,0.208,0.537
"MTUS1",-1.91,-0.0201,-0.505,0.68,0.405,0.915
"MTX2",-0.609,0.266,0.412,0.359,0.141,-0.263
"MUS81",-0.911,0.194,0.142,0.132,0.141,-0.0949
"MYBBP1A",-1.04,-0.771,0.0635,0.348,0.353,0.143
"MYCBP",0.744,-1.07,-0.654,0.862,0.333,0.845
"MYDGF",1.89,-0.141,1.17,-0.415,-0.448,-0.319
"MYG1",1.82,0.215,0.538,-0.275,-0.214,-0.184
"MYL6",0.103,-0.648,-0.201,0.365,0.553,0.579
"MYL6B",0.641,-0.639,-0.0402,0.22,0.237,0.457
"MYO1C",-1.02,0.0235,0.185,0.0848,0.177,-0.0202
"MYO1D",-5.41,0.316,0.682,0.738,0.771,0.55
"MYO9A",-1,-0.478,1.05,0.324,0.318,0.4
"MYO9B",-0.944,0.0406,0.359,0.0586,0.058,0.17
"MYPOP",-0.272,-0.844,-0.117,0.448,0.45,0.515
"MZT2A",1.56,-0.73,-0.747,0.799,0.255,1.19
"MZT2B",1.33,-0.91,-0.805,0.689,0.268,1.06
"N4BP3",-2.04,-0.359,-0.902,1.04,0.836,1.28
"NAA16",0.892,-0.55,-0.391,-0.136,0.133,-0.0194
