condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,DHX34,DHX34,Q14147,Q14147,24.502438651699567,0.19072758027238268,3,2294,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,NFYC,NFYC,Q13952,Q13952,24.501436899669333,0.3476738351003894,3,2295,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,DST,DST,Q03001,Q03001,24.501419432786967,0.0895499033315181,3,2296,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,FNBP4,FNBP4,Q8N3X1,Q8N3X1,24.501325203275268,0.19812643767289442,3,2297,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,FAM133B,FAM133B,Q5BKY9,Q5BKY9,24.500947615279333,0.05848376770996682,3,2298,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,RBPJ,RBPJ,Q06330,Q06330,24.500934267596634,0.30257594948881356,3,2299,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PFDN6,PFDN6,O15212,O15212,24.499082722438168,0.4961029373632465,3,2300,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,TPM3,TPM3,P06753,P06753,24.497355667836334,0.8089555639967907,3,2301,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,EML4,EML4,Q9HC35,Q9HC35,24.493661152485533,0.0964316336579089,3,2302,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CIR1,CIR1,Q86X95,Q86X95,24.493256970128833,0.3683212495020195,3,2303,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ZNF629,ZNF629,Q9UEG4,Q9UEG4,24.4929984424354,0.3569340768986886,3,2304,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,TRIM33,TRIM33,Q9UPN9,Q9UPN9,24.491666799890567,0.12143896805998187,3,2305,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,NIF3L1,NIF3L1,Q9GZT8,Q9GZT8,24.491455312094367,0.16745245507756165,3,2306,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,NAPA,NAPA,P54920,P54920,24.4910800465225,0.05870643767838801,3,2307,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,TM9SF4,TM9SF4,Q92544,Q92544,24.488451431025368,0.27983598651942543,3,2308,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,GTF2B,GTF2B,Q00403,Q00403,24.4869683738196,0.12345677313639218,3,2309,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CD59,CD59,P13987,P13987,24.485829054257234,0.6256591175007218,3,2310,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,FDXR,FDXR,P22570,P22570,24.485341434109532,0.27529262755757344,3,2311,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,LIG1,LIG1,P18858,P18858,24.48268741974317,0.11133418399028648,3,2312,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,USO1,USO1,O60763,O60763,24.482220000250834,0.14054910622759081,3,2313,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PFKL,PFKL,P17858,P17858,24.4820350061821,0.35096744619723025,3,2314,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,MRPL19,MRPL19,P49406,P49406,24.481589204962035,0.1335265382234878,3,2315,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,GPX1,GPX1,P07203,P07203,24.481452285147498,0.22908521608893112,3,2316,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,AP2S1,AP2S1,P53680,P53680,24.4799381733536,0.2564219378978451,3,2317,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,KIF18A,KIF18A,Q8NI77,Q8NI77,24.479570687468932,0.3060804391615867,3,2318,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,DMD,DMD,P11532,P11532,24.479173133761865,0.41799805005878216,3,2319,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CARS1,CARS1,P49589,P49589,24.479123220382167,0.06841939941003207,3,2320,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,HEATR3,HEATR3,Q7Z4Q2,Q7Z4Q2,24.478632803746766,0.18394437395155355,3,2321,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,QPRT,QPRT,Q15274,Q15274,24.478144428533334,0.10841817706726506,3,2322,FALSE,FALSE
