Protein.Group,Genes,PG.MaxLFQ,CellType,Fraction,SampleName
Q9H920,RNF121,6739.9169921875,EP,2,EP_F2
Q9H920,RNF121,2875.779296875,WO,2,WO_F2
P09382,LGALS1,20303.328125,WO,2,WO_F2
P09382,LGALS1,37170.96875,WO,3,WO_F3
P09382,LGALS1,28985.30078125,WO,4,WO_F4
Q96C86,DCPS,15858.3134765625,WO,2,WO_F2
O60832,DKC1,60261.47265625,EP,2,EP_F2
O60832,DKC1,112474.5703125,EP,3,EP_F3
O60832,DKC1,56049.51953125,EP,4,EP_F4
O60832,DKC1,111931.1484375,WO,1,WO_F1
O60832,DKC1,130106.4296875,WO,2,WO_F2
O60832,DKC1,162986.09375,WO,3,WO_F3
O60832,DKC1,116654.9765625,WO,4,WO_F4
O94874,UFL1,11682.044921875,EP,2,EP_F2
O94874,UFL1,4933.90869140625,WO,2,WO_F2
Q14498,RBM39,184919.046875,WO,4,WO_F4
P62310,LSM3,6725.8125,EP,2,EP_F2
P62310,LSM3,2032.1405029296875,EP,3,EP_F3
P62310,LSM3,3947.40673828125,WO,2,WO_F2
Q96L92,SNX27,19162.232421875,EP,1,EP_F1
Q96L92,SNX27,14553.53125,EP,2,EP_F2
Q96L92,SNX27,14731.998046875,WO,1,WO_F1
Q96L92,SNX27,14229.978515625,WO,2,WO_F2
O14737,PDCD5,110262.3671875,WO,1,WO_F1
O14737,PDCD5,88656.5390625,WO,2,WO_F2
Q15056,EIF4H,70811.640625,WO,1,WO_F1
Q15056,EIF4H,523963.8125,WO,2,WO_F2
Q15056,EIF4H,1448068.625,WO,3,WO_F3
P62140,PPP1CB,43686.625,EP,1,EP_F1
P62140,PPP1CB,180985.328125,EP,2,EP_F2
P62140,PPP1CB,292978.59375,EP,3,EP_F3
P62140,PPP1CB,72696.7265625,EP,4,EP_F4
P62140,PPP1CB,42601.25,WO,1,WO_F1
P62140,PPP1CB,178693.859375,WO,2,WO_F2
P62140,PPP1CB,222299.90625,WO,3,WO_F3
P62140,PPP1CB,57733.01953125,WO,4,WO_F4
Q9Y285,FARSA,19542.974609375,EP,4,EP_F4
Q9Y285,FARSA,10218.6748046875,WO,1,WO_F1
Q9Y285,FARSA,12544.908203125,WO,2,WO_F2
Q9Y285,FARSA,19006.416015625,WO,4,WO_F4
Q99733,NAP1L4,425001.625,EP,2,EP_F2
Q99733,NAP1L4,184964.546875,WO,2,WO_F2
Q99733,NAP1L4,39487.19921875,WO,3,WO_F3
Q9UIA9,XPO7,15352.9560546875,EP,1,EP_F1
Q9UIA9,XPO7,21831.974609375,EP,4,EP_F4
Q9UIA9,XPO7,14773.2607421875,WO,4,WO_F4
Q9UIA9,XPO7,12561.7041015625,WO,3,WO_F3
Q9BWU0,SLC4A1AP,14614.9013671875,WO,4,WO_F4
P62280,RPS11,658270.375,EP,1,EP_F1
P62280,RPS11,493825.5625,WO,1,WO_F1
Q9BY77,POLDIP3,6831.2412109375,EP,3,EP_F3
Q9BY77,POLDIP3,17188.763671875,WO,4,WO_F4
Q09028,RBBP4,92489.3046875,EP,1,EP_F1
Q09028,RBBP4,27226.791015625,WO,1,WO_F1
P63313,TMSB10,3809.59423828125,EP,1,EP_F1
P63313,TMSB10,23388.57421875,EP,2,EP_F2
P63313,TMSB10,12211.0234375,EP,3,EP_F3
P63313,TMSB10,18005.916015625,WO,1,WO_F1
P63313,TMSB10,372249.46875,WO,2,WO_F2
P63313,TMSB10,68462.7890625,WO,3,WO_F3
P63313,TMSB10,43727.9765625,WO,4,WO_F4
P33176,KIF5B,59355.11328125,EP,1,EP_F1
P33176,KIF5B,89665.34375,EP,2,EP_F2
P33176,KIF5B,62211.4609375,EP,3,EP_F3
P33176,KIF5B,53909.66796875,WO,1,WO_F1
P33176,KIF5B,94546.125,WO,2,WO_F2
P33176,KIF5B,64234.07421875,WO,3,WO_F3
P36873,PPP1CC,186253.75,EP,1,EP_F1
P36873,PPP1CC,133834.234375,EP,2,EP_F2
P36873,PPP1CC,30533.818359375,EP,3,EP_F3
P36873,PPP1CC,24002.337890625,EP,4,EP_F4
P36873,PPP1CC,96793.5625,WO,1,WO_F1
P36873,PPP1CC,14686.341796875,WO,4,WO_F4
P47755,CAPZA2,41241.51171875,EP,1,EP_F1
P47755,CAPZA2,21162.134765625,WO,1,WO_F1
P47755,CAPZA2,127576.2265625,WO,2,WO_F2
P27816,MAP4,1111477.375,WO,4,WO_F4
Q01518,CAP1,424458.75,WO,2,WO_F2
Q01518,CAP1,94700.234375,WO,3,WO_F3
O60282,KIF5C,22423.806640625,WO,1,WO_F1
P29083,GTF2E1,1607.033935546875,EP,1,EP_F1
P29083,GTF2E1,7010.79638671875,EP,2,EP_F2
P29083,GTF2E1,23461.181640625,EP,3,EP_F3
P29083,GTF2E1,3993.805419921875,EP,4,EP_F4
P29083,GTF2E1,1776.567138671875,WO,1,WO_F1
P29083,GTF2E1,8628.7861328125,WO,2,WO_F2
P29083,GTF2E1,20577.73828125,WO,3,WO_F3
P29083,GTF2E1,2194.54296875,WO,4,WO_F4
Q7Z2W4,ZC3HAV1,6083.22802734375,EP,3,EP_F3
Q7Z2W4,ZC3HAV1,4973.9931640625,WO,3,WO_F3
P29218,IMPA1,149123.953125,WO,4,WO_F4
O43772,SLC25A20,6069.31494140625,EP,1,EP_F1
O43772,SLC25A20,21181.291015625,EP,2,EP_F2
O43772,SLC25A20,8130.26416015625,EP,3,EP_F3
O43772,SLC25A20,7087.00146484375,EP,4,EP_F4
P07741,APRT,21613.015625,EP,1,EP_F1
P07741,APRT,58221.76171875,EP,2,EP_F2
P07741,APRT,280591.53125,EP,3,EP_F3
P07741,APRT,19410.857421875,WO,1,WO_F1
P07741,APRT,87899.0390625,WO,2,WO_F2
P07741,APRT,138080.1875,WO,3,WO_F3
Q8IV56,PRR15,73676.25,WO,1,WO_F1
Q8IV56,PRR15,50398.046875,WO,2,WO_F2
Q8IV56,PRR15,144007.515625,WO,3,WO_F3
Q8IV56,PRR15,94253.8359375,WO,4,WO_F4
Q9NY33,DPP3,24793.916015625,EP,1,EP_F1
Q9NY33,DPP3,32073.62109375,EP,4,EP_F4
Q9NY33,DPP3,22201.138671875,WO,4,WO_F4
Q9UBF6,RNF7,10027.009765625,WO,1,WO_F1
Q9UBF6,RNF7,5167.755859375,WO,2,WO_F2
P17252,PRKCA,172269.75,EP,2,EP_F2
P17252,PRKCA,50533.5078125,WO,2,WO_F2
Q9Y5S9,RBM8A,114251.203125,WO,2,WO_F2
Q6P1J9,CDC73,8561.3544921875,EP,1,EP_F1
P0C870,JMJD7,0,EP,2,EP_F2
P0C870,JMJD7,0,WO,2,WO_F2
Q86VR2,RETREG3,385.13079833984375,WO,1,WO_F1
Q86VR2,RETREG3,6702.283203125,WO,3,WO_F3
Q86VR2,RETREG3,835.1470947265625,WO,4,WO_F4
O60927,PPP1R11,64842.4296875,WO,2,WO_F2
O60927,PPP1R11,13069.244140625,WO,3,WO_F3
Q99611,SEPHS2,2617.787109375,WO,4,WO_F4
Q9HCE0,EPG5,4980.359375,WO,1,WO_F1
Q9HCE0,EPG5,7781.60205078125,WO,2,WO_F2
P60880,SNAP25,11308.095703125,EP,1,EP_F1
P60880,SNAP25,7387.126953125,EP,2,EP_F2
P60880,SNAP25,4779.21337890625,EP,3,EP_F3
P60880,SNAP25,32521.162109375,WO,1,WO_F1
P60880,SNAP25,14604.4833984375,WO,2,WO_F2
Q9UIS9,MBD1,2040.91162109375,EP,1,EP_F1
Q9UIS9,MBD1,770.91094970703125,EP,4,EP_F4
Q9UIS9,MBD1,3993.140380859375,WO,4,WO_F4
P21980,TGM2,13885.3447265625,EP,1,EP_F1
P21980,TGM2,25324.99609375,EP,2,EP_F2
P21980,TGM2,9352.3017578125,EP,3,EP_F3
P21980,TGM2,16916.53515625,WO,1,WO_F1
P21980,TGM2,37524.12109375,WO,2,WO_F2
P21980,TGM2,17422.595703125,WO,3,WO_F3
O00299,CLIC1,116990.5234375,EP,1,EP_F1
O00299,CLIC1,102794.46875,EP,2,EP_F2
O00299,CLIC1,59947.32421875,EP,3,EP_F3
O00299,CLIC1,76251.890625,EP,4,EP_F4
O00299,CLIC1,100589.40625,WO,1,WO_F1
O00299,CLIC1,132156.765625,WO,2,WO_F2
O00299,CLIC1,83270.265625,WO,3,WO_F3
O00299,CLIC1,74179.0625,WO,4,WO_F4
P16333,NCK1,22681.296875,EP,2,EP_F2
P16333,NCK1,18017.828125,WO,2,WO_F2
O14545,TRAFD1,11634.6787109375,EP,1,EP_F1
O14545,TRAFD1,5593.5478515625,EP,2,EP_F2
O14545,TRAFD1,66170.3515625,WO,1,WO_F1
O14545,TRAFD1,21966.72265625,WO,2,WO_F2
O14545,TRAFD1,26280.05859375,WO,3,WO_F3
Q86V48,LUZP1,11111.2119140625,WO,3,WO_F3
Q9Y4E8,USP15,7654.7685546875,EP,1,EP_F1
Q9Y4E8,USP15,4741.6123046875,WO,1,WO_F1
Q9H2C0,GAN,987.0638427734375,EP,1,EP_F1
Q9H2C0,GAN,1654.595703125,EP,2,EP_F2
Q9H2C0,GAN,2401.0615234375,WO,1,WO_F1
Q9H2C0,GAN,2051.965087890625,WO,2,WO_F2
P60510,PPP4C,27528.26953125,EP,1,EP_F1
P60510,PPP4C,17136.359375,WO,1,WO_F1
O95361,TRIM16,8380.30859375,WO,4,WO_F4
O60237,PPP1R12B,24689.25390625,WO,2,WO_F2
Q14244,MAP7,215279.59375,WO,1,WO_F1
Q14244,MAP7,107883.28125,WO,2,WO_F2
Q14244,MAP7,107044.8203125,WO,3,WO_F3
Q9NQ48,LZTFL1,18830.83203125,EP,4,EP_F4
Q9NQ48,LZTFL1,26438.796875,WO,1,WO_F1
Q9NQ48,LZTFL1,72463.7109375,WO,4,WO_F4
Q9NYB9,ABI2,29826.865234375,WO,4,WO_F4
Q8IZP0,ABI1,59405.15234375,WO,4,WO_F4
Q96C01,FAM136A,19605.349609375,EP,2,EP_F2
Q96C01,FAM136A,2670.34716796875,EP,3,EP_F3
Q96C01,FAM136A,78568.8984375,WO,1,WO_F1
Q96C01,FAM136A,198701.21875,WO,2,WO_F2
Q96C01,FAM136A,72337.65625,WO,3,WO_F3
Q96C01,FAM136A,51484.44921875,WO,4,WO_F4
P51114,FXR1,15125.677734375,EP,2,EP_F2
P51114,FXR1,8593.1259765625,EP,3,EP_F3
P51114,FXR1,15994.4814453125,WO,2,WO_F2
Q96I24,FUBP3,17635.591796875,WO,1,WO_F1
Q96I24,FUBP3,28106.029296875,WO,2,WO_F2
Q96I24,FUBP3,80915.0625,WO,3,WO_F3
Q96I24,FUBP3,59107.453125,WO,4,WO_F4
Q9HD15,SRA1,15821.9765625,WO,1,WO_F1
Q9HD15,SRA1,22175.697265625,WO,3,WO_F3
Q9HD15,SRA1,19969.33203125,WO,4,WO_F4
Q9NXV2,KCTD5,10748.8505859375,WO,2,WO_F2
Q9NXV2,KCTD5,3993.148681640625,WO,3,WO_F3
O00505,KPNA3,15181.7373046875,EP,1,EP_F1
O00505,KPNA3,22790.98828125,WO,1,WO_F1
Q09472,EP300,2760.724365234375,WO,2,WO_F2
Q9NQT5,EXOSC3,2903.655029296875,WO,2,WO_F2
Q9NQT5,EXOSC3,3450.978759765625,WO,3,WO_F3
Q8IXJ6,SIRT2,8619.8623046875,WO,2,WO_F2
Q9H098,FAM107B,50451.94921875,WO,2,WO_F2
Q04760,GLO1,310128.15625,EP,1,EP_F1
Q04760,GLO1,632849.875,EP,2,EP_F2
Q04760,GLO1,961664.1875,EP,3,EP_F3
Q04760,GLO1,985074.5,EP,4,EP_F4
Q04760,GLO1,165110.078125,WO,2,WO_F2
Q04760,GLO1,214704.984375,WO,3,WO_F3
Q04760,GLO1,177865.171875,WO,4,WO_F4
Q9NRR5,UBQLN4,23827.6484375,WO,2,WO_F2
Q9NRR5,UBQLN4,3739.01318359375,WO,3,WO_F3
P26998,CRYBB3,9052.0029296875,EP,1,EP_F1
P26998,CRYBB3,15388.6787109375,WO,1,WO_F1
P11413,G6PD,63323.2734375,EP,2,EP_F2
P11413,G6PD,35070.02734375,WO,2,WO_F2
P11413,G6PD,24187.22265625,WO,3,WO_F3
O60869,EDF1,218459.625,EP,3,EP_F3
O60869,EDF1,349621.53125,WO,1,WO_F1
O60869,EDF1,549664.4375,WO,2,WO_F2
O60869,EDF1,871923.1875,WO,3,WO_F3
O60869,EDF1,390608.6875,WO,4,WO_F4
Q8TAT6,NPLOC4,18725.3046875,EP,1,EP_F1
Q8TAT6,NPLOC4,15401.107421875,EP,2,EP_F2
Q8TAT6,NPLOC4,46560.48046875,EP,3,EP_F3
Q8TAT6,NPLOC4,17192.6015625,EP,4,EP_F4
Q8TAT6,NPLOC4,20785.82421875,WO,1,WO_F1
Q8TAT6,NPLOC4,14030.169921875,WO,2,WO_F2
Q8TAT6,NPLOC4,34127.5546875,WO,3,WO_F3
Q8TAT6,NPLOC4,15595.73046875,WO,4,WO_F4
Q08945,SSRP1,68540.390625,EP,2,EP_F2
Q08945,SSRP1,140790.765625,EP,3,EP_F3
Q08945,SSRP1,119124.984375,EP,4,EP_F4
Q08945,SSRP1,40057.03125,WO,1,WO_F1
Q08945,SSRP1,53126.0390625,WO,2,WO_F2
Q08945,SSRP1,80653.9609375,WO,3,WO_F3
Q08945,SSRP1,80197.09375,WO,4,WO_F4
Q14151,SAFB2,335114.0625,WO,2,WO_F2
Q14151,SAFB2,119202.84375,WO,3,WO_F3
Q14151,SAFB2,78624.7265625,WO,4,WO_F4
Q15424,SAFB,503205.5,WO,2,WO_F2
Q15424,SAFB,163981.921875,WO,3,WO_F3
Q15424,SAFB,229386.953125,WO,4,WO_F4
O60493,SNX3,82497.0859375,WO,1,WO_F1
P61018,RAB4B,13996.5380859375,EP,1,EP_F1
P61018,RAB4B,8502.7607421875,EP,2,EP_F2
