Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
P35443,WO,THBS4,WO_F2,WO,WO,2,12051.3037109375
P35443,WO,THBS4,WO_F4,WO,WO,4,2430.28564453125
P35443,WO,THBS4,WO_F3,WO,WO,3,1505.1419677734375
Q9NZM5,WO,NOP53,WO_F3,WO,WO,3,29791.3671875
Q9NZM5,WO,NOP53,WO_F4,WO,WO,4,9639.20703125
Q9NZM5,WO,NOP53,WO_F2,WO,WO,2,25405.578125
Q9NZM5,WO,NOP53,WO_F1,WO,WO,1,9409.3583984375
P0DMQ5,WO,INAFM2,WO_F2,WO,WO,2,41661.58984375
P0DMQ5,WO,INAFM2,WO_F3,WO,WO,3,28310.53515625
P0DMQ5,WO,INAFM2,WO_F4,WO,WO,4,6400.0908203125
Q8N6I1,WO,EID2,WO_F1,WO,WO,1,10687.97265625
Q8N6I1,WO,EID2,WO_F2,WO,WO,2,11251.958984375
Q8N6I1,WO,EID2,WO_F4,WO,WO,4,3147.759521484375
O94842,WO,TOX4,WO_F2,WO,WO,2,10471.310546875
Q96MH2,WO,HEXIM2,WO_F1,WO,WO,1,15330.078125
Q96MH2,WO,HEXIM2,WO_F2,WO,WO,2,10073.4560546875
Q96MH2,WO,HEXIM2,WO_F3,WO,WO,3,18525.333984375
Q96MH2,WO,HEXIM2,WO_F4,WO,WO,4,14693.1728515625
P23610,WO,F8A3,WO_F1,WO,WO,1,3297.311279296875
P08473,WO,MME,WO_F3,WO,WO,3,16744.9921875
P08473,WO,MME,WO_F1,WO,WO,1,18621.28515625
Q15544,WO,TAF11,WO_F1,WO,WO,1,7933.451171875
Q15544,WO,TAF11,WO_F2,WO,WO,2,4209.74365234375
O60356,WO,NUPR1,WO_F1,WO,WO,1,8600.234375
O60356,WO,NUPR1,WO_F2,WO,WO,2,13270.732421875
Q13207,WO,TBX2,WO_F2,WO,WO,2,29784.697265625
Q13127,WO,REST,WO_F1,WO,WO,1,9262.9013671875
Q96B36,WO,AKT1S1,WO_F2,WO,WO,2,8854.513671875
Q6NZY4,WO,ZCCHC8,WO_F2,WO,WO,2,10724.0009765625
Q6NZY4,WO,ZCCHC8,WO_F1,WO,WO,1,11423.0078125
Q6NZY4,WO,ZCCHC8,WO_F4,WO,WO,4,11105.3427734375
Q6NZY4,WO,ZCCHC8,WO_F3,WO,WO,3,10887.4599609375
Q15768,WO,EFNB3,WO_F2,WO,WO,2,3152.214599609375
Q15768,WO,EFNB3,WO_F3,WO,WO,3,6770.20458984375
Q15768,WO,EFNB3,WO_F1,WO,WO,1,5158.37548828125
Q15768,WO,EFNB3,WO_F4,WO,WO,4,1089.7672119140625
Q9NNX1,WO,TUFT1,WO_F1,WO,WO,1,10739.6787109375
Q13895,WO,BYSL,WO_F1,WO,WO,1,26519.09375
