Protein.Group,Unique_to
Q9P242,WO
O75054,WO
Q96KQ4,WO
Q9H3T3,WO
Q8IUL8,WO
Q96CW6,WO
Q96G28,WO
Q9H7X7,WO
Q96LW7,WO
O75208,WO
Q2M2W7,WO
A8MTZ0,WO
Q8IZY2,WO
Q15696,WO
Q9NSA3,WO
Q8NDX5,WO
O00470,WO
Q92185,WO
P48788,WO
Q9P275,WO
P60002,WO
O95715,WO
Q8IUW5,WO
P02790,WO
Q6P9B9,WO
Q96LJ8,WO
Q9HCQ7,WO
Q9UQC2,WO
A6NFY7,WO
Q8WYL5,WO
P16519,WO
Q9HCJ3,WO
Q8NI37,WO
Q92610,WO
Q9P2E7,WO
P61952,WO
Q6IPX3,WO
P01040,WO
Q8N6M6,WO
O95835,WO
Q8N4V1,WO
Q5VUE5,WO
Q8IY57,WO
Q8IZP6,WO
Q9BT92,WO
Q8IYM0,WO
O94772,WO
Q7L804,WO
P16591,WO
Q96CV9,WO
Q9UGR2,WO
Q9H7P9,WO
Q9NQB0,WO
Q8WYQ3,WO
Q13487,WO
Q9BVH7,WO
Q96LR4,WO
Q8NFV4,WO
O43677,WO
Q9UKV0,WO
Q1MSJ5,WO
Q9NP08,WO
Q0P6D2,WO
Q9UNL2,WO
Q06455,WO
Q8WVI7,WO
Q9BZ67,WO
Q08117,WO
P46734,WO
Q969M3,WO
Q9NWZ8,WO
Q13491,WO
Q99952,WO
Q14CZ8,WO
Q96NM4,WO
P00740,WO
Q9NPI7,WO
Q86XK3,WO
Q8WZ82,WO
Q13506,WO
Q7Z7N9,WO
P19419,WO
Q8N157,WO
Q9H9J4,WO
Q70EL1,WO
Q9NZ43,WO
P58549,WO
Q9BZ76,WO
