"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"[CE 22:6 +NH4]","CE","s9",2536.700161,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.3087372869955
"[CE 24:1 +Na]","CE","s1",2280.280155,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.154995369315
"[CE 24:1 +Na]","CE","s2",2488.14019,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.2808520586032
"[CE 24:1 +Na]","CE","s3",2074.140141,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.0182976589942
"[CE 24:1 +Na]","CE","s4",2876.040192,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.4898681219115
"[CE 24:1 +Na]","CE","s5",2291.660156,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.1621773987369
"[CE 24:1 +Na]","CE","s6",3213.300232,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.6498400687648
"[CE 24:1 +Na]","CE","s7",2030.380138,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9875341459962
"[CE 24:1 +Na]","CE","s8",4235.720276,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.0483916025682
"[CE 24:1 +Na]","CE","s9",2340.680172,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1927121042928
"Cer(d14:2/16:0)","Cer","s1",1428.640095,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.4804268011265
"Cer(d14:2/16:0)","Cer","s2",1513.30011,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.5634824085511
"Cer(d14:2/16:0)","Cer","s3",1485.900101,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.5371214095315
"Cer(d14:2/16:0)","Cer","s4",1772.66013,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7917002412226
"Cer(d14:2/16:0)","Cer","s5",1650.400116,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.6886001124004
"Cer(d14:2/16:0)","Cer","s6",3184.140232,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.6366881593489
"Cer(d14:2/16:0)","Cer","s7",1620.460121,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6621878014959
"Cer(d14:2/16:0)","Cer","s8",1597.880112,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6419434524327
"Cer(d14:2/16:0)","Cer","s9",1564.340107,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6113384912584
"Cer(d14:1/16:0)","Cer","s1",1297.260086,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.341252037317
"Cer(d14:1/16:0)","Cer","s2",1395.400093,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.446463119569
