"UNIPROT","ENTREZID","SYMBOL"
"Q96RQ3","56922","MCCC1"
"Q9HCC0","64087","MCCC2"
"Q96PE7","84693","MCEE"
"Q07820","4170","MCL1"
"P49736","4171","MCM2"
"P25205","4172","MCM3"
"O60318","8888","MCM3AP"
"P33991","4173","MCM4"
"P33992","4174","MCM5"
"Q14566","4175","MCM6"
"P33993","4176","MCM7"
"Q9UJA3","84515","MCM8"
"Q9NXL9","254394","MCM9"
"Q9BTE3","79892","MCMBP"
"Q9GZU1","57192","MCOLN1"
"Q8TDD5","55283","MCOLN3"
"C9JLW8","348262","MCRIP1"
"Q9BUT9","84331","MCRIP2"
"Q96EZ8","10445","MCRS1"
"Q9ULC4","28985","MCTS1"
"Q8NE86","90550","MCU"
"Q9NWR8","55013","MCUB"
"Q96AQ8","63933","MCUR1"
"Q14676","9656","MDC1"
"Q9P1T7","29969","MDFIC"
"P40925","4190","MDH1"
"P40926","4191","MDH2"
"P21741","4192","MDK"
"Q9NU22","23195","MDN1"
"P48163","4199","ME1"
"P23368","4200","ME2"
"Q9HAF1","64769","MEAF6"
"Q6P9B6","57707","MEAK7"
"Q03112","2122","MECOM"
"P51608","4204","MECP2"
"Q9BV79","51102","MECR"
"Q15648","5469","MED1"
"Q9BTT4","84246","MED10"
"Q9P086","400569","MED11"
"Q93074","9968","MED12"
"Q9UHV7","9969","MED13"
"Q71F56","23389","MED13L"
"O60244","9282","MED14"
"Q96RN5","51586","MED15"
"Q9Y2X0","10025","MED16"
"Q9NVC6","9440","MED17"
"Q9BUE0","54797","MED18"
"A0JLT2","219541","MED19"
"Q9H944","9477","MED20"
"Q15528","6837","MED22"
"Q9ULK4","9439","MED23"
"O75448","9862","MED24"
"Q71SY5","81857","MED25"
"O95402","9441","MED26"
"Q6P2C8","9442","MED27"
"Q9NX70","55588","MED29"
"Q96HR3","90390","MED30"
"Q9Y3C7","51003","MED31"
"Q9NPJ6","29079","MED4"
"O75586","10001","MED6"
"Q96G25","112950","MED8"
"Q9NWA0","55090","MED9"
"Q02078","4205","MEF2A"
"Q06413","4208","MEF2C"
"Q14814","4209","MEF2D"
"Q7Z7M0","1954","MEGF8"
"Q14680","9833","MELK"
"Q9Y316","51072","MEMO1"
"O00255","4221","MEN1"
"Q7L2J0","56257","MEPCE"
"Q14696","23184","MESD"
"P08581","4233","MET"
"P53582","23173","METAP1"
"Q6UB28","254042","METAP1D"
"P50579","10988","METAP2"
"Q9UBP6","4234","METTL1"
"Q8N6R0","51603","METTL13"
"Q9HCE5","57721","METTL14"
"A6NJ78","196074","METTL15"
"Q86W50","79066","METTL16"
"Q8WXB1","151194","METTL21A"
"Q6P1Q9","55798","METTL2B"
"Q86U44","56339","METTL3"
"Q9NRN9","29081","METTL5"
"Q9H1A3","51108","METTL9"
"A1L020","92312","MEX3A"
"Q6ZN04","84206","MEX3B"
"Q5U5Q3","51320","MEX3C"
"P55081","4236","MFAP1"
"Q9GZY8","56947","MFF"
"Q8IWA4","55669","MFN1"
"O95140","9927","MFN2"
"Q9H3U5","64747","MFSD1"
"Q14728","10227","MFSD10"
"Q8IWI9","23269","MGA"
"Q8TDB4","84709","MGARP"
"P26572","4245","MGAT1"
"Q10469","4247","MGAT2"
"Q09328","4249","MGAT5"
"Q9BQP7","92667","MGME1"
"P10620","4257","MGST1"
"Q99735","4258","MGST2"
"O14880","4259","MGST3"
"Q96PC5","4253","MIA2"
"Q5JRA6","375056","MIA3"
"Q86YT6","57534","MIB1"
"Q29983","100507436","MICA"
"Q8TDZ2","64780","MICAL1"
"Q7RTP6","57553","MICAL3"
"Q8N3F8","85377","MICALL1"
"Q5TGZ0","440574","MICOS10"
"Q5XKP0","125988","MICOS13"
"Q9BPX6","10367","MICU1"
"Q8IYU8","221154","MICU2"
"O15344","4281","MID1"
"Q9UJV3","11043","MID2"
"Q6PJG2","91748","MIDEAS"
"Q9NQG6","54471","MIEF1"
"Q8N108","57708","MIER1"
"Q7Z3K6","166968","MIER3"
"P14174","4282","MIF"
"A9UHW6","57409","MIF4GD"
"Q8NAN2","374986","MIGA1"
"Q5JXC2","60672","MIIP"
"Q8N5J2","55793","MINDY1"
"Q9H8M7","80013","MINDY3"
"Q8N4C8","50488","MINK1"
"Q9UNW1","9562","MINPP1"
"Q9NXC5","54468","MIOS"
"Q99797","4285","MIPEP"
"Q9H081","79003","MIS12"
"Q6P0N0","55320","MIS18BP1"
"Q96FF7","113230","MISP3"
"Q8WV92","129531","MITD1"
"O75030","4286","MITF"
"Q4VC31","131076","MIX23"
"P46013","4288","MKI67"
"Q9UL63","4289","MKLN1"
"Q9BUB5","8569","MKNK1"
"Q9UHC7","23608","MKRN1"
"Q9H000","23609","MKRN2"
"Q14165","9761","MLEC"
"P58340","4291","MLF1"
"Q15773","8079","MLF2"
"Q03111","4298","MLLT1"
"P55197","8028","MLLT10"
"P42568","4300","MLLT3"
"Q9BVC4","64223","MLST8"
"Q9UH92","6945","MLX"
"Q9HAP2","22877","MLXIP"
"O95822","23417","MLYCD"
"Q96EY8","326625","MMAB"
"Q9Y4U1","25974","MMACHC"
"Q9H3L0","27249","MMADHC"
"Q8N4V1","93380","MMGT1"
"Q96T76","64210","MMS19"
"Q6ZRQ5","253714","MMS22L"
"Q9BU76","79169","C1orf35"
"P22033","4594","MMUT"
"P51948","4331","MNAT1"
"Q9BWT6","84057","MND1"
"Q99583","4335","MNT"
"P50219","3110","MNX1"
"Q96BX8","126308","MOB3A"
"Q9Y3A3","25843","MOB4"
"Q96EN8","55034","MOCOS"
"Q9NZB8","4337","MOCS1"
"O96007","4338","MOCS2"
"Q13724","7841","MOGS"
"Q86VX9","84315","MON1A"
"Q7L1V2","22879","MON1B"
"Q7Z3U7","23041","MON2"
"Q9Y6X9","22880","MORC2"
"Q14149","23515","MORC3"
"Q8TE76","79710","MORC4"
"Q9UBU8","10933","MORF4L1"
"Q15014","9643","MORF4L2"
"Q9UJG1","56180","MOSPD1"
"Q8NHP6","158747","MOSPD2"
"Q9HCE1","4343","MOV10"
"Q6UVY6","26002","MOXD1"
"O95563","25874","MPC2"
"O75352","9526","MPDU1"
"O75970","8777","MPDZ"
"P29372","4350","MPG"
"O00566","10199","MPHOSPH10"
"Q99547","10200","MPHOSPH6"
"Q99549","54737","MPHOSPH8"
"Q99550","10198","MPHOSPH9"
"P34949","4351","MPI"
"Q00013","4354","MPP1"
"Q14168","4355","MPP2"
"Q5T2T1","143098","MPP7"
"Q6WCQ1","23164","MPRIP"
"P25325","4357","MPST"
"P39210","4358","MPV17"
"Q567V2","84769","MPV17L2"
"O95297","9019","MPZL1"
"O14807","22808","MRAS"
"P49959","4361","MRE11"
"Q8N565","55686","MREG"
"B2RBV5","93622","MRFAP1L2"
"Q9NV56","55257","MRGBP"
"Q9BV20","84245","MRI1"
"Q9UI43","29960","MRM2"
"Q9HC36","55178","MRM3"
"Q6NTE8","51149","MRNIP"
"Q9BYD6","65008","MRPL1"
"Q7Z7H8","124995","MRPL10"
"Q9Y3B7","65003","MRPL11"
"P52815","6182","MRPL12"
"Q9BYD1","28998","MRPL13"
"Q6P1L8","64928","MRPL14"
"Q9P015","29088","MRPL15"
"Q9NX20","54948","MRPL16"
"Q9NRX2","63875","MRPL17"
"Q9H0U6","29074","MRPL18"
"P49406","9801","MRPL19"
"Q5T653","51069","MRPL2"
"Q9BYC9","55052","MRPL20"
"Q7Z2W9","219927","MRPL21"
"Q9NWU5","29093","MRPL22"
"Q16540","6150","MRPL23"
"Q96A35","79590","MRPL24"
"Q9P0M9","51264","MRPL27"
"Q13084","10573","MRPL28"
"P09001","11222","MRPL3"
"Q8TCC3","51263","MRPL30"
"Q9BYC8","64983","MRPL32"
"O75394","9553","MRPL33"
"Q9BQ48","64981","MRPL34"
"Q9NZE8","51318","MRPL35"
"Q9BZE1","51253","MRPL37"
"Q96DV4","64978","MRPL38"
"Q9NYK5","54148","MRPL39"
"Q9BYD3","51073","MRPL4"
"Q9NQ50","64976","MRPL40"
"Q8IXM3","64975","MRPL41"
"Q9Y6G3","28977","MRPL42"
"Q8N983","84545","MRPL43"
"Q9H9J2","65080","MRPL44"
"Q9BRJ2","84311","MRPL45"
"Q9H2W6","26589","MRPL46"
"Q9HD33","57129","MRPL47"
"Q96GC5","51642","MRPL48"
"Q13405","740","MRPL49"
"Q8N5N7","54534","MRPL50"
"Q4U2R6","51258","MRPL51"
"Q86TS9","122704","MRPL52"
"Q96EL3","116540","MRPL53"
"Q6P161","116541","MRPL54"
"Q7Z7F7","128308","MRPL55"
"Q9BQC6","78988","MRPL57"
"Q14197","3396","MRPL58"
"Q9BYD2","65005","MRPL9"
"P82664","55173","MRPS10"
"P82912","64963","MRPS11"
"O15235","6183","MRPS12"
"O60783","63931","MRPS14"
"P82914","64960","MRPS15"
"Q9Y3D3","51021","MRPS16"
"Q9Y2R5","51373","MRPS17"
"Q9NVS2","55168","MRPS18A"
"Q9Y676","28973","MRPS18B"
"Q9Y3D5","51023","MRPS18C"
"Q9Y399","51116","MRPS2"
"P82921","54460","MRPS21"
"P82650","56945","MRPS22"
"Q9Y3D9","51649","MRPS23"
"Q96EL2","64951","MRPS24"
"P82663","64432","MRPS25"
"Q9BYN8","64949","MRPS26"
"Q92552","23107","MRPS27"
"Q9Y2Q9","28957","MRPS28"
"Q9NP92","10884","MRPS30"
"Q92665","10240","MRPS31"
"Q9Y291","51650","MRPS33"
"P82930","65993","MRPS34"
"P82673","60488","MRPS35"
"P82675","64969","MRPS5"
"P82932","64968","MRPS6"
"Q9Y2R9","51081","MRPS7"
"P82933","64965","MRPS9"
"Q96E11","92399","MRRF"
"Q9HD23","57380","MRS2"
"Q9ULH7","57496","MRTFB"
"Q9UKD2","51154","MRTO4"
"Q8NCY6","84437","MSANTD4"
"A0A1W2PQ72","100421372","MSANTD7"
"P43246","4436","MSH2"
"P20585","4437","MSH3"
"P52701","2956","MSH6"
"O43347","4440","MSI1"
"Q96DH6","124540","MSI2"
"Q9HCI7","55167","MSL2"
"Q8N5Y2","10943","MSL3"
"Q15800","6307","MSMO1"
"P26038","4478","MSN"
"Q9UJ68","4482","MSRA"
"Q9Y3D2","22921","MSRB2"
"Q8IXL7","253827","MSRB3"
"P26927","4485","MST1"
"Q9BUK6","55154","MSTO1"
"P00846","4508","ATP6"
"P03928","4509","ATP8"
"P00403","4513","COX2"
"P03886","4535","ND1"
"P03905","4538","ND4"
"P03915","4540","ND5"
"P04733","4494","MT1F"
"P80297","4501","MT1X"
"Q13330","9112","MTA1"
"O94776","9219","MTA2"
"Q9BTC8","57504","MTA3"
"Q13126","4507","MTAP"
"Q5VT66","64757","MTARC1"
"Q969Z3","54996","MTARC2"
"Q96DY7","27085","MTBP"
"Q9NZJ7","23787","MTCH1"
"Q9Y6C9","23788","MTCH2"
"Q9Y4B5","23255","MTCL1"
"O94964","140710","MTCL2"
"Q5TF21","387104","MTCL3"
"Q86UE4","92140","MTDH"
"Q96E29","51001","MTERF3"
"Q7Z6M4","130916","MTERF4"
"Q9Y483","22823","MTF2"
"Q96DP5","123263","MTFMT"
"Q9UDX5","51537","MTFP1"
"Q15390","9650","MTFR1"
"Q9H019","56181","MTFR1L"
"Q9BT17","92170","MTG1"
"Q9H4K7","26164","MTG2"
"P11586","4522","MTHFD1"
"Q6UB35","25902","MTHFD1L"
"P13995","10797","MTHFD2"
"P42898","4524","MTHFR"
"P49914","10588","MTHFS"
"Q2M296","64779","MTHFSD"
"P46199","4528","MTIF2"
"Q9H2K0","219402","MTIF3"
"Q13496","4534","MTM1"
"Q13613","8776","MTMR1"
"Q8NCE2","64419","MTMR14"
"Q13614","8898","MTMR2"
"Q13615","8897","MTMR3"
"Q9NYA4","9110","MTMR4"
"Q9Y217","9107","MTMR6"
"Q9BSJ5","55028","MTNAP1"
"Q9Y2Z2","25821","MTO1"
"P42345","2475","MTOR"
"Q9NVV4","55149","MTPAP"
"P58546","136319","MTPN"
"Q99707","4548","MTR"
"Q9P0P8","51250","MTRES1"
"P42285","23517","MTREX"
"Q9UGC7","54516","MTRF1L"
"Q9H3J6","91574","MTRFR"
"Q9UBK8","4552","MTRR"
"Q765P7","92154","MTSS2"
"Q9ULD2","57509","MTUS1"
"Q13505","4580","MTX1"
"O75431","10651","MTX2"
"Q5HYI7","345778","MTX3"
"Q969V5","79594","MUL1"
"Q96NY9","80198","MUS81"
"Q96EY5","93343","MVB12A"
"P53602","4597","MVD"
"Q03426","4598","MVK"
"Q96S97","91663","MYADM"
"Q9BQG0","10514","MYBBP1A"
"P10244","4605","MYBL2"
"Q99417","26292","MYCBP"
"O75592","23077","MYCBP2"
"Q969H8","56005","MYDGF"
"Q9P2K5","50804","MYEF2"
"Q9HB07","60314","MYG1"
"P35580","4628","MYH10"
"Q7Z406","79784","MYH14"
"P35579","4627","MYH9"
"P60660","4637","MYL6"
"P14649","140465","MYL6B"
"Q92614","399687","MYO18A"
"O43795","4430","MYO1B"
"O00159","4641","MYO1C"
"O94832","4642","MYO1D"
"Q12965","4643","MYO1E"
"Q9Y4I1","4644","MYO5A"
"Q9UM54","4646","MYO6"
"B2RTY4","4649","MYO9A"
"Q13459","4650","MYO9B"
"Q86VE0","339344","MYPOP"
"Q5VVJ2","114803","MYSM1"
"Q6P582","653784","MZT2A"
"Q6NZ67","80097","MZT2B"
"O75113","9683","N4BP1"
"Q86UW6","55728","N4BP2"
"O15049","23138","N4BP3"
"Q9Y5N5","29104","N6AMT1"
"P41227","8260","NAA10"
"Q9BXJ9","80155","NAA15"
"Q6N069","79612","NAA16"
"Q14CX7","80018","NAA25"
"Q147X3","122830","NAA30"
"Q5VZE5","60560","NAA35"
"Q9BRA0","84316","NAA38"
"Q86UY6","79829","NAA40"
"Q9GZZ1","80218","NAA50"
"Q02083","27163","NAAA"
"Q13506","4664","NAB1"
"Q9BQ15","79035","NABP2"
"E9PAV3","4666","NACA"
"Q96RE7","112939","NACC1"
"Q4G0N4","133686","NADK2"
"Q6IA69","55191","NADSYN1"
"Q13564","8883","NAE1"
"Q96HR8","92345","NAF1"
"P17050","4668","NAGA"
"Q9UJ70","55577","NAGK"
"P54802","4669","NAGLU"
"Q9UK23","51172","NAGPA"
"P43490","10135","NAMPT"
"Q8TBE9","140838","NANP"
"Q9NR45","54187","NANS"
"P55209","4673","NAP1L1"
"Q99733","4676","NAP1L4"
"P54920","8775","NAPA"
"Q9H115","63908","NAPB"
"Q99747","8774","NAPG"
"Q6XQN6","93100","NAPRT"
"Q9UHQ1","26502","NARF"
"O43776","4677","NARS1"
"Q96I59","79731","NARS2"
"P49321","4678","NASP"
"Q8WUY8","57106","NAT14"
"Q8NEY1","89796","NAV1"
"Q8NCW5","128240","NAXE"
"A2RRP1","51594","NBAS"
"Q8NFP9","26960","NBEA"
"O60934","4683","NBN"
"P13591","4684","NCAM1"
"Q15021","9918","NCAPD2"
"P42695","23310","NCAPD3"
"Q9BPX3","64151","NCAPG"
"Q86XI2","54892","NCAPG2"
"Q15003","23397","NCAPH"
"Q6IBW4","29781","NCAPH2"
"Q09161","4686","NCBP1"
"P52298","22916","NCBP2"
"Q69YL0","152217","NCBP2AS2"
"Q53F19","55421","NCBP3"
"Q9UBB6","23154","NCDN"
"Q6PIU2","57552","NCEH1"
"P16333","4690","NCK1"
"O43639","8440","NCK2"
"Q9Y2A7","10787","NCKAP1"
"Q9HCH0","57701","NCKAP5L"
"Q9NZQ3","51517","NCKIPSD"
"P19338","4691","NCL"
"Q969V3","56926","NCLN"
"Q15788","8648","NCOA1"
"Q15596","10499","NCOA2"
"Q9Y6Q9","8202","NCOA3"
"Q9HCD5","57727","NCOA5"
"Q14686","23054","NCOA6"
"Q8NI08","135112","NCOA7"
"O75376","9611","NCOR1"
"Q9Y618","9612","NCOR2"
"Q68D85","374383","NCR3LG1"
"P62166","23413","NCS1"
"Q92542","23385","NCSTN"
"Q9BTX1","55706","NDC1"
"O14777","10403","NDC80"
"Q9NXR1","54820","NDE1"
"Q9UHB4","27158","NDOR1"
"Q92597","10397","NDRG1"
"Q9UN36","57447","NDRG2"
"Q9UGV2","57446","NDRG3"
"P52848","3340","NDST1"
"O95299","4705","NDUFA10"
"Q86Y39","126328","NDUFA11"
"Q9UI09","55967","NDUFA12"
"Q9P0J0","51079","NDUFA13"
"O43678","4695","NDUFA2"
"O95167","4696","NDUFA3"
"Q16718","4698","NDUFA5"
"P56556","4700","NDUFA6"
"P51970","4702","NDUFA8"
"Q16795","4704","NDUFA9"
"O14561","4706","NDUFAB1"
"Q9Y375","51103","NDUFAF1"
"Q8N183","91942","NDUFAF2"
"Q9BU61","25915","NDUFAF3"
"Q9P032","29078","NDUFAF4"
"Q5TEU4","79133","NDUFAF5"
"Q7L592","55471","NDUFAF7"
"O75438","4707","NDUFB1"
"O96000","4716","NDUFB10"
"Q9NX14","54539","NDUFB11"
"O43676","4709","NDUFB3"
"O95168","4710","NDUFB4"
"O43674","4711","NDUFB5"
"O95139","4712","NDUFB6"
"P17568","4713","NDUFB7"
"Q9Y6M9","4715","NDUFB9"
"O95298","4718","NDUFC2"
"P28331","4719","NDUFS1"
"O75306","4720","NDUFS2"
"O75489","4722","NDUFS3"
"O43181","4724","NDUFS4"
"O43920","4725","NDUFS5"
"O75380","4726","NDUFS6"
"O75251","374291","NDUFS7"
"O00217","4728","NDUFS8"
"P49821","4723","NDUFV1"
"P19404","4729","NDUFV2"
"P56181","4731","NDUFV3"
"O76041","10529","NEBL"
"Q8NC96","25977","NECAP1"
"Q9NVZ3","55707","NECAP2"
"Q15223","5818","NECTIN1"
"Q92692","5819","NECTIN2"
"Q9NQS3","25945","NECTIN3"
"Q8NHV4","121441","NEDD1"
"P46934","4734","NEDD4"
"Q96PU5","23327","NEDD4L"
"P07196","4747","NEFL"
"P07197","4741","NEFM"
"Q96PY6","4750","NEK1"
"P51956","4752","NEK3"
"P51957","6787","NEK4"
"Q8TDX7","140609","NEK7"
"Q8TD19","91754","NEK9"
"Q9H3P2","7469","NELFA"
"Q8IXH7","51497","NELFCD"
"P18615","7936","NELFE"
"O60524","9147","NEMF"
"Q9UMX5","29937","NENF"
"Q6NW34","25871","NEPRO"
"P48681","10763","NES"
"Q7Z628","10276","NET1"
"Q8NC67","81831","NETO2"
"Q96JN8","84461","NEURL4"
"Q0ZGT2","91624","NEXN"
"P21359","4763","NF1"
"P35240","4771","NF2"
"O94916","10725","NFAT5"
"O95644","4772","NFATC1"
"Q8NCF5","84901","NFATC2IP"
"Q12968","4775","NFATC3"
"Q12857","4774","NFIA"
"O00712","4781","NFIB"
"P08651","4782","NFIC"
"Q16649","4783","NFIL3"
"Q14938","4784","NFIX"
"P19838","4790","NFKB1"
"Q00653","4791","NFKB2"
"Q15653","4793","NFKBIB"
"Q9UBC1","4795","NFKBIL1"
"Q6P4R8","4798","NFRKB"
"Q9Y697","9054","NFS1"
"Q9UMS0","27247","NFU1"
"Q12986","4799","NFX1"
"Q6ZNB6","152518","NFXL1"
"P23511","4800","NFYA"
"P25208","4801","NFYB"
"Q13952","4802","NFYC"
"Q8NEJ9","25983","NGDN"
"Q96IV0","55768","NGLY1"
"Q9NPE2","51335","NGRN"
"Q9H9Q4","79840","NHEJ1"
"O14745","9368","NHERF1"
"Q15599","9351","NHERF2"
"Q8NBF2","374354","NHLRC2"
"Q5JS37","387921","NHLRC3"
"Q9NX24","55651","NHP2"
"Q5SYE7","57224","NHSL1"
"Q9P206","57648","NHSL3"
"Q9BZQ8","116496","NIBAN1"
"Q96TA1","64855","NIBAN2"
"P14543","4811","NID1"
"Q9GZT8","60491","NIF3L1"
"Q9BYG3","84365","NIFK"
"Q8N4C6","51199","NIN"
"Q9Y221","51388","NIP7"
"Q9BPW8","8508","NIPSNAP1"
"O75323","2631","NIPSNAP2"
"Q9UFN0","25934","NIPSNAP3A"
"Q9Y2I1","11188","NISCH"
"Q86X76","4817","NIT1"
"Q9NQR4","56954","NIT2"
"Q8N5F7","79576","NKAP"
"Q6ZUT1","55216","NKAPD1"
"Q969F2","85409","NKD2"
"Q9NYS0","28512","NKIRAS1"
"Q9NYR9","28511","NKIRAS2"
"A0AAG2UWQ9","55922","NKRF"
"P30414","4820","NKTR"
"P52952","1482","NKX2-5"
"Q9NVX2","54475","NLE1"
"Q9BYT8","57486","NLN"
"Q96D46","51068","NMD3"
"P15531","4830","NME1"
"P22392","4831","NME2"
"O60361","4831","NME2"
"Q13232","4832","NME3"
"O00746","4833","NME4"
"O75414","10201","NME6"
"Q9Y5B8","29922","NME7"
"Q13287","9111","NMI"
"Q9HAN9","64802","NMNAT1"
"Q9HBL8","57407","NMRAL1"
"Q9NWW6","54981","NMRK1"
"P30419","4836","NMT1"
"O60551","9397","NMT2"
"P48645","10874","NMU"
"Q13423","23530","NNT"
"Q8NC60","84273","NOA1"
"Q9ULX3","28987","NOB1"
"Q9Y3T9","26155","NOC2L"
"Q8WTT2","64318","NOC3L"
"Q9BVI4","79050","NOC4L"
"Q9BSC4","79954","NOL10"
"Q9H8H0","25926","NOL11"
"Q9UGY1","79159","NOL12"
"Q96MY1","140688","NOL4L"
"Q9H6R4","65083","NOL6"
"Q9UMY1","51406","NOL7"
"Q76FK4","55035","NOL8"
"Q5SY16","79707","NOL9"
"Q14978","9221","NOLC1"
"Q5C9Z4","64434","NOM1"
"Q15155","23420","NOMO1"
"Q5JPE7","283820","NOMO2"
"Q15233","4841","NONO"
"Q9NPE3","55505","NOP10"
"P78316","8602","NOP14"
"Q9Y3C1","51491","NOP16"
"P46087","4839","NOP2"
"Q9NZM5","29997","NOP53"
"O00567","10528","NOP56"
"Q9Y2X3","51602","NOP58"
"Q86U38","161424","NOP9"
"Q8N5I9","121053","NOPCHAP1"
"O75052","9722","NOS1AP"
"Q9Y314","51070","NOSIP"
"P46531","4851","NOTCH1"
"Q04721","4853","NOTCH2"
"Q9UM47","4854","NOTCH3"
"P51513","4857","NOVA1"
"Q9UNW9","4858","NOVA2"
"Q14207","4863","NPAT"
"O15118","4864","NPC1"
"P61916","10577","NPC2"
"P55786","9520","NPEPPS"
"Q8TAT6","55666","NPLOC4"
"P06748","4869","NPM1"
"O75607","10360","NPM3"
"Q9Y639","27020","NPTN"
"Q15818","4884","NPTX1"
"P13056","7181","NR2C1"
"P49116","7182","NR2C2"
"Q86WQ0","126382","NR2C2AP"
"P10589","7025","NR2F1"
"P10588","2063","NR2F6"
"P04150","2908","NR3C1"
"P08235","4306","NR3C2"
"P01111","4893","NRAS"
"Q96F24","29982","NRBF2"
"Q9UHY1","29959","NRBP1"
"Q92823","4897","NRCAM"
"O43847","4898","NRDC"
"Q9H7Z3","55051","NRDE2"
"Q16656","4899","NRF1"
"Q8IXM6","11270","NRM"
"O14786","8829","NRP1"
"O60462","8828","NRP2"
"Q9GZP1","80023","NRSN2"
"Q9Y4C0","9369","NRXN3"
"O95478","10412","NSA2"
"Q96L73","64324","NSD1"
"O96028","7468","NSD2"
"Q9BZ95","54904","NSD3"
"Q15738","50814","NSDHL"
"P46459","4905","NSF"
"Q9UNZ2","55968","NSFL1C"
"Q96IY1","25936","NSL1"
"Q92636","8439","NSMAF"
"Q8WV22","197370","NSMCE1"
"Q96MF7","286053","NSMCE2"
"Q96MG7","56160","NSMCE3"
"Q9NXX6","54780","NSMCE4A"
"Q9H0G5","84081","NSRP1"
"Q08J23","54888","NSUN2"
"Q96CB9","387338","NSUN4"
"Q96P11","55695","NSUN5"
"Q8TEA1","221078","NSUN6"
"Q8TCD5","30833","NT5C"
"P49902","22978","NT5C2"
"Q9H0P0","51251","NT5C3A"
"Q969T7","115024","NT5C3B"
"Q5TFE4","221294","NT5DC1"
"Q86UY8","51559","NT5DC3"
"Q9BV86","28989","NTMT1"
"O00634","4917","NTN3"
"Q9BSD7","84284","NTPCR"
"Q9Y5A7","51667","NUB1"
"P53384","4682","NUBP1"
"Q9Y5Y2","10101","NUBP2"
"Q8TB37","80224","NUBPL"
"Q02818","4924","NUCB1"
"P80303","4925","NUCB2"
"Q9H1E3","64710","NUCKS1"
"Q9Y266","10726","NUDC"
"Q96RS6","84955","NUDCD1"
"Q8WVJ2","134492","NUDCD2"
"Q8IVD9","23386","NUDCD3"
"P36639","4521","NUDT1"
"Q8NFP7","170685","NUDT10"
"Q96G61","55190","NUDT11"
"Q9BQG2","83594","NUDT12"
"O95848","256281","NUDT14"
"Q9NV35","55270","NUDT15"
"Q96DE0","131870","NUDT16"
"Q9BRJ7","84309","NUDT16L1"
"A8MXV4","390916","NUDT19"
"P50583","318","NUDT2"
"O43809","11051","NUDT21"
"O95989","11165","NUDT3"
"Q9UKK9","11164","NUDT5"
"Q9BW91","53343","NUDT9"
"Q9BZD4","83540","NUF2"
"Q9UHK0","26747","NUFIP1"
"Q7Z417","57532","NUFIP2"
"P49757","8650","NUMB"
"P57740","57122","NUP107"
"Q8WUM0","55746","NUP133"
"P49790","9972","NUP153"
"O75694","9631","NUP155"
"Q12769","23279","NUP160"
"Q5SRE5","23511","NUP188"
"Q92621","23165","NUP205"
"Q8TEM1","23225","NUP210"
"P35658","8021","NUP214"
"Q8NFH5","129401","NUP35"
"Q8NFH4","79023","NUP37"
"O15504","11097","NUP42"
"Q8NFH3","348995","NUP43"
"Q9UKX7","10762","NUP50"
"Q7Z3B4","53371","NUP54"
"Q9BVL2","9818","NUP58"
"P37198","23636","NUP62"
"Q9BW27","79902","NUP85"
"Q99567","4927","NUP88"
"Q8N1F7","9688","NUP93"
"P52948","4928","NUP98"
"Q96E22","116150","NUS1"
"Q9BXS6","51203","NUSAP1"
"O15381","4931","NVL"
"Q9UBU9","10482","NXF1"
"Q6DKJ4","64359","NXN"
"Q9UKK6","29107","NXT1"
"Q9NPJ8","55916","NXT2"
"Q86UD1","220323","OAF"
"Q9Y530","221443","OARD1"
"P04181","4942","OAT"
"O75147","23363","OBSL1"
"Q9NX40","54940","OCIAD1"
"Q16625","100506658","OCLN"
"Q01968","4952","OCRL"
"Q5BJF6","4957","ODF2"
"Q5SWX8","54953","ODR4"
"O75665","8481","OFD1"
"O60502","10724","OGA"
"Q02218","4967","OGDH"
"Q8N543","55239","OGFOD1"
"Q6N063","79676","OGFOD2"
"Q6PK18","79701","OGFOD3"
"Q9NZT2","11054","OGFR"
"Q5TC84","79627","OGFRL1"
"O15527","4968","OGG1"
"O15294","8473","OGT"
"O43482","11339","OIP5"
"Q96E52","115209","OMA1"
"O60313","4976","OPA1"
"Q9H6K4","80207","OPA3"
"Q96CV9","10133","OPTN"
"Q13415","4998","ORC1"
"Q13416","4999","ORC2"
"Q9UBD5","23595","ORC3"
"O43929","5000","ORC4"
"O43913","5001","ORC5"
"Q9Y5N6","23594","ORC6"
"Q13438","10956","OS9"
"P22059","5007","OSBP"
"Q9BXB5","114884","OSBPL10"
"Q9BXB4","114885","OSBPL11"
"Q9BXW6","114876","OSBPL1A"
"Q9H1P3","9885","OSBPL2"
"Q9H4L5","26031","OSBPL3"
"Q9BZF3","114880","OSBPL6"
"Q9BZF1","114882","OSBPL8"
"Q96SU4","114883","OSBPL9"
"Q8WVF1","127700","OSCP1"
"Q9NPF4","55644","OSGEP"
"Q9H4B0","64172","OSGEPL1"
"Q9NRP0","58505","OSTC"
"Q92882","26578","OSTF1"
"Q86WC4","28962","OSTM1"
"Q96FW1","55611","OTUB1"
"Q5T2D3","23252","OTUD3"
"Q96G74","55593","OTUD5"
"Q8N6M0","51633","OTUD6B"
"Q6GQQ9","56957","OTUD7B"
"Q96BN8","90268","OTULIN"
"P32242","5013","OTX1"
"Q8WZ82","124641","OVCA2"
"Q15070","5018","OXA1L"
"P55809","5019","OXCT1"
"Q96HP4","92106","OXNAD1"
"Q8N573","55074","OXR1"
"Q9NWU1","54995","OXSM"
"O95747","9943","OXSR1"
