"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"40","Q96L58","B3GALT6",2448129,1936652.125,2446324,3088848,2366540,2467709.25,1685842.5,1915534.75,1891371.5,2440042.25,3132446.25,1774790.375,3826236.25,3126185.75,4443014.5,2685696,2058784.75,2207021.75,3041474.75,2628610,2944651.25,2984856,2601482.25,2380905,3004257.5,3470630,2645715.25
"41","Q7Z2Z1","TICRR",912368.125,1075495.625,1084155.125,1661271.875,3010212.5,1251625,1985247.625,2897368.75,2216859.5,2132334.5,1674819.25,2958093,2823830.5,1975718.5,2232695.5,3309357.75,3058978.75,2141782.5,3157456.25,2865815,4190693.5,3016995.75,5173688.5,3663171.5,4410379.5,4101235.75,3671439.25
"42","Q9BQG0","MYBBP1A",47957864,66910464,59289364,97079656,98430640,112970480,55095848,32522874,60146928,115595264,135886432,82548136,155594672,141873472,169848288,113377304,90516144,112059496,135940832,115759680,125372240,123160512,104013648,99396464,114224320,146077488,116984024
"43","Q9Y6X3","MAU2",4845289,6221950,4923818,7232743.5,4192345,10134721,5581786,NA,5417818.5,12874613,13714611,8477346,24655932,14580481,21785200,10706059,7637972,9678019,11234198,10082558,9615829,7934971,7113695.5,6189318.5,11062148,15457334,8590345
"44","Q96S52","PIGS",5947451,5824843,5817684.5,7869635,2827947.75,8108862,3152203.75,NA,3940067.75,6079939.5,6835348.5,6053355.5,8097274,8925743,11806633,4255687,5688868,5422168,8258289.5,8264298,7281287,7868275.5,6113593.5,8471349,6738493.5,10471513,8169233
"45","Q8N4T8","CBR4",1043085.313,820921.6875,836043.4375,1437121.375,2632811,1140090.25,NA,NA,1173367.625,1146608.625,767762.9375,1019876.75,732200.6875,1562046.25,1879735.75,500201.75,1316632.75,1116281.375,1439961.75,1097039.875,868987.4375,1176586.5,0,1516124.375,1493005.375,1984302.125,1779417.625
"46","P35221","CTNNA1",44687692,43055880,43573336,41054256,39490060,34923548,46425868,47382624,50677340,30825416,41246256,47169512,36806024,40749744,50296408,41947472,50782968,44395828,42309020,35081836,49373480,44591644,46406712,51153616,48121992,39678028,53508884
"47","Q96C19","EFHD2",61066812,54997660,70718888,43624740,105478848,46929476,156854272,169158800,191819184,52643872,58315028,93857192,53880600,38905744,33582216,86030952,75694720,81590480,62834568,49045712,98834936,66081592,103133640,71341544,75525512,66466548,59254488
"48","Q9BUP0","EFHD1",43244752,47493140,65018672,36238096,85444792,47400360,123294576,148196464,159067584,40437432,33119594,87531104,46200304,26565546,25609594,47112240,70323344,59077612,50398588,50478380,81922400,42905752,128625160,58125736,69867160,88609712,58043648
"49","Q9GZT9","EGLN1",24502288,22510854,30061628,14537006,35468868,18928976,66198088,135083664,89068984,22679012,20230864,34776908,14362432,11628236,9629747,28901272,40983256,32034534,32470206,22065742,48494608,28838196,45953304,36748960,37397724,29809200,37366692
"50","Q8WVQ1","CANT1",11670043,9113951,10017113,11718309,7731517.5,11034603,8008869,12407136,8614279,6964393.5,5915749.5,6970324,7650910,7860843,7672637.5,8194398,7591393.5,6890254,7012262,6461358,7483615,8103671.5,8313291,8671996,7765971.5,8170029,7790654.5
"51","Q96T51","RUFY1",24633162,19729606,18915060,20293592,10927268,15487104,18699340,15797689,16891304,20700624,18106304,28965718,14178412,11995712,14225780,23887568,25034816,20962216,19247040,17224102,20462092,16000346,23431578,24378110,24748318,21023406,21845450
"52","P17544","ATF7",8412309,6864308,9481995,6687250.5,27544200,7966730,20248976,31516974,22485756,10820575,9458504,16312079,12937189,7966839.5,9275256,15946715,17982780,17212452,18446542,16586909,20648576,17428656,30168810,20183042,17939590,26523316,19598310
"53","O14497","ARID1A",13933987,12106944,14891031,12220326,14505322,14423189,12277242,14236635,11885933,21214516,19066606,32695324,26139004,25053362,24881114,23037688,24038670,24923674,28540188,26051390,34145740,23402246,36829764,29206510,40366300,40043764,34182696
"54","Q8NFD5","ARID1B",6270374,5724934,5783537.5,5410413,6562974,5106440,6572146.5,6204241,6370025.5,8614323,7644406.5,12163069,10094905,9973838,11242320,9399585,10479016,9504405,11547334,10102628,15749452,10237971,17465092,13515995,13301426,16891806,13140235
"55","P13807","GYS1",8550817,11462748,9604058,9789087,3512525.5,9778330,4592026,NA,4015465.25,9460817,9634892,9024019,6509129,7642002,7745904,10279433,8108771,7510975,8756276,9213000,8781260,8468981,6182347,8742595,6189302,8327554,8252314.5
"56","P51970","NDUFA8",380220160,285758656,373941856,399266080,1837779328,387018304,1333356160,1961989376,1272015616,271306048,284358624,594382848,318932096,206180288,178277200,366451424,606067008,539942464,660635200,396271808,891203328,478014176,1113670528,654274816,971799040,993736000,664599808
"57","Q53GG5","PDLIM3",9569661,9530082,11538585,4962387,10901191,8363183.5,22241182,27397024,19883782,9675822,6805822.5,19034218,6128541,5395449,3399557.5,11155589,21142034,16835596,13536820,10549393,25621592,15746337,36568128,24080136,21783954,20004894,20022482
"58","Q8TAE8","GADD45GIP1",60165804,53720200,76608392,76388552,337136992,90294544,159878896,290275136,159867184,39260756,42256892,79197944,51743428,50227052,45705968,58051608,103305280,84979120,123506352,80920336,194637136,132054672,217968432,138663072,123339840,156463488,154205472
"59","Q8IYS1","PM20D2",19218050,20143992,20976660,16699848,31531000,18814096,35512472,28834990,38384756,11093057,15615325,20663012,17333962,14157008,15869983,15968184,19475622,21082280,25093446,15685954,26926756,18609660,16793402,17959564,20658174,17408506,18624178
"60","O15269","SPTLC1",186874704,195702640,178546272,227183440,131670720,188029584,105788088,65465548,107225480,126745864,159800960,136993408,161354800,213978048,274273984,133903008,141748240,120969912,173488816,157044352,160064256,161530688,143406896,177187616,140075584,189921840,183983088
"61","Q14008","CKAP5",26310684,27965704,26743454,24448898,32583572,23813526,23613052,19870114,25649626,23570580,26757434,28895920,20775312,23042568,25410230,27452042,28996578,26278460,26855184,24796960,30235100,29148906,30319506,36436128,26815848,28329390,32278260
"62","Q7Z392","TRAPPC11",1299761.375,1773709.625,1368420.5,1646344.5,NA,1924787.5,943170.1875,NA,960036.375,1635077.5,1877554,1344899.75,889130,1272416.25,1389759.125,1798156.625,1128868.5,1168058.5,1441167.25,1381660.5,1321572.875,1300154.5,744395.625,1585535.75,1204622.625,1166918.875,1464196.625
