"","Protein.Group","Genes","LFQ.100_a_RDH12_atRAL5hr","LFQ.100_b_RDH12_atRAL5hr","LFQ.100_c_RDH12_atRAL5hr","LFQ.200_a_RDH12_atRAL5hr","LFQ.200_b_RDH12_atRAL5hr","LFQ.200_c_RDH12_atRAL5hr","LFQ.control_a_RDH12_atRAL5hr","LFQ.control_b_RDH12_atRAL5hr","LFQ.control_c_RDH12_atRAL5hr","LFQ.100_a_GFP_atRAL5hr+24h_recvr","LFQ.100_b_GFP_atRAL5hr+24h_recvr","LFQ.100_c_GFP_atRAL5hr+24h_recvr","LFQ.200_a_GFP_atRAL5hr+24h_recvr","LFQ.200_b_GFP_atRAL5hr+24h_recvr","LFQ.200_c_GFP_atRAL5hr+24h_recvr","LFQ.control_a_GFP_atRAL5hr+24h_recvr","LFQ.control_b_GFP_atRAL5hr+24h_recvr","LFQ.control_c_GFP_atRAL5hr+24h_recvr","LFQ.100_a_RDH12_atRAL5hr+24h_recvr","LFQ.100_b_RDH12_atRAL5hr+24h_recvr","LFQ.100_c_RDH12_atRAL5hr+24h_recvr","LFQ.200_a_RDH12_atRAL5hr+24h_recvr","LFQ.200_b_RDH12_atRAL5hr+24h_recvr","LFQ.200_c_RDH12_atRAL5hr+24h_recvr","LFQ.control_a_RDH12_atRAL5hr+24h_recvr","LFQ.control_b_RDH12_atRAL5hr+24h_recvr","LFQ.control_c_RDH12_atRAL5hr+24h_recvr"
"6506","Q15388","TOMM20",169082160,169188128,189053616,339112608,533331616,166026544,425428256,549254976,404204704,159943328,162869888,190003568,183595296,147558496,106143624,242432816,220359120,159347504,300446560,208693744,301171872,273320864,346609088,264657040,226677440,145972240,202746688
"6507","Q9UKZ1","CNOT11",4189931.25,3890577,4070647.5,4538791.5,1565030.625,3756850.25,3334770.25,2131222,2620814.5,2771922.25,3902996.25,3948889,3402737.75,3140621.75,2486192.75,3701886,3441122.25,4244641.5,4232244,4511006,3648694.25,4452840.5,3647168.75,3303200.25,4311198,4906339.5,3359031
"6508","Q9BQ89","FAM110A",NA,NA,NA,NA,NA,NA,NA,4700617,NA,1283199.125,NA,1637295,NA,NA,NA,2021622.25,2665128.25,1775177.75,1701527.125,NA,2709261.75,NA,2522504.5,1730745.375,2646678.5,2853200.75,2120164
"6509","P30046","DDT",329876768,255718384,327384480,205018000,559317568,234721664,626899904,758458496,729696576,210407472,212451488,369576288,191094960,98409648,79313464,292695744,318424288,324442848,349977632,274839648,393431424,339695424,395684512,318433952,352075936,317403840,299649664
"6510","Q9Y5N5","N6AMT1",470370.1875,900787,659684,339787.3438,NA,714676.6875,1149691.5,949987.375,1558458.125,1422504.125,1236007.75,1427702.875,775199.8125,425504.2813,498710.9063,1278374.25,1040606.188,1215669.125,1020534.625,1387691.625,962121.5625,1228528.375,1369407.625,1126849.75,1064073.625,1113012.5,869193.875
"6511","Q5TEU4","NDUFAF5",2598211,2170779.25,3207020,3975510.25,3092178.75,3595859,2060635.75,NA,3256779,2299437.25,2355288.25,2557530,3004752.75,2744559.75,3346692.25,2164026,2691699.25,2118804.5,2712745.5,2659731.5,3126077.75,2338339.5,2598692,2565763.25,3022391.75,2790734.25,3240559.25
"6512","P20472","PVALB",NA,NA,NA,NA,3284752.5,NA,NA,4569616.5,6325967,2669124.5,1156278.625,2011872.625,NA,NA,NA,2171762.25,3969724,NA,NA,2258848,4003242.25,2247483,6523662.5,4257656.5,3432328.25,2083634,4418980
"6513","Q9BXB4","OSBPL11",10682711,10724870,9672256,9246737,6120248.5,9638855,7918590,4814022,8093293,9265140,8318307,7750933,6119213.5,6492788.5,7446081,8921511,7500756.5,7595278,7189728.5,7007739,7699464,7093205.5,7198684.5,8026743,7592378,8779976,7915426.5
"6514","P53007","SLC25A1",14377865,13076158,13050971,24276854,10423866,28394706,4452648.5,3077822.5,9745345,11033555,13992780,9986331,17093470,27334042,37235984,6705476,12468588,8998224,14625016,10827725,14300449,13141472,9420706,13360201,13403218,21088412,18391522
"6515","Q9H1E5","TMX4",7932765,6850850,8507299,11483435,8279067,14578980,5792831.5,4576866.5,5837920,10599748,9791798,8657737,12682010,11030213,13550668,8760879,10534915,7350032,12021597,11138236,12439795,11377555,12760723,10057171,13609627,13129136,10742822
"6516","P55212","CASP6",13479588,10661014,12713579,12753413,22735288,11661891,18340742,22682710,25483614,9968274,11623229,10446078,8079257.5,9059345,7866887,10636724,11546717,10467167,7792765.5,8354405.5,9163623,9640532,10537128,9530714,8370597.5,7726870,9007203
"6517","O14735","CDIPT",4525514.5,5213523.5,5953794,4336547.5,4759041,3795490,3319436,2989227.5,3829057.25,7127772,7551405,6171344,6219328,5262851,6431840,5889100.5,6624875,5454901,7840556,8858741,6770118,5668132.5,5229706,6134124,6964522,9528767,5411402.5
"6518","Q9BX66","SORBS1",3393114.25,3388689.75,4630372.5,2853677.75,4943144,2808375.75,6649088,8382821.5,9198205,5797455.5,4884882.5,10214645,7603485.5,4144444.5,4946157,8407062,9054582,8280920,8022146.5,5261233,12231456,9206944,14736143,9773795,8540131,8869322,8404428
"6519","P78563","ADARB1",1528527.25,2147971.5,1665320.75,2114343.25,NA,2516941,1713016.75,NA,2016244,3243232.25,3363741.5,2801336.25,5643489,4129552.25,5462729.5,2974319,2247533.75,2569834,4178581.5,3646243.75,3611798.75,3064561.5,3151625.5,2535668.75,3347466,4949857,3289043.25
"6520","Q8TBF5","PIGX",1105952.5,794499.625,1335994.25,1540148.25,NA,1242947.125,NA,NA,NA,NA,NA,NA,NA,2223403,2972293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903387.5
"6521","Q96CG3","TIFA",947029.375,NA,831444.5,NA,NA,1385342.125,1472411.25,4703929,4359273.5,NA,NA,NA,NA,NA,NA,658643.9375,1075215.25,678908.75,NA,NA,647352.75,NA,NA,NA,796813.25,NA,NA
"6522","Q9H3M7","TXNIP",NA,NA,NA,NA,NA,NA,NA,375373.6563,1320248.25,NA,NA,NA,NA,NA,NA,800608,NA,1082604.125,949474.8125,1368738.875,985297.9375,735357.9375,1022152.125,787616.875,1384909.125,1205376.875,1420422.625
"6523","Q9BPZ7","MAPKAP1",921389.5625,813448.4375,NA,NA,NA,824169.125,NA,NA,NA,NA,NA,749710.875,NA,NA,NA,746931.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6524","Q00325","SLC25A3",64318540,63722292,46307100,111115728,36021912,127036072,21497808,12989014,44711584,47987568,56482188,37266964,59296416,105549120,135706912,32725234,47746796,29665702,64853216,54966232,50199080,53561968,34655868,60692408,69297584,60619776,69730888
"6525","Q9BSV6","TSEN34",13268133,13309366,12773062,16151179,8628164,13042330,9638135,7242785,9535516,9146724,11010280,11825339,10963106,11474875,12401822,11351037,12471134,11950691,11138115,11248259,12958574,14040021,15878980,14920522,11546300,12353517,12719476
"6526","Q9Y2C2","UST",4370841,3266428.5,3767313,4793686.5,8522336,4269157.5,5325757,7400367,6144789,2567632,2884589.25,3283455,3186896.25,3024237.5,2886124.5,4915631,3945168,3877296,3733818.25,3304484.75,4839307,2567063.75,4168164.5,2919431.5,7569302,6122119,4181143.25
"6527","Q9BX73","TM2D2",5478060,5143171.5,5017804,5741774,5369554.5,6396803,5655090,3834479.25,5700145.5,7137893.5,5165023,4626176.5,7202454.5,3612287.5,6503606.5,6929393,7505863,5213738.5,7245952,6638038,6488320.5,3666082.5,5935589,5791574.5,7293147,7311763.5,5143886.5
"6528","Q9Y530","OARD1",4868695,3843792.25,3850878.75,3809371.25,4016327.75,3885810.5,4750481,5772746,6220195.5,2299844.75,2843787.5,2539139.5,2025756.625,1675016.75,2017270,2727081.75,2463322,2803037.75,2727269.5,1749791.125,3166791,3506907.75,3323251.25,3778342.25,3141498.5,2612920,3021960.5
"6529","Q9Y4U1","MMACHC",1742863.75,1480173.25,1484929.625,2098393.75,NA,2574907.75,1231333,NA,943637.5,1033579.938,815520,961103.3125,554729.25,843775.1875,899928.8125,1142663.625,877739.6875,1102281.875,801798.375,884914,870389.5625,1328995.75,1115831.875,1139961.75,1027736.875,1348556.375,1157283.875
"6530","P83876","TXNL4A",16796706,16554820,15161885,15533522,17668018,15086045,20999236,17224724,25137178,12183656,14422821,14964751,22487322,20643914,26537090,8491333,15779389,14775263,19310964,15702511,17987978,14893406,16329178,17149748,16025389,19416368,19542820
"6531","P82979","SARNP",265907696,284004800,368582848,282254784,1084447616,355015968,1054005056,1876868224,1326880000,515990592,414619584,661636224,561413568,440629664,424440896,713571072,631927616,655761280,766782720,729624064,1048661888,734261696,1489164032,791040576,939379648,976641728,820701184
"6532","Q9NQB0","TCF7L2",59450292,57088960,79021616,75484944,253625648,NA,192779552,278423616,169211168,65838320,78471944,131531000,108658096,112377320,134822480,97352096,158538128,128266992,107166360,85873688,159237760,138420384,184515040,134891200,103622192,145981664,142867968
"6533","Q16649","NFIL3",3114524.75,2406847.25,3494791,NA,5554200,2110561.75,7132851.5,7515225.5,7006236,2976155.25,2843478,3373966.5,4571908.5,3515986,4437948.5,2285170.75,2270985.5,2344757,2367682.75,2106818.25,2421605.5,2496275,3053953,2175322,1866172.5,2622398.5,1985142.125
"6534","P86397","HTD2",78604.24219,179867.5625,671986.4375,488288.125,201461.5313,395922.9063,NA,NA,NA,NA,285828.1563,62252.07031,NA,NA,NA,222795.6875,NA,NA,NA,279370.0313,NA,NA,NA,NA,NA,NA,NA
"6535","Q17RY0","CPEB4",8444121,7664478.5,9139101,7818453.5,NA,7918142,4331773.5,NA,9108622,3783474.75,8769377,6303051.5,7398323.5,6744136.5,11340449,2912993.5,8182076.5,6463548.5,6308534.5,5336925.5,6150809.5,7799280,5731653,7585060.5,4979398,6565323,6792150
"6536","Q14657","LAGE3",32088422,24850134,33031688,21239110,25618062,29564548,42130892,52519300,51436284,30406332,33379366,26859524,34423140,31690450,27295444,34029392,35451168,32323478,23379660,26899128,24231764,27681636,36239724,26768334,24069550,24207864,21012684
"6537","Q6UWP8","SBSN",NA,NA,NA,NA,NA,NA,NA,NA,12682678,NA,NA,NA,852300.75,NA,NA,1358480.75,NA,NA,1047723.375,NA,915954,NA,2406492,3016620.75,NA,NA,NA
"6538","A6NFI3","ZNF316",2377645.25,2797522.25,3356981.75,1988942.875,10435770,3554680.75,3297669,4123355.25,4035459,2802730.5,2153717.25,1176564,2631752,2176861.25,2726816.25,2399452,2401562.75,1852416.875,1193100.75,1810714.25,993558.625,1370534,1619106.375,1242524.75,1282370.875,2227368,1129766
"6539","Q9NX01","TXNL4B",2074151.75,1563260.625,1932031.25,1678033.75,1108338,1644563.75,2139888.75,1313232.75,1882443.375,1620372,1515250.75,1538756.375,1268654.5,1039521.063,708708.6875,2434765,1597235.375,1460005,1388625.5,1536375.375,1113286.375,1409077.625,1767159.875,1658895.75,1692299.75,1237915.75,1253776.75
"6540","Q15257","PTPA",30585104,27829304,29339324,20109882,8284594,21917364,22910820,10974635,24342898,30347624,27965278,29698196,23160484,24547872,19701674,26472266,28479952,25933510,24262818,26692330,22713326,26007356,24631778,27064522,23935164,28517644,25014044
"6541","Q92562","FIG4",505808.5,629478.5625,270534.8125,570683.0625,NA,364530.3438,NA,NA,NA,NA,519576.5,NA,NA,NA,NA,406959.7813,396945,369217.9063,348540.7188,NA,NA,480181.1875,NA,524133.25,293844.0313,NA,379328.9688
"6542","O43598","DNPH1",94588472,73706696,90155120,67612544,141853568,86074248,166436432,156740848,182293024,42389668,51838408,58103368,54741044,48345116,40651548,57543504,58325164,55596164,45273688,63343548,48653408,43065536,53468812,42604996,44631172,57208276,49099292
"6543","O60563","CCNT1",17812086,18497420,20321510,14972678,20829484,23354448,24811954,31600800,18614522,27299950,22177214,20373158,29869630,24663926,29561852,23987716,24872792,19342372,33560972,33422716,39844328,33303950,49058620,41782016,36200372,41905984,36987112
"6544","Q86VX2","COMMD7",2865201.25,2821702.5,2894647.75,2473947.75,2172174.5,1973683.625,3152267.25,2505821.5,3392902,3329420.25,2811533.75,3027424.5,2224150,2145971.75,2500614.5,3260018.25,3127752.75,2441216.25,2175306,2718544,2255631.25,2341398.25,2160419,2509571,2241539.5,2481210.25,2103878
"6545","Q96EP5","DAZAP1",130934184,111342024,119771592,101863920,151850688,96346360,208690368,230526800,173388640,56700344,91064424,118090888,129216552,121678760,135994640,84755264,120609856,126358992,145996624,94617480,128230568,124255744,119148080,110479832,155649888,170311312,125708272
"6546","Q8WV44","TRIM41",2709458.5,2667826.75,2228312.75,2759997.5,1039875.438,2775972.25,1039440.5,1309616.875,2712460,1887616.625,2098980.75,1609107.375,1855916.75,2349596.75,1813718.625,1775285,1677602,1525303.375,1066956.625,918634.9375,1273578,1410030.25,971892.125,1069010.125,1243223.625,1284514,1302594.625
"6547","Q9Y237","PIN4",185565264,193677520,239253200,114759848,609404928,197993456,614791616,1071051456,690904064,151646688,228999584,370913728,183336960,183937696,141796352,190306304,381865184,407744192,397688224,269548192,545654464,432381248,633293312,498547968,340208256,377841344,385621856
"6548","Q96EK6","GNPNAT1",37557772,34164348,39569004,20580604,60160580,25873658,65914916,119536040,119153128,18389994,20450252,25526562,22594736,16126137,11871280,22250320,27927940,31675398,32384354,19355268,33988788,30830188,30917516,23421698,36781240,29923230,23377212
"6549","P49789","FHIT",1779972.875,930803.6875,1428332.25,1182038,5950973,1202680,5350448,24015456,4759734.5,3312697.75,NA,2094722.75,2052335.75,1205491.125,NA,3842205.5,5166814.5,2468247,1321687.25,2791495.25,3150043.25,NA,4269492,1847450.75,3784783.5,3079902.5,2013808.75
"6550","Q15041","ARL6IP1",19833176,15390091,17151356,16996858,7523449,18021594,11854583,7669420,10016716,8077668,5916705,7937263.5,8849433,2732596.25,NA,11121082,7084526.5,7766275,7824934.5,6234899,5946497.5,3540654.25,NA,3097902.25,17715102,14127426,10525032
"6551","O43303","CCP110",1329045.375,1322809,1375497.75,1400257.125,2003773.375,1237663.375,NA,NA,1642011.25,1601118.5,1269621.25,1678377.25,1500287.875,1074363.5,1196578.875,1930718.75,1494594.875,1548764.25,1936441.125,1625377.625,1951155.25,1713356.625,2124598.25,2327571.25,2218157.5,1883391.625,1865539.875
"6552","Q9NVP2","ASF1B",9372644,6083896,7325971,9793850,9139737,6388699.5,12013808,11237823,13926397,4867894,4759275,4771302.5,3988636,3705131.25,4397116.5,6086907,5799637,6413124.5,6790542,6880479,6663399.5,5475995,7334056,6066277.5,7118823,7863342.5,4789309
"6553","O15379","HDAC3",1632958.375,1929999.875,1901017.75,1964777,1087721.625,1882298.375,1889125.125,NA,2331943.75,2109127,1945083.125,2092910.75,2571756.25,2579716.5,2818512.25,2277638.75,2136166.25,1949817.75,2035709.875,2408994.25,1954033.5,1790970.375,2124474,1917645.125,2262986.25,2635566,1783073.125
"6554","Q5VWZ2","LYPLAL1",17576796,18516368,15307475,16402185,13882234,18029076,13430820,9999102,11496488,13946713,19394096,16920696,15931834,18034336,19310012,16206749,17005158,15910967,18018786,18981118,16339011,16896306,15772831,15487915,15615348,15643353,15326840
"6555","P49458","SRP9",421581568,369735680,467508928,410507392,1439243776,364855136,1205863552,1735267968,1461627904,270650336,359655040,633985024,417247584,308873280,292319520,373428416,611627456,514266496,581275648,458246464,635235008,621036224,972335552,603613824,561801088,676233152,556744064
"6556","Q96MH2","HEXIM2",728948.75,693045.25,1078024.5,936678.3125,3745650.75,1366827.875,2773745.5,3324126.25,3328829.75,1899285.75,1103367.875,2145417.75,1832711.625,739734.875,729611.6875,2154495.75,2376527.75,1864357.5,1692468.75,1872118,3220705.25,1414160.5,5241601,2235453.5,2737495.75,4285551.5,2202073.25
"6557","Q96BD8","SKA1",3936742,3881617,5147347,3885223,3561511.25,2772469.5,5325579,8116632,6413993,5071328,3677237.75,4861101.5,2443566.25,2242172.75,2463548,5979720.5,4922825.5,4301766.5,4439646,3710649.25,5028124.5,5255934,8810526,7081537,5471285.5,3868516.75,4832628.5
"6558","O14732","IMPA2",913329.75,1221908.25,962268.1875,878144.75,NA,876084.6875,NA,NA,NA,1050565.375,1140422,NA,1129703.625,1130912,1415890.75,1224322,1231190.5,1056288.25,1276433.25,1073057.375,1111571.375,NA,1443541.875,NA,NA,NA,1023390.438
"6559","Q92664","GTF3A",1949176.125,2272957.5,2432873.75,1462112.375,5522491.5,1966671,3208740.75,3191679.75,4582066,3726413,2205388,3343393.75,3102580.25,0,1085607.875,2865669.25,3266001.25,2792545.75,2285406,1643209.25,3885425.5,1902467,2715050.5,2216172.5,2846533.5,4088567,2796244
"6560","Q9UKZ9","PCOLCE2",695858.5625,681034.6875,928341.1875,903339.625,1026357.25,741928.8125,NA,NA,330864.0938,NA,NA,NA,NA,NA,330357.0313,NA,NA,NA,NA,NA,297734.0313,206195.5156,NA,221744.7969,192474.9688,NA,207031.5469
"6561","Q9H5U6","ZCCHC4",611345.9375,906341.4375,997713.25,1286305.5,1266477.5,1043013,NA,NA,NA,1719912.875,1459491.875,1500063.125,1587478.5,1578440.5,1506997.25,NA,1416890.125,1344628.625,1169641,1432489.125,1582400.625,1161510.625,1393148.5,1273329.375,NA,1292999.375,NA
"6562","Q9H706","GAREM1",1847108.125,1463398.875,0,0,NA,1540796.5,NA,NA,NA,NA,NA,NA,919186.0625,NA,NA,NA,0,NA,NA,586795.9375,0,793619.125,NA,912269.375,1476997.25,0,833181.375
"6563","P53680","AP2S1",35563124,23796834,23092190,29712958,10617864,21792472,16329200,9290077,16418206,21422936,26240684,19569882,19658076,23238616,28043730,26591800,21158558,19841488,21441846,21266752,22716866,24085598,20332134,22220396,19723944,20760178,21704004
"6564","Q9UMS0","NFU1",7642332,9656289,8517887,10628236,21838460,14496648,9478078,12096704,10722304,17620102,11156435,11764669,20485888,15519634,19603168,13511096,15001579,12404776,21029392,24510266,19114108,16429932,21630420,14374676,21736214,29822444,16762306
"6565","Q9NYV6","RRN3",604394.125,410818.1563,473343.3438,503894.75,NA,NA,NA,NA,NA,763088.875,864075.0625,581028.75,509467.4375,418302.1563,553960.625,934146.25,654363.0625,811851.625,630025.25,652763.4375,555513.125,723175.9375,665536.125,670789.9375,465602.5625,610998,556551.4375
"6566","O95455","TGDS",NA,NA,4667000.5,NA,22269130,5791100.5,20391468,39401992,28191662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5322010,NA,NA,NA,NA,NA,NA
"6567","Q9UPR3","SMG5",1479541.375,1311811,1541245.875,2102152.75,423369.9375,1429084.5,1029954.688,NA,1020893.188,1501975.375,1717786.875,1444711.625,1260651.625,1395998.75,1277705.75,1381447.25,1463751,1540151.125,1516648.625,1528605.25,1405451.875,1498310.25,1231424,1656119.75,1353512.875,1405579.125,1460742.625
"6568","Q9HBD1","RC3H2",151146.375,144255.1094,133902.5781,234243.5781,NA,160522.7188,NA,NA,NA,221613.5625,223841.9063,237585.3281,159264.3438,162440.8906,86982.98438,259390.1406,131661.6875,164231.9531,248386.2656,203152.2031,147061.7031,162957.4063,154633.7188,157535.0625,180986.2969,208571.5,150363.5156
"6569","Q9UI09","NDUFA12",18378488,12833065,17182714,22760842,20535574,25144652,14022562,14915111,18282916,12685661,10634986,8456753,14420310,16325422,16808104,10418425,12058908,9127066,15444211,13667956,16919300,15520853,17302290,14504371,16644049,23388744,17691584
"6570","C9JLW8","MCRIP1",38610892,36070500,52903904,18648258,48147188,25885914,112320456,121444376,97579952,67476680,39909804,87954856,16403936,23269286,13638146,81148704,124902224,73719248,58162808,75483624,153137584,93653832,253490880,149854016,121587808,87400288,111409040
"6571","Q9HAN9","NMNAT1",16858264,18460442,22797952,23094634,148191680,23726374,72314704,138386512,115730096,17137392,15988564,18346460,22247718,16159440,17809314,21175376,28679440,19814092,14781045,16418726,18307398,16161864,30210320,16498566,17633028,16308528,16010901
"6572","O60361","NME2P1",52287892,43527376,64143028,35647392,83580920,15591633,214488912,451368384,326439424,49341288,35169432,74713064,43716364,15617518,16732175,68225272,78235984,55768620,42658764,27986450,67342512,48851272,63152784,50797596,60015968,23885230,39287492
"6573","Q96DE5","ANAPC16",NA,2250664.75,NA,NA,NA,4327465.5,NA,NA,NA,4583106,NA,3353533.5,2687138.75,2081207.625,3119809,NA,5211310.5,3099355,4842957.5,4132975.25,4079315.25,6496369.5,7352026,4927995.5,5030640,4960963.5,6070224.5
"6574","Q14624","ITIH4",11206123,8175291.5,10097876,11778727,17172438,12020478,12876439,15689013,9978803,NA,NA,NA,NA,NA,NA,NA,NA,3052082.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6575","P08865","RPSA",935574080,745215232,1003451136,727840000,3576905984,853510848,4264910080,7378368000,4268866048,632875584,645858176,815995264,692102400,445407872,425312672,860726080,1054303360,892318144,747905728,745238080,964643264,771571392,1360029184,706996864,877907520,1093347328,695732224
"6576","Q8TBZ3","WDR20",13356048,12399648,12448645,12846372,15816793,10788771,11215567,NA,13196714,14613360,15330912,15177785,17001612,14983339,20736624,15564615,14428436,13279634,17983056,14524186,15057966,13081931,12329577,17236734,17573958,16713846,17097286
"6577","Q9NQL2","RRAGD",593453.9375,614624.75,575032.125,427289.0938,NA,469570.5313,621045,NA,1111154.75,747122.625,1218739.875,678625,NA,NA,NA,998887.75,994219.5,957321,741346.1875,NA,1028595,NA,NA,NA,1229289.5,1048437.813,863318.1875
"6578","Q9Y2R0","COA3",105010848,98728648,111340216,156329584,301319776,158553440,173168176,199411072,207107936,60629828,79847456,145655216,101196800,109589872,91496272,87255296,130251936,126535352,164982624,123667352,178471232,181438080,222441216,213619072,153450656,151638720,163572496
"6579","Q9H9H4","VPS37B",5830428.5,4990063.5,6467013.5,4684182,7412359,3813153.75,9179989,11470754,7960622.5,6525650.5,4940376,11774925,1984516.25,2212887.75,938864.75,7297634.5,10373116,6352853.5,6989600,8214845,8807469,6899937.5,14256471,11383480,10353260,8913506,7802899
"6580","Q9BVK2","ALG8",3352833.5,2835333,1759181.5,2553703,NA,1033238.375,NA,NA,NA,3907002,3268677,2970672.25,2428383.75,2219094,3774151,2840196.75,2745172.25,2344012.25,4375943,4619717.5,4102528.75,2898794.75,2561020,3502932,4214820,3880723.5,3412730.5
"6581","Q8N5M1","ATPAF2",3142749,2852542.25,2936146.25,4958748.5,2691652.5,4534481,NA,NA,1646650.75,1977409.25,2623902.25,2138937.75,2821667.5,4194815.5,5464300,1933146.375,2191744,1815040.375,3407825,3240220,2993269.25,3204277.25,2239330.75,3057384.75,2569448,2471636.75,3434995
"6582","Q9NXS2","QPCTL",6129871,7329082.5,7704791.5,5787145.5,32925522,6643258.5,19104678,23801566,18941844,9491720,9231710,7403495.5,14005354,11122620,14639496,10270494,11630171,7715798.5,11289207,11182619,10107263,10488206,12014610,8970124,12155251,11539145,9022630
"6583","Q9NYF0","DACT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4006516.75,2493607.5,5166803,NA,NA,NA,5309722,5396049.5,4758109.5,4262480.5,3520604,5687463.5,3526602,9775952,6546152,5763425,5370887,5131791.5
"6584","P15374","UCHL3",5340181.5,6807447.5,6072780.5,3711420.5,2728821.75,6986904,5238749,5657594,6912631.5,8402661,8551064,9389234,5087388.5,6472706,6962187,9260275,9360917,9740678,10909777,13219397,9082421,9498788,9103021,9961764,7853745.5,9220010,7512428.5
"6585","A5D8V6","VPS37C",1345288.5,997867.625,1709618.375,1319153.25,5838413,1672547.625,2930397.75,3321121.75,2949444.5,1309286.875,NA,1087157,1089344.375,574548.5625,NA,NA,1741843.25,NA,1248452.25,2308979,2026004,1348270.5,3044131.75,1950235.25,NA,1601969,2358929.25
"6586","Q9H7H0","METTL17",10457772,9402527,11259649,16499191,47100348,13112319,NA,NA,NA,19060884,21328904,13872983,16880920,19053988,28554824,19496656,15305316,17328652,36863992,33575716,31234384,28791956,23365892,20596208,30646050,37477064,31500044
"6587","Q9Y4D1","DAAM1",884988.0625,909404.1875,828787.375,1159778.75,776149.75,901647.8125,NA,NA,NA,604937.8125,514299.7813,NA,597833.6875,574031.9375,1073396.875,610379.5,457341.4688,NA,456850.25,323328.375,NA,450430.4688,NA,483203.0625,NA,382581.0938,568526.5
"6588","Q9UBP9","GULP1",10237236,10046626,9841536,9596620,NA,8748723,11168279,15877354,10767563,NA,9143521,7342594,NA,8334934,7912735.5,8850957,10754564,9095256,6557305,8646408,9678990,9211512,NA,8576432,8379698,6147083,9610109
"6589","P62318","SNRPD3",903913536,829923712,932847488,748559872,4228131072,918975232,2308925184,3571964160,2638452224,807274624,1017962816,1343083648,1447821184,1040746176,1213989760,695001728,1570254336,974524544,1357161984,1135663744,2139860224,1357732864,2513539584,1325433472,1545797120,1880931968,1864212992
"6590","Q8NBZ0","INO80E",4324612.5,3539139.75,6937749.5,6484268,41530680,7807657,13348305,29802602,16196324,11661103,8946330,17640808,14476110,7656424.5,9679761,14585534,15501283,13766544,23645774,21586926,25361642,19408158,50654348,25801988,27544030,32861532,22332576
"6591","Q5BJH2","TMEM128",4809542.5,5852423.5,6027018,4969412.5,5749494.5,3322162,NA,NA,NA,3390591.25,3545134.5,2196676.5,2566930.75,2380266,NA,3522428,NA,3283542,4980830.5,5348871,2891031.5,3148865.25,NA,NA,4013160.25,5593202,3381098
"6592","Q9H553","ALG2",1198543.25,1057926.625,1462801.375,2060150.875,NA,2230119,NA,NA,NA,2875721.5,3265665.5,2425568,3162080,3635875,4274787.5,2463778.75,2518144.25,2415625.75,3132543.5,3150545.5,3002445.25,2994386,2264848,2845908.25,2579897.75,3080323.5,2992095
"6593","Q8IWV7","UBR1",640820.3125,607140.375,452586.9688,508842.625,NA,1362632.75,NA,NA,NA,NA,853727.25,429884.25,NA,572877.375,1065798.5,658811.3125,458169.7813,491753.8438,480879.7813,571774.375,605518.1875,743658.375,716836.3125,277919.4063,NA,NA,492557.1875
"6594","Q9H900","ZWILCH",2294983.75,2504141,2211340,2279178.25,NA,2015170.75,1609247.5,NA,1932435,2256781.5,3551005,3515739.5,2129060,2687710.5,2511260.5,3311279.75,3077854,3140876.75,2881364.75,2943066.5,2568957,2741659,2726882.75,2927483,2762154.75,2839194.5,3111277.75
"6595","Q9BVT8","TMUB1",3412610.75,3561494.5,3683183,3332324.5,2181884.25,2425946.5,3537967.5,2392433.25,2698763,2142535.25,3010672,2841815.75,1597448.75,1833251.625,2702255.75,2742791.75,1808537.125,2832330,5794330,4506212.5,3615773,3136452.5,2209073.5,2733924.5,3143745,2650259.25,2342091.5
"6596","Q71RG4","TMUB2",2928289,3183313.5,3067525.75,2770170,NA,3141609.25,NA,NA,NA,NA,2998469.25,2973370.75,NA,2817089,4380740,NA,3565727.5,2301306,2858732,3201495.75,NA,NA,NA,3369708,NA,3183217,3288313.25
"6597","Q5TA50","CPTP",184325.4531,113054.0703,128318.5938,144953.9375,NA,248546.1719,NA,NA,NA,240054.5313,261051.0313,144966.4688,NA,NA,NA,188865.375,NA,181727.2031,NA,NA,168548.7813,199863.1563,306492.75,182020.5156,238151.3125,165310.2813,199362.6719
"6598","Q13905","RAPGEF1",2897737.5,3249545.5,3429862.25,2229171,3191418.75,2412743.5,7124974,8587927,6601310.5,4535322.5,3429183.5,6088211.5,2467303.5,2104566.5,5494549.5,7303934.5,6546652,5391746,5138765,3076592.75,7436697,4617688.5,11884155,6934930.5,9196375,9053041,5592654
"6599","P52799","EFNB2",3323080.25,2308239.5,2572704.5,3059140,5167025.5,2622604.25,4094161.75,5832005.5,3497050.75,3717624,2650744.75,3952430.25,1937460.375,1703806.875,1064173.375,3653027.5,3929890.25,3869086.5,4188456.25,2910915.75,3960966,3549124,4598952.5,4320375,5096119.5,4710093,3426858
"6600","Q9UBM7","DHCR7",64909856,62193612,64547836,57817292,18609646,52558544,29146634,17475982,37070348,68094200,75882400,54574304,66488892,71674816,98281208,56501388,64935744,49814240,92650640,86147848,70802928,52884956,39851680,51861752,74861168,101676120,89988968
