"","X","Gene","contrast","p.val","p.adj","ratio"
"74",89,"ABCB6","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.703635522414985,0.89,-0.357
"75",90,"ABCB6","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",5.51227918224751e-08,0.335,-7.72
"76",91,"ABCC10","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.103955739579747,0.618,0.522
"77",92,"ABCC10","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.536121122822517,0.916,0.193
"78",93,"ABCC10","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0301275856360827,0.751,0.716
"79",94,"ABCC10","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.61034140359309,0.863,0.159
"80",95,"ABCC10","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.288416240353004,0.856,0.335
"81",96,"ABCC10","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.767762067707721,0.857,-0.0918
"82",97,"ABCC10","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.00170145387198127,1,-1.11
"83",98,"ABCC10","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.436837030595881,0.927,-0.243
"84",99,"ABCC10","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.503314826202322,0.845,-0.209
"85",100,"ABCC10","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.329535195333357,0.91,0.307
"86",101,"ABCC10","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.338293230749277,0.813,-0.301
"87",102,"ABCC10","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.561512294817341,0.756,-0.181
"88",103,"ABCC10","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",0.000425436484198382,0.05,-1.29
"89",104,"ABCC10","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0202484511495088,0.298,0.773
