"","Gene","contrast","ratio","p.adj","direction"
"155","ATP6V0A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.973,0.005197273409546,"up"
"156","SLC20A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.959,0.0333293531244928,"up"
"157","SLC38A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.905,0.0254865492232294,"up"
"158","SLC39A14","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.895,0.00183662767567706,"up"
"159","ATP2B1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.875,0.00985922474690092,"up"
"160","ATP6V1C1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.858,0.0223479322178624,"up"
"161","SLC25A10","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.846,0.00148284957912242,"up"
"162","ATP6V0A2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.826,0.00466927255241583,"up"
"163","ATP6V1H","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.81,0.0345293125750772,"up"
"164","SLC4A7","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.77,0.0128883805856218,"up"
"165","SLC33A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.761,0.0159984294649861,"up"
"166","ABCB10","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.703,0.0317249178455905,"up"
"167","SLC7A1","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.676,0.0343854436447586,"up"
"168","SLC15A4","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",0.615,0.0474921674822532,"up"
"169","SLC46A3","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-6.21,1.19468899526508e-06,"down"
"170","SLC7A2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-4.08,0.00835248720150203,"down"
"171","SLC46A1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-3.89,0.0316371235221664,"down"
"172","SLC38A3","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-3.86,0.045405772450661,"down"
"173","SLC19A1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-3.84,0.00283392800878317,"down"
"174","SLC11A2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-1.51,0.00525021694208221,"down"
"175","SLC25A1","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-1.13,0.0309579463290236,"down"
"176","ABCB10","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-1.1,0.00386035434327123,"down"
"177","SLC1A3","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",-1.05,0.00114589385044661,"down"
