"ProteinLabel","GFP1","GFP2","GFP3","RDH1","RDH2","RDH3"
"FOXG1_P55316",1,0,0,0,0,0
"BTG1_P62324",1,0,0,0,0,0
"FKBP1B_P68106",0,0,0,1,0,0
"SH3BP2_P78314",0,0,0,0,1,0
"GPSM2_P81274",0,0,0,0,1,0
"HTD2_P86397",0,0,0,0,0,1
"GNA12_Q03113",0,0,0,0,0,1
"HGFAC_Q04756",0,0,1,0,0,0
"PPP2R3A_Q06190",0,0,0,1,0,0
"SLC10A7_Q0GE19",0,0,0,0,1,0
"TMEM267_Q0VDI3",0,0,0,0,0,1
"TROAP_Q12815",0,0,0,1,0,0
"MAP4K2_Q12851",0,0,0,1,0,0
"REST_Q13127",0,0,0,0,0,1
"SERINC3_Q13530",0,0,0,0,1,0
"VGLL4_Q14135",0,0,0,1,0,0
"ENDOG_Q14249",0,1,0,0,0,0
"GK2_Q14410",0,0,0,0,0,1
"MBTPS1_Q14703",0,0,0,0,1,0
"E2F5_Q15329",0,0,0,1,0,0
"CEBPE_Q15744",0,0,0,0,1,0
"QPCT_Q16769",0,0,1,0,0,0
"ST3GAL2_Q16842",0,0,0,0,1,0
"PFKFB4_Q16877",1,0,0,0,0,0
"CDNF_Q49AH0",0,0,0,0,1,0
"MPPE1_Q53F39",0,0,0,0,1,0
"FGD3_Q5JSP0",0,1,0,0,0,0
"SPIN3_Q5JUX0",0,0,0,0,1,0
"USPL1_Q5W0Q7",0,0,0,0,0,1
"BTBD8_Q5XKL5",0,0,0,1,0,0
"ANKS6_Q68DC2",1,0,0,0,0,0
"NAIF1_Q69YI7",0,0,0,1,0,0
"PPP1R18_Q6NYC8",0,0,0,0,1,0
"TMEM53_Q6P2H8",0,0,0,0,0,1
"FAHD2B_Q6P2I3",0,0,0,0,0,1
"FBXO42_Q6P3S6",0,0,0,1,0,0
"ERICH5_Q6P6B1",0,0,0,0,0,1
"PAQR3_Q6TCH7",0,0,0,0,0,1
"CSPG4_Q6UVK1",0,0,0,0,1,0
"CD109_Q6YHK3",0,0,1,0,0,0
"MFSD6_Q6ZSS7",0,0,0,0,0,1
"SH3BP5L_Q7L8J4",0,0,0,1,0,0
"PRXL2C_Q7RTV5",0,0,0,1,0,0
"CCDC186_Q7Z3E2",0,0,0,1,0,0
"WDR53_Q7Z5U6",0,0,0,0,0,1
"FBXO33_Q7Z6M2",1,0,0,0,0,0
"SAPCD2_Q86UD0",1,0,0,0,0,0
"LAPTM4B_Q86VI4",1,0,0,0,0,0
"LDHD_Q86WU2",0,0,0,0,1,0
"PHYKPL_Q8IUZ5",0,0,0,0,1,0
"SLC9A9_Q8IVB4",0,0,0,0,0,1
"FUNDC1_Q8IVP5",0,0,0,0,0,1
"ZNF100_Q8IYN0",1,0,0,0,0,0
"UNC5B_Q8IZJ1",0,0,0,0,1,0
"FAM185A_Q8N0U4",0,0,0,0,0,1
"PUSL1_Q8N0Z8",0,0,0,0,1,0
"DTWD1_Q8N5C7",1,0,0,0,0,0
"GPR161_Q8N6U8",0,0,0,0,0,1
"CYB561A3_Q8NBI2",0,0,0,0,0,1
"SLC44A5_Q8NCS7",0,0,0,0,1,0
"PPFIBP2_Q8ND30",0,0,0,1,0,0
"NUDT10_Q8NFP7",1,0,0,0,0,0
"ZNF420_Q8TAQ5",0,0,0,0,0,1
"NEIL3_Q8TAT5",0,0,0,0,0,1
"DEPTOR_Q8TB45",0,0,0,0,1,0
"SPATA18_Q8TC71",1,0,0,0,0,0
"SH3RF3_Q8TEJ3",0,0,0,0,0,1
"C2CD4C_Q8TF44",0,0,0,1,0,0
"ZCCHC14_Q8WYQ9",0,0,0,0,1,0
"MAML1_Q92585",0,0,0,0,0,1
"NEO1_Q92859",0,0,0,0,1,0
"RIT1_Q92963",0,0,0,1,0,0
"SECISBP2L_Q93073",0,0,0,1,0,0
"NEIL2_Q969S2",0,1,0,0,0,0
"SLC35C1_Q96A29",0,1,0,0,0,0
"SLC25A46_Q96AG3",0,0,0,0,0,1
"ISG20_Q96AZ6",0,0,0,1,0,0
"UBE2W_Q96B02",0,0,0,0,0,1
"ZNF775_Q96BV0",0,0,0,0,0,1
"ZBTB9_Q96C00",0,0,0,0,1,0
"R3HDM4_Q96D70",0,0,0,0,1,0
"CHFR_Q96EP1",0,0,0,0,0,1
"FAM89A_Q96GI7",0,0,0,0,0,1
"GMCL1_Q96IK5",0,0,0,0,0,1
"MARK4_Q96L34",0,0,0,0,0,1
"TRIM47_Q96LD4",0,0,1,0,0,0
"CCDC138_Q96M89",1,0,0,0,0,0
"TIGD1_Q96MW7",0,0,0,0,1,0
"GPR137_Q96N19",0,1,0,0,0,0
"TTC14_Q96N46",0,0,0,0,1,0
"SAMD11_Q96NU1",0,0,0,1,0,0
"ACAP3_Q96P50",0,0,0,1,0,0
"TRPM7_Q96QT4",0,0,0,0,0,1
"TRIB3_Q96RU7",0,0,0,0,0,1
"RPS6KC1_Q96S38",1,0,0,0,0,0
"TCF12_Q99081",0,0,1,0,0,0
"EYA1_Q99502",0,0,0,0,0,1
"TEAD3_Q99594",0,0,0,0,0,1
"CDCA3_Q99618",0,0,1,0,0,0
"CDX2_Q99626",0,0,0,0,0,1
"PAIP2_Q9BPZ3",1,0,0,0,0,0
"EIF2AK1_Q9BQI3",0,0,0,0,1,0
"SLF1_Q9BQI6",0,1,0,0,0,0
"CCDC77_Q9BR77",0,0,0,0,1,0
"FEM1A_Q9BSK4",0,0,1,0,0,0
"FUZ_Q9BT04",0,0,0,0,1,0
"ALKBH7_Q9BT30",0,0,1,0,0,0
"LRFN3_Q9BTN0",0,0,0,0,1,0
"CCDC28B_Q9BUN5",0,0,0,0,0,1
"PHF20_Q9BVI0",0,0,0,0,1,0
"SALL3_Q9BXA9",0,0,1,0,0,0
"KLF16_Q9BXK1",0,0,0,0,0,1
"CEP295_Q9C0D2",0,0,0,1,0,0
"MCOLN1_Q9GZU1",0,0,0,0,1,0
"SPRTN_Q9H040",0,0,0,1,0,0
"ENKD1_Q9H0I2",1,0,0,0,0,0
"GZF1_Q9H116",0,0,0,0,1,0
"SMOC1_Q9H4F8",0,0,0,0,1,0
"ZNF335_Q9H4Z2",0,0,0,0,0,1
"TMEM38A_Q9H6F2",0,0,0,0,1,0
"GAREM1_Q9H706",0,0,0,1,0,0
"RSAD1_Q9HA92",0,0,0,0,0,1
"ADGRL3_Q9HAR2",0,0,0,0,0,1
"SMURF2_Q9HAU4",0,0,0,0,1,0
"ZNF286A_Q9HBT8",1,0,0,0,0,0
"ARHGEF10L_Q9HCE6",0,0,0,1,0,0
"CSNK1G1_Q9HCP0",0,0,0,0,1,0
"TUFT1_Q9NNX1",0,0,0,1,0,0
"SINHCAF_Q9NP50",0,0,0,0,0,1
"TCF7L2_Q9NQB0",0,0,0,1,0,0
"ZC4H2_Q9NQZ6",0,0,0,1,0,0
"LRRC4B_Q9NT99",0,0,0,0,1,0
"SYBU_Q9NX95",0,0,0,0,1,0
"GPRC5B_Q9NZH0",0,1,0,0,0,0
"FOXJ2_Q9P0K8",0,0,0,1,0,0
"TENM3_Q9P273",0,0,0,0,1,0
"PDP2_Q9P2J9",0,0,1,0,0,0
"STOML1_Q9UBI4",0,0,0,0,1,0
"MKRN1_Q9UHC7",0,0,0,1,0,0
