EP_WO,GFP_RDH12
P50281,F8VXC8
P50440,F8VZX2;H3BRU6
P50452,F8VZY6
P50458,F8W0P7
P50461,F8W0Q9
P50539,F8W7C6
P50607,F8W8C2
P51160,G1UD79
P51606,G3V2C6;J3KNV4
P51689,G3V3T3
P51888,G3V5V7
P52823,G5E948
P53420,G5E9V6;G5E9V7;H7C5B7
P53539,G5EA09
P53672,G5EA36;I3L328
P53673,G9CGD6;Q6P9H4
P53674,H0Y3A4;H0Y9E9;H0YA66
P53801,H0Y400
P53816,H0Y720
P54259,H0Y742
P54845,H0Y8H4
P55001,H0Y8U8;J3KN01
P55042,H0Y990
P55083,H0YC10
P56159,H0YC97;H0YDK8;Q5T1Z4;Q5T1Z8
P56277,H0YCM5;H0YEK2
P56817,H0YD48;H0YE97;H0YEF7;H0YEH1;H0YEY8
P57721,H0YDF6
P57737,H0YDK2
P58215,H0YDQ8
P58304,H0YET9
P59768,H0YFM9
P60201,H0YFU5;H0YFZ0
P60709,H0YFY6
P60880,H0YG16;H0YJK1
P61236,H0YG38
P61266,H0YJA2
P61326,H0YKH0
P61587,H0YKJ4
P61601,H0YNJ9
P61812,H3BNI4
P62328,H3BUC1
P62760,H7BYY1
P63211,H7BZT1
P63302,H7C020
P63313,H7C0N4;H7C561
P63316,H7C144
P78314,H7C3C4
P78352,H7C3M7
P78504,H7C4C8
P78509,I3L0M3;I3L4Y2
P78539,I3L213
P80108,J3KN66
P80217,J3KNZ9
P82279,J3KPY9
P84074,J3KS54
P98082,J3KSP1;J3KTE1
P98095,J3KTD8
P98160,J3QR62
P98164,K7EJE8;K7EKE6
Q00005,K7EMP1
Q00604,K7EMQ3
Q00872,K7EMV7
Q01432,K7ENF0
Q01814,K7EQ02
Q01955,K7EQB2
Q02045,K7ER90
Q02318,K7ERV3
Q02413,L0R6Q1
Q02846,L0R8F8
Q05BV3,M0QY43
Q07352,M0QZM1
Q08174,M0R1P9
Q08188,M0R2J8
Q08345,M0R346
Q08397,M0R3F1
Q08554,O00124
Q08629,O00213
Q0VF96,O00221
Q10588,O00311
Q10589,O00400
Q12805,O00411
Q12882,O00418
Q12884,O00458
Q13103,O00459
Q13203,O00522
Q13214,O00623
Q13253,O00716
Q13275,O00762
Q13394,O14519;O75956
Q13402,O14524
Q13449,O14569
Q13554,O14578
Q13562,O14593
Q13591,O14628
Q13796,O14640
Q13822,O14654
Q13835,O14678
Q13938,O14732
Q14050,O14757
Q14055,O14763
Q14088,O14777
Q14112,O14786
Q14184,O14925
Q14192,O14939
Q14195,O14950;P19105
Q14206,O14965
Q14249,O14966
Q14393,O15033
Q14515,O15037
Q14520,O15054
Q14563,O15056
Q14576,O15060
Q14764,O15063
Q14767,O15091
Q14894,O15111
Q14914,O15119
Q14956,O15120
Q14982,O15127
Q15124,O15146;P35590;Q02763
Q15223,O15169
Q15349,O15194
Q15517,O15197
Q15582,O15239
Q15735,O15265
Q15746,O15269
Q15772,O15287
Q15834,O15297
Q15835,O15304
Q15915,O15315
Q16254,O15318
Q16401,O15350
Q16534,O15360
Q16585,O15392
Q16610,O15409
Q16620,O15431
Q16623,O15439
Q16647,O15440
Q16666,O15504
Q16720,O15525
Q16790,O15527
Q16853,O43156
Q16878,O43164
Q17R60,O43167
Q2M1K9,O43248
Q2MV58,O43251
Q2TB90,O43272
Q3B7J2,O43293
Q3KR37,O43298
Q3SXY7,O43299
Q3YBR2,O43303
Q3ZCQ3,O43306
Q3ZCT1,O43307;Q96N96;Q9NR80
Q499Z4,O43353
Q49AH0,O43379
Q4KMG0,O43405
Q4L180,O43422
Q4LDG9,O43435
Q53EL9,O43463
Q53FP2,O43482
Q53GL7,O43502
Q569K4,O43513
Q56VL3,O43529
Q5BKX8,O43542
Q5EB52,O43572
Q5IJ48,O43683
Q5JPE7,O43709
Q5JR12,O43731
Q5JWF2,O43791
Q5T1H1,O43805
Q5T5P2,O43819
Q5T749,O43861
Q5T7P8,O43909
Q5TGZ0,O43913
Q5TZF3,O43930
Q63HQ2,O43933
Q63HR2,O60232
Q641Q3,O60266
Q684P5,O60287
Q68CZ2,O60307
Q68DA7,O60308
Q68DU8,O60337
Q6AZW8,O60343
Q6AZY7,O60353
Q6BCY4,O60427
Q6H8Q1,O60443
Q6IQ20,O60447
Q6N022,O60462
Q6N043,O60476
Q6NWY9,O60503
Q6NXT2,O60548
Q6P4A8,O60566
Q6PIJ6,O60636
Q6UB98,O60658
Q6UWL2,O60671
Q6UWP8,O60725
Q6UWU2,O60739
Q6X4U4,O60779
Q6ZMT1,O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879
Q6ZMV8,O60830
Q6ZTA4,O60890
Q6ZTI6,O60921
Q6ZVX7,O60930
Q75N90,O60941
Q76KP1,O75051
Q7L1I2,O75071
Q7L4P6,O75072
Q7L775,O75078
Q7L8A9,O75084
Q7LFL8,O75113
Q7Z3B1,O75127
Q7Z3G6,O75132
Q7Z3S7,O75144
Q7Z3Z2,O75155
Q7Z553,O75191
Q7Z6G3,O75197
Q7Z6L0,O75204
Q7Z7G0,O75290
Q86SE5,O75298
Q86SE8,O75319
Q86TG7,O75330
Q86UD1,O75354
Q86V42,O75356
Q86VE9,O75362
Q86VQ0,O75364;Q99697
Q86WG3,O75385
Q86WW8,O75386
Q86XE5,O75387
Q86XR8,O75398
Q86Y22,O75414
Q86YB7,O75417
Q86YJ6,O75419
Q8IUC4,O75427
Q8IUX7,O75444
Q8IUX8,O75448
Q8IV56,O75449
Q8IVL1,O75460
Q8IVL5,O75461
Q8IVN8,O75467
Q8IWU5,O75478
Q8IWU6,O75486
Q8IX03,O75496
Q8IX30,O75529
Q8IXH6,O75570
Q8IXL6,O75581
Q8IY45,O75616
Q8IYB4,O75629
Q8IYK8,O75648
Q8IYM9,O75676
Q8IZJ3,O75716
Q8N126,O75717
Q8N135,O75771
Q8N300,O75792
Q8N3I7,O75843
Q8N3J6,O75845
Q8N3L3,O75864
Q8N3Z0,O75865
Q8N474,O75925
Q8N475,O75928
Q8N4V2,O75954
Q8N4X5,O76082
Q8N5H7,O94761
Q8N608,O94762
Q8N6N7,O94768
Q8N6Y2,O94782
Q8N7J2,O94788
Q8N9I0,O94806
Q8N9I9,O94808
Q8NB25,O94817
Q8NCB2,O94851
Q8NDC4,O94854
Q8NDH3,O94864
Q8NFT8,O94886
Q8NFW1,O94952
Q8NFX7,O94955
Q8NHG8,O94991
Q8NHZ8,O95067
Q8TB73,O95070
Q8TBC5,O95136
Q8TBG9,O95164
Q8TCG5,O95166
Q8TCT1,O95169
Q8TCU6,O95229
Q8TD55,O95235
Q8TDM6,O95239
Q8TDY4,O95243
Q8TE49,O95278
Q8TEQ0,O95340
Q8TET4,O95342
Q8TF39,O95363
Q8WTQ7,O95372
Q8WVN8,O95382
Q8WWM9,O95405
Q8WXD2,O95427
Q8WXD9,O95453
Q92563,O95528
Q92585,O95544
Q92673,O95562
Q92729,O95568
Q92743,O95625
Q92752,O95677
Q92765,O95718
Q92828,O95758
Q92854,O95772
Q92913,O95873
Q93045,O95900
Q93088,O95905
Q969L2,O95997;Q9NZH5
Q96A11,O96006
Q96A23,O96015
Q96A32,O96020;P24864
Q96A72,O96033
Q96AA8,P00156
Q96BY9,P00167
Q96CT2,P00395
Q96CW9,P00441
Q96CX3,P00749
Q96DC8,P00750
Q96DY2,P00918
Q96E17,P01008
Q96EG1,P01106
Q96F10,P01112
Q96FC7,P01130
Q96FE5,P02042;P68871
Q96FQ6,P02533
Q96HF1,P02538
Q96HU8,P02753
Q96ID5,P02765
Q96IS3,P02768
Q96J87,P02788
Q96JB8,P03886
Q96JD6,P03891
Q96JE9,P03897
Q96JM2,P03905
Q96JP9,P04040
Q96KG7,P04183
Q96MC5,P04217
Q96MP8,P04264
Q96N03,P04637
Q96N16,P04818
Q96NL8,P05496;P48201;Q06055
Q96NT1,P05783
Q96NX9,P05787
Q96P63,P06396
Q96PB7,P06401
Q96PD2,P07093
Q96PE2,P07339
Q96PM5,P07477;Q9BYE2
Q96PQ0,P07864
Q96S99,P08235
Q96SL4,P08581
Q99424,P08582
Q99435,P08758
Q99489,P08779
Q99685,P09211
Q99715,P09651
Q99784,P09884
Q99941,P0C024
Q99969,P0C0E4;Q12829
Q9BPX1,P0C0L4
Q9BQ89,P0C0S5;Q71UI9
Q9BRC7,P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1
Q9BRK3,P0C7P0
Q9BRQ8,P0C7T5
Q9BS92,P0CG12
Q9BSA4,P0CG13
Q9BU40,P0CG39
Q9BUZ4,P0CJ79;Q9NV72
Q9BVJ7,P0CK96
Q9BXJ0,P0DI81;P0DI82
Q9BXJ3,P0DMV8;P0DMV9
Q9BXJ4,P0DP23;P0DP24;P0DP25
Q9BY11,P0DPB5
Q9BY27,P0DPD7
Q9BYV7,P0DPH7;P0DPH8;Q6PEY2;Q71U36
Q9BZM1,P0DPI2
Q9BZV3,P10070
Q9C0A0,P10074
Q9C0D0,P10075
Q9C0F3,P10109
Q9GZU1,P10244
Q9H0N5,P10275
Q9H0Q0,P10599
Q9H1J1,P10620
Q9H1X3,P10636
Q9H251,P10826
Q9H2H0,P10828
Q9H336,P11362
Q9H3R0,P11474
Q9H3S4,P12081
Q9H3U7,P12755
Q9H479,P12757
Q9H492,P13056
Q9H598,P13164;Q01628;Q01629
Q9H6B1,P13196
Q9H6S3,P13378;P17481;P31273
Q9H6W3,P13498
Q9H777,P13612
Q9H7J1,P13645
Q9H7P6,P13646
Q9H853,P13647
Q9H898,P13994
Q9H8N7,P13995
Q9H8U3,P14635
Q9H9P5,P14859
Q9H9S4,P15151
Q9H9Z2,P15291
Q9HA38,P15559
Q9HAP6,P15622
Q9HCB6,P15884;Q99081
Q9HCE3,P15923
Q9HCH5,P15954
Q9HCJ6,P16083
Q9HD67,P16260
Q9NP74,P16415
Q9NPR2,P16885
Q9NQ34,P17036
Q9NQ79,P17041
Q9NQ86,P17482
Q9NQR7,P17509
Q9NQX6,P17538;Q6GPI1
Q9NR34,P17707
Q9NR71,P18440
Q9NRA1,P18827
Q9NRB3,P18848
Q9NRD1,P19013
Q9NRQ2,P19256
Q9NRX3,P19622
Q9NS15,P19634
Q9NS37,P20248
Q9NSC5,P20265
Q9NUL5,P20719
Q9NWA0,P21583
Q9NX57,P21675
Q9NXD2,P21802
Q9NXG0,P22413
Q9NXG6,P23458
Q9NY43,P23677
Q9NYJ1,P23743
Q9NZ72,P23759
Q9NZA1,P23760
Q9NZN4,P23769
Q9NZN9,P24278
Q9NZT1,P24311
Q9P0J7,P24390
Q9P0T7,P24468
Q9P0Z9,P24522
Q9P121,P24723
Q9P1Z0,P24863
Q9P219,P25098
Q9P283,P25208
Q9P2Q2,P25815
Q9P2S2,P25963
Q9P2Y4,P26045
Q9UBC0,P27449
Q9UBP4,P27544
Q9UBX5,P28290
Q9UD71,P28347
Q9UDX4,P28749
Q9UF11,P28827
Q9UF56,P29558
Q9UFB7,P29597
Q9UHG2,P30154
Q9UHL4,P30260
Q9UIF8,P30291
Q9UJQ1,P30307
Q9UJY1,P30825
Q9UKK3,P31260
Q9UKP4,P31270
Q9UKX2,P31271
Q9UKY3,P31274
Q9UKZ9,P31327
Q9ULB1,P31350
Q9ULE4,P31947
Q9ULG6,P32019
Q9ULH4,P32242
Q9ULI3,P32780
Q9ULK6,P33897
Q9ULN7,P33947
Q9ULU8,P33981
Q9ULX7,P33993
Q9UMX6,P35453
Q9UNK4,P35523
Q9UPA5,P35527
Q9UPQ7,P35558
Q9UPV7,P35610
Q9UPX8,P35670
Q9UPZ6,P35716
Q9UQ03,P35790
Q9UQ26,P35869
Q9UQM7,P35908
Q9Y222,P36383
Q9Y241,P36894
Q9Y252,P36897
Q9Y2J0,P36954
Q9Y2J4,P37287
Q9Y2J8,P38398
Q9Y2P4,P38435
Q9Y2V3,P39210
Q9Y3S2,P40425
Q9Y426,P41214
Q9Y462,P41221
Q9Y466,P41236
Q9Y4C0,P41440
Q9Y534,P42167
Q9Y5J5,P42338
Q9Y5J6,P42575
Q9Y5V0,P42695
Q9Y5W5,P42771
Q9Y623,P42773
Q9Y646,P43005
Q9Y6L7,P43250
Q9Y6V0,P43405
,P43694
,P45844
,P45983
,P45984
,P47712
,P48029
,P48067
,P48380
,P48651
,P48960
,P48995
,P49005
,P49184
,P49281
,P49336
,P49454
,P49642
,P49643
,P49715
,P49759
,P49760
,P49795
,P49810
,P49842
,P50219
,P50443
,P50502
,P50748
,P51530
,P51587
,P51617
,P51668;Q9Y2X8
,P51795
,P51805
,P51826
,P51946
,P51955
,P51956
,P51965
,P52435;Q9H1A7
,P52569
,P52655
,P52732
,P52739
,P52746
,P52757
,P52803
,P52824
,P52848
,P52849
,P52952
,P53350
,P53355
,P53370
,P53667
,P53675
,P53708
,P53794
,P53804
,P53805
,P54132
,P54252
,P54274
,P54277
,P54760
,P54764
,P54852
,P55082
,P55199
,P55211
,P55316
,P55347
,P55822
,P55899
,P55957
,P56177
,P56179
,P56282
,P56381;Q5VTU8
,P56937
,P57054
,P57060
,P57078
,P57775
,P58004
,P58107
,P58166
,P58317
,P58335
,P58511
,P58753
,P59923
,P60604
,P60709;P63261
,P61218
,P61224
,P61326;Q96A72
,P61769
,P62324
,P62891;Q59GN2
,P62937
,P62979
,P63092;Q5JWF2
,P63146
,P63165
,P63279
,P68032
,P68104;Q5VTE0
,P68431;P84243;Q16695;Q71DI3
,P68543
,P69849;Q5JPE7
,P69905
,P78337
,P78348
,P78368
,P78381
,P78382
,P78383
,P79522
,P81274
,P83369
,P84077
,P84157
,P85298
,P86397
,P86452
,P86790;P86791
,P98153
,P98173
,P99999
,Q00526
,Q00536
,Q00537
,Q01664
,Q01826
,Q01850
,Q02078
,Q02083
,Q02224
,Q02241
,Q02833
,Q02930
,Q03518
,Q03933
,Q04656
,Q04695
,Q04724
,Q04727
,Q04759
,Q04912
,Q04941
,Q05084
,Q05707
,Q05932
,Q06190
,Q06609
,Q06830
,Q07617
,Q07687
,Q07864
,Q07912
,Q08050
,Q08357
,Q08426
,Q08499
,Q08623
,Q0GE19
,Q0IIM8
,Q0P6D6
,Q0VDI3
,Q0VG06
,Q12770
,Q12778
,Q12815
,Q12834
,Q12866
,Q12887
,Q12893
,Q12894
,Q12946
,Q12947
,Q12948
,Q12968
,Q12980
,Q12982
,Q13009
,Q13015
,Q13043
,Q13105
,Q13111
,Q13112
,Q13216
,Q13227
,Q13233
,Q13268
,Q13286
,Q13309
,Q13322
,Q13352
,Q13370
,Q13393
,Q13395
,Q13415
,Q13490
,Q13530
,Q13535
,Q13541
,Q13569
,Q13574
,Q13585
,Q13608
,Q13635
,Q13641
,Q13670
,Q13686
,Q13794
,Q13888;Q6P1K8
,Q13889
,Q13901
,Q13948
,Q14146
,Q14147
,Q14181
,Q14186
,Q14191
,Q14296
,Q14353
,Q14435
,Q14442
,Q14534
,Q14542
,Q14573
,Q14574
,Q14596
,Q14624
,Q14643
,Q14653
,Q14667
,Q14674
,Q14679
,Q14680
,Q14681
,Q14691
,Q14728
,Q14781
,Q14790
,Q14807
,Q14865
,Q14934
,Q149M9
,Q14CB8
,Q14CS0
,Q14CZ7
,Q15003
,Q15004
,Q15011
,Q15012
,Q15013
,Q15021
,Q15035
,Q15040
,Q15043
,Q15048
,Q15051
,Q15058
,Q15072
,Q15111
,Q15119
,Q15131
,Q15375
,Q15390
,Q15398
,Q15434
,Q15468
,Q15475
,Q15561
,Q15572
,Q15573
,Q15629
,Q15645
,Q15678
,Q15695;Q15696
,Q15758
,Q15797
,Q15831
,Q15833
,Q15842
,Q15843
,Q15910
,Q15911
,Q16342
,Q16363
,Q16394
,Q16560
,Q16586
,Q16595
,Q16611
,Q16626
,Q16635
