name,ID,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.val,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.val,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.val,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_p.adj,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_p.adj,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_significant,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_significant,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_significant,significant,RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr_ratio,RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr_ratio,RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
PTPN12,Q05209,0.22210598109269641,0.3971319804051753,0.20407128622099827,0.01673351147514565,0.534,0.746,0.855,0.258,FALSE,FALSE,FALSE,FALSE,FALSE,-0.7,-0.48,0.729,-1.45,0.847,-0.362,0.391,1.04,0.147,0.379,0.367,-1.75,-1.06
PTPN13,Q12923,0.8026704452088963,0.7352808769349499,0.6387863508344516,0.7110691882812783,0.831,0.832,0.902,0.889,FALSE,FALSE,FALSE,FALSE,FALSE,0.259,0.351,0.488,0.384,0.324,0.187,0.291,-0.158,0.583,-0.105,0.675,-2.47,0.676
PTPN14,Q15678,0.6692600701657251,0.35064525373951405,0.49833227549271886,0.43969157113604684,0.801,0.725,0.893,0.838,FALSE,FALSE,FALSE,FALSE,FALSE,0.255,0.561,0.405,0.463,0.605,0.761,0.649,0.0306,0.859,-0.922,1.17,-4.26,1.11
PTPN18,Q99952,0.3936081953038262,0.8715626761203767,0.6645048119045545,0.9254885110684818,0.69,0.852,0.904,0.911,FALSE,FALSE,FALSE,FALSE,FALSE,1.06,-0.2,0.537,-0.115,0.41,-0.326,0.599,-1.3,1.47,-1.91,0.211,0.352,0.484
PTPN2,P17706,0.4800795873884126,0.3568531923636242,0.47127566026310164,0.8179633477707061,0.736,0.728,0.891,0.901,FALSE,FALSE,FALSE,FALSE,FALSE,0.284,0.373,0.29,-0.0922,-0.201,-0.119,-0.218,-0.084,0.0833,0.0373,0.172,0.639,-0.31
PTPN23,Q9H3S7,0.5996029260986426,0.7696308591720491,0.2607823552477795,0.8334712649583566,0.781,0.838,0.866,0.903,FALSE,FALSE,FALSE,FALSE,FALSE,-0.215,-0.119,0.465,-0.0857,0.408,-0.177,0.308,0.276,0.194,-0.712,0.289,-0.808,0.222
PTPN9,P43378,0.7129257821276906,0.4422900660133643,0.9377899660199014,0.6531597613720952,0.812,0.763,0.916,0.881,FALSE,FALSE,FALSE,FALSE,FALSE,0.112,0.236,0.0238,0.137,0.147,0.359,0.0895,0.00673,0.26,-0.315,0.383,-1.16,0.227
PTPRA,P18433,0.3704469166018164,0.6370307709147673,0.3824955386205482,0.15463566070770152,0.675,0.815,0.882,0.657,FALSE,FALSE,FALSE,FALSE,FALSE,0.171,0.0894,-0.167,0.276,-0.131,0.125,-0.107,0.132,0.0403,0.0378,-0.0412,-0.227,0.169
PTPRF,P10586,0.019635899991665574,0.11853470082058608,0.00694297788009877,0.0065403149682607895,0.143,0.504,0.612,0.151,FALSE,FALSE,FALSE,FALSE,FALSE,0.376,0.242,0.446,0.45,-0.132,-0.336,-0.148,-0.0637,0.244,0.0476,0.11,-0.0258,0.302
PTPRG,P23470,0.018599275632418682,0.10811480960260073,0.18326712477796306,0.20230194005354854,0.137,0.484,0.85,0.713,FALSE,FALSE,FALSE,FALSE,FALSE,0.488,0.321,-0.263,0.251,-0.399,0.185,-0.141,-0.121,0.0898,0.642,-0.078,-0.289,0.11
PTPRJ,Q12913,0.01789847149775812,0.052040570201682866,0.5000264946917816,0.8660285374784051,0.134,0.35,0.893,0.906,FALSE,FALSE,FALSE,FALSE,FALSE,0.918,0.735,-0.244,0.0607,-0.838,0.141,-0.237,-0.00971,0.0799,0.554,-0.103,0.589,-0.176
PTPRK,Q15262,0.9043633372920241,0.18260670516417202,0.6816191122987199,0.2939434602224,0.848,0.6,0.905,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,-0.022,-0.249,0.0752,0.195,-0.1,-0.424,-0.131,0.429,-0.122,0.51,-0.349,0.123,0.0637
PTPRS,Q13332,0.44563058077285633,0.9826530024266507,0.01403762083278645,0.28820022962032144,0.72,0.865,0.678,0.777,FALSE,FALSE,FALSE,FALSE,FALSE,0.192,-0.00544,0.665,0.27,-0.644,-1.32,-0.516,0.915,-0.452,1.45,-0.65,1.46,-0.246
PTPRU,Q92729,0.7274436913950593,0.9269165340447988,0.11340479123718629,0.19703015627734755,0.815,0.859,0.825,0.708,FALSE,FALSE,FALSE,FALSE,FALSE,-0.219,-0.0575,1.03,-0.827,-0.9,-1.98,-1.2,2.29,-1.12,2.85,-0.957,3.04,-2.03
PTRH1,Q86Y79,0.27762496222201916,0.4882384027794522,0.019245030207067235,0.24252368300777732,0.598,0.778,0.705,0.747,FALSE,FALSE,FALSE,FALSE,FALSE,0.201,0.127,0.459,0.217,-0.0865,-0.418,0.0851,-0.339,0.114,0.2,0.0406,0.102,0.302
PTRH2,Q9Y3E5,0.26137073025703345,0.5850044012406899,0.046534594878070754,0.010159378920007636,0.581,0.803,0.771,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,0.223,0.107,-0.41,0.548,-0.19,0.327,-0.463,0.182,0.0333,0.418,-0.0826,-0.309,0.0848
PTS,Q03393,0.8137756417962898,0.7681811136409396,0.0071059673737488924,0.4004529365946522,0.833,0.838,0.614,0.826,FALSE,FALSE,FALSE,FALSE,FALSE,-0.25,0.313,3.14,0.899,0.0512,-2.78,-0.736,0.433,-0.199,0.282,0.364,2.42,0.164
PTTG1IP,P53801,0.6970627164275822,0.8970704565252652,0.6269933664645027,0.6887016246904777,0.808,0.855,0.902,0.886,FALSE,FALSE,FALSE,FALSE,FALSE,-0.189,-0.0627,0.236,-0.194,-0.824,-1.12,-0.589,0.761,-1.01,2.09,-0.886,2.37,-0.784
PUDP,Q08623,0.8879875697438275,0.15817673530267817,0.11605856467336034,0.4935571106944743,0.846,0.569,0.826,0.852,FALSE,FALSE,FALSE,FALSE,FALSE,0.119,-1.22,-1.37,-0.58,-0.0451,0.102,0.583,0.181,0.0735,-0.144,-1.26,0.511,0.003
PUF60,Q9UHX1,0.08888598946989185,0.6207427524961449,0.014643623842433026,0.06900473147079321,0.355,0.811,0.682,0.463,FALSE,FALSE,FALSE,FALSE,FALSE,0.293,0.0822,-0.437,0.315,-0.0819,0.438,-0.178,-0.271,0.211,-0.297,3.6e-4,0.0425,0.136
PUM1,Q14671,0.49581304594771725,0.5392703540535804,0.7523486082745657,0.4930385075549304,0.743,0.792,0.908,0.852,FALSE,FALSE,FALSE,FALSE,FALSE,0.161,0.145,0.0743,0.162,0.158,0.229,0.123,-0.189,0.319,-0.281,0.303,-0.948,0.285
PUM2,Q8TB72,0.565786086757945,0.9937960532830508,0.6748059800324918,0.5548740489071982,0.77,0.866,0.904,0.865,FALSE,FALSE,FALSE,FALSE,FALSE,0.219,0.00295,-0.16,0.225,0.252,0.414,0.184,-0.262,0.47,0.125,0.255,-1.85,0.409
PUM3,Q15397,0.8129841541109506,0.6806784752697068,0.34648566511527934,0.7813822091013392,0.833,0.823,0.878,0.898,FALSE,FALSE,FALSE,FALSE,FALSE,0.0886,0.154,-0.356,0.104,0.323,0.834,0.368,-0.799,0.411,-0.412,0.477,-1.67,0.472
PURA,Q00577,0.5970817585967696,0.7889331430253381,0.6913721841310371,0.5163492805156921,0.781,0.841,0.905,0.857,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0915,0.0462,0.0686,-0.113,-0.0545,-0.0769,0.047,-0.0903,-0.146,-0.0283,-0.00826,0.423,-0.0656
PURB,Q96QR8,0.04151200236453957,0.003782340408396884,0.006771597622824,0.0805797883190993,0.235,0.106,0.61,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,-0.347,-0.521,-0.481,-0.293,0.207,0.166,0.278,-0.0477,-0.139,-0.248,-0.314,0.112,-0.0145
PUS1,Q9Y606,0.42118226102090583,0.6233735519895883,0.03507073743606236,0.06185062169911036,0.707,0.812,0.751,0.441,FALSE,FALSE,FALSE,FALSE,FALSE,0.147,0.0895,-0.406,0.355,-0.047,0.448,-0.276,0.0693,0.1,0.117,0.0425,-0.533,0.0787
PUS10,Q3MIT2,0.36455358028576246,0.11648884627560976,0.20090062941897163,0.2846394701489461,0.671,0.501,0.854,0.775,FALSE,FALSE,FALSE,FALSE,FALSE,-0.877,-1.55,-1.25,-1.04,0.0513,-0.249,-0.251,1.71,-0.825,1.22,-1.5,1.13,-1.29
PUS3,Q9BZE2,0.5089516602194447,0.02146857515330803,0.06957842391767417,0.9273839771674346,0.749,0.236,0.797,0.911,FALSE,FALSE,FALSE,FALSE,FALSE,-0.546,-2.03,-1.56,0.0749,0.804,0.335,0.267,0.406,0.258,0.044,-1.22,-1.23,0.342
PUS7,Q96PZ0,0.6677241197301467,0.8563522224165048,0.11816586276300409,0.3784106902870845,0.801,0.85,0.827,0.818,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0596,-0.0251,-0.224,-0.123,0.0326,0.231,-0.0582,0.119,-0.027,0.14,0.00753,-0.263,-0.182
PVALB,P20472,0.42345152679430265,0.48413173775489504,0.006262393381157028,0.42000970126516435,0.708,0.777,0.602,0.832,FALSE,FALSE,FALSE,FALSE,FALSE,-1.27,1.11,4.76,1.28,1.1,-2.55,0.597,-3.17,-0.175,-0.986,2.21,1.1,1.88
PVR,P15151,0.0053062161236060975,3.753520254861631e-4,0.7661727088947454,0.03943135672821198,0.047,0.0242,0.909,0.362,FALSE,FALSE,FALSE,FALSE,FALSE,0.718,0.98,0.0691,0.505,-0.82,0.0909,-0.649,0.302,-0.103,0.673,0.16,0.489,-0.143
PWP1,Q13610,0.45157318107218125,0.5996190934969374,0.353781010187732,0.4473853790110377,0.723,0.807,0.879,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,0.32,0.222,-0.396,0.323,-0.553,0.0648,-0.393,-0.283,-0.233,0.679,-0.331,1.12,-0.0697
PWP2,Q15269,0.5512457516276562,0.7268138417871647,0.20295572532368056,0.730934266861827,0.765,0.831,0.854,0.892,FALSE,FALSE,FALSE,FALSE,FALSE,0.231,0.135,-0.502,0.133,0.201,0.838,0.211,-0.495,0.432,-0.417,0.336,-1.45,0.344
PWWP2A,Q96N64,0.5401279062804294,0.2782088410813124,0.4117304358987941,0.43750949296262076,0.761,0.684,0.885,0.837,FALSE,FALSE,FALSE,FALSE,FALSE,0.192,0.344,-0.259,0.244,-0.238,0.365,-0.157,-0.56,-0.0453,0.128,0.106,0.313,0.0876
PWWP3A,Q2TAK8,0.022206681102467114,0.07894878946085597,0.9026227257267933,0.022158774070361188,0.154,0.412,0.915,0.291,FALSE,FALSE,FALSE,FALSE,FALSE,0.637,0.476,-0.0318,0.638,-0.0942,0.413,-0.0886,-0.906,0.543,-0.595,0.382,-0.204,0.549
PXDN,Q92626,0.8291806735599172,0.7920586515606092,0.6378262156623795,0.8247506890851913,0.836,0.841,0.902,0.902,FALSE,FALSE,FALSE,FALSE,FALSE,-0.176,0.215,-0.384,0.18,0.0751,0.674,0.106,0.514,-0.101,0.372,0.29,-2.22,0.286
PXK,Q7Z7A4,0.8213652321766086,0.7615183913537585,0.39088741141237626,0.9606837461530202,0.834,0.837,0.883,0.914,FALSE,FALSE,FALSE,FALSE,FALSE,0.134,0.18,0.512,-0.0292,0.207,-0.126,0.168,0.215,0.341,0.0815,0.387,-1.41,0.139
PXMP2,Q9NR77,0.67717213413756006,0.8779741199720749,0.15902714595768985,0.14445596658204993,0.803,0.853,0.843,0.642,FALSE,FALSE,FALSE,FALSE,FALSE,0.12,0.0442,-0.416,0.432,-0.296,0.164,-0.421,-0.155,-0.176,0.92,-0.251,0.204,0.0108
PXMP4,Q9Y6I8,0.23853176112980862,0.5945917823686109,0.1911837401192689,0.17297872061615893,0.555,0.806,0.852,0.681,FALSE,FALSE,FALSE,FALSE,FALSE,-0.908,0.404,1.01,-1.06,0.447,-0.159,0.578,-0.306,-0.46,0.365,0.851,-0.838,-0.478
PXN,P49023,0.7363854163011132,0.41380595818596433,0.04665316445260788,0.7837614412534067,0.817,0.753,0.771,0.898,FALSE,FALSE,FALSE,FALSE,FALSE,-0.19,-0.466,1.18,0.155,-0.224,-1.87,0.467,0.105,-0.415,0.162,-0.69,1.85,0.622
PYCR1,P32322,0.02308100399621396,0.3603554643920355,0.022101606412274724,2.9093733679687474e-4,0.158,0.73,0.716,0.0106,FALSE,FALSE,FALSE,FALSE,FALSE,0.557,0.212,-0.562,0.993,-0.0976,0.676,-0.372,-0.252,0.46,0.102,0.114,-1.25,0.621
PYCR2,Q96C36,0.16605190469075112,0.7266568669341021,0.00926664149957493,0.0024282817240023923,0.473,0.831,0.64,0.074,FALSE,FALSE,FALSE,FALSE,FALSE,0.314,-0.0775,-0.63,0.759,0.0846,0.637,-0.22,-0.285,0.399,0.0564,0.0071,-1.22,0.539
PYCR3,Q53H96,0.5855212068787976,0.30056638620653664,0.7272480421404,0.8352728023112227,0.777,0.698,0.907,0.903,FALSE,FALSE,FALSE,FALSE,FALSE,-0.152,-0.291,-0.0968,-0.0577,0.101,-0.0931,0.0167,0.594,-0.0508,-0.183,-0.19,-0.154,-0.041
PYGB,P11216,0.515027067466809,0.4670637510257789,0.6705694215288154,0.4461239556680082,0.751,0.771,0.904,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,-0.175,-0.195,0.114,-0.205,0.261,-0.048,0.179,0.361,0.0865,-0.278,0.0658,-0.6,-0.0264
PYGL,P06737,0.8513383333738572,0.9697545112153192,0.5344967712931368,0.48309893869544485,0.84,0.863,0.895,0.849,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0564,-0.0114,0.188,-0.212,0.176,-0.0238,0.138,0.328,0.119,-0.328,0.164,-0.498,-0.0747
PYGM,P11217,0.3297250736560514,0.23806330645111218,0.7649207207399094,0.5581787441278656,0.645,0.654,0.909,0.866,FALSE,FALSE,FALSE,FALSE,FALSE,-2.02,-2.46,-0.613,1.2,2.74,0.891,1.4,-5.17,0.717,-3.83,0.277,0.364,2.61
PYGO2,Q9BRQ0,0.5090955898862128,0.5332305608175589,0.04024828158062031,0.15919580601915856,0.749,0.791,0.761,0.664,FALSE,FALSE,FALSE,FALSE,FALSE,-0.26,0.245,0.85,-0.566,0.0255,-0.579,0.368,-0.19,-0.235,-0.0616,0.271,0.599,-0.199
PYM1,Q9BRP8,0.9043545172287037,0.048726153889676264,8.729214037890773e-4,0.30533146996980115,0.848,0.34,0.398,0.786,FALSE,FALSE,FALSE,FALSE,FALSE,0.0436,0.753,1.4,-0.377,-0.333,-0.983,0.161,-0.437,-0.289,-0.163,0.42,1.84,-0.216
PYROXD1,Q8WU10,0.15798845717187018,0.6831557285854688,0.0026198661159139054,0.9372496667588905,0.463,0.823,0.509,0.912,FALSE,FALSE,FALSE,FALSE,FALSE,-0.719,0.203,1.69,0.0391,-0.0225,-1.51,0.114,0.427,-0.741,0.179,0.18,1.22,0.153
PYURF,Q96I23,0.5930148396050272,0.5596743200990482,0.661395826585844,0.4305989752225685,0.779,0.797,0.904,0.835,FALSE,FALSE,FALSE,FALSE,FALSE,0.478,-0.522,-0.392,0.709,-0.0815,-0.212,0.587,-1.09,0.397,-0.571,-0.604,0.278,1.3
QARS1,P47897,0.6564544797196409,0.7376506019755702,0.8278208379539771,0.6781265803790224,0.798,0.833,0.912,0.885,FALSE,FALSE,FALSE,FALSE,FALSE,-0.106,-0.0797,-0.0517,-0.0989,0.184,0.156,0.162,0.203,0.0781,-0.144,0.104,-0.808,0.0636
QDPR,P09417,0.5419190560542844,0.5521735153819347,0.6967611366321669,0.8265920006695797,0.762,0.795,0.905,0.902,FALSE,FALSE,FALSE,FALSE,FALSE,0.224,0.218,0.143,0.0802,-0.557,-0.481,-0.353,0.0534,-0.333,0.466,-0.338,1.82,-0.273
QKI,Q96PU8,0.3278318961718948,0.026640113800576803,2.4978753848435526e-4,0.42490680820036275,0.644,0.262,0.289,0.833,FALSE,FALSE,FALSE,FALSE,FALSE,0.284,0.679,1.26,0.231,-0.234,-0.817,0.163,-0.441,0.0506,-0.138,0.445,0.579,0.393
QNG1,Q5T6V5,0.18955205264016914,0.43834847726283177,0.908475756157368,0.13755613405382708,0.497,0.762,0.915,0.631,FALSE,FALSE,FALSE,FALSE,FALSE,-0.306,-0.178,-0.0262,-0.348,0.23,0.0778,0.145,0.143,-0.0762,-0.166,0.0516,-0.202,-0.203
QPCT,Q16769,0.967326041880179,0.6652842901110013,0.8901741745844325,0.032149388477793035,0.857,0.82,0.915,0.332,FALSE,FALSE,FALSE,FALSE,FALSE,0.0463,0.49,-0.156,2.57,-2.01,-1.36,-2.22,2.16,-1.96,3.04,-1.52,3.52,0.353
QPCTL,Q9NXS2,0.42765478154137215,0.5138720541701884,0.41078231417505007,0.7082607306542443,0.71,0.785,0.885,0.889,FALSE,FALSE,FALSE,FALSE,FALSE,0.325,0.267,-0.338,0.152,-0.328,0.277,-0.159,-0.63,-0.00249,-0.00632,-0.0608,0.916,-0.00644
QPRT,Q15274,0.5673510776281836,0.03159840465240918,0.8332613828404282,0.5372161698149662,0.771,0.283,0.912,0.861,FALSE,FALSE,FALSE,FALSE,FALSE,-0.137,-0.547,0.0504,0.148,0.284,-0.313,0.121,0.129,0.147,-0.133,-0.263,-0.241,0.269
QRICH1,Q2TAL8,0.6943208339207786,0.5923637535096989,0.8968023476560889,0.4854131364336578,0.808,0.805,0.915,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0921,0.126,-0.0304,-0.164,0.0271,0.183,0.0468,0.205,-0.0651,-0.221,0.153,-0.211,-0.117
QRSL1,Q9H0R6,0.46208665963542395,0.5843353562785527,0.10826256979214922,0.027024057732071772,0.728,0.803,0.822,0.312,FALSE,FALSE,FALSE,FALSE,FALSE,0.106,-0.0784,-0.237,0.336,-0.00611,0.153,-0.146,0.0493,0.0996,0.139,-0.0845,-0.396,0.191
QSER1,Q2KHR3,0.992251325216007,0.07948472485980712,0.04347680389318461,0.7647270551193279,0.861,0.414,0.766,0.896,FALSE,FALSE,FALSE,FALSE,FALSE,0.00188,0.354,0.413,-0.0581,0.0526,-0.00644,0.168,-0.437,0.0545,0.0754,0.407,-0.424,0.11
QSOX2,Q6ZRP7,0.08537393672636426,0.18240006637125047,0.24208830808334456,0.14531488871400047,0.349,0.599,0.862,0.643,FALSE,FALSE,FALSE,FALSE,FALSE,0.302,0.231,0.201,0.253,-0.311,-0.282,0.0192,0.118,-0.00856,0.259,-0.0802,0.0122,0.272
QTRT1,Q9BXR0,0.19095910851166636,0.39759147071957224,0.040299980989765685,0.7264089483090799,0.499,0.746,0.761,0.891,FALSE,FALSE,FALSE,FALSE,FALSE,0.43,0.274,0.697,-0.113,-0.465,-0.888,0.15,-0.422,-0.0355,-0.234,-0.191,2.05,0.0374
QTRT2,Q9H974,0.1326609235541443,0.682861497576109,0.006345320766264972,0.991317223313912,0.43,0.823,0.603,0.916,FALSE,FALSE,FALSE,FALSE,FALSE,0.344,0.0909,0.669,0.00242,-0.341,-0.919,0.121,-0.454,0.00321,-0.401,-0.25,2.12,0.123
R3HCC1,Q9Y3T6,0.8461712643199611,0.07635719509457645,3.279214397473097e-5,0.6342097551063817,0.839,0.408,0.147,0.879,FALSE,FALSE,FALSE,FALSE,FALSE,0.0407,0.388,1.11,0.1,0.148,-0.571,0.109,-0.159,0.189,-0.397,0.536,-0.0641,0.209
R3HCC1L,Q7Z5L2,0.3471873422517232,0.1692314795504797,1.0324983484641384e-5,0.6777904859454192,0.659,0.583,0.0991,0.885,FALSE,FALSE,FALSE,FALSE,FALSE,-0.214,0.317,1.3,-0.0937,0.525,-0.46,0.481,-0.357,0.311,-1.11,0.842,-0.618,0.387
R3HDM1,Q15032,0.13253308332300456,0.010445945226949261,2.1819796313297182e-5,0.2156301872970658,0.43,0.169,0.126,0.726,FALSE,FALSE,FALSE,FALSE,FALSE,0.439,0.792,1.55,0.358,-0.00985,-0.764,0.23,-0.857,0.43,-0.401,0.782,0.00283,0.588
R3HDM2,Q9Y2K5,0.73084466290596,0.4601058369487506,0.0036682141779337345,0.6526006419321728,0.816,0.769,0.546,0.881,FALSE,FALSE,FALSE,FALSE,FALSE,0.179,0.388,1.69,0.235,0.642,-0.665,0.766,-0.852,0.821,-1.75,1.03,-0.99,1
R3HDM4,Q96D70,0.8750306332136755,0.5858270750983718,5.45520375060257e-4,0.6175548280336032,0.844,0.804,0.356,0.876,FALSE,FALSE,FALSE,FALSE,FALSE,-0.123,0.429,3.19,-0.393,0.402,-2.36,0.169,0.416,0.279,-0.295,0.831,0.781,-0.224
RAB10,P61026,0.5690561547304949,0.6441362954636397,0.5667684640655869,0.8923380872188243,0.771,0.816,0.898,0.908,FALSE,FALSE,FALSE,FALSE,FALSE,0.159,0.129,-0.16,0.0377,-0.33,-0.0405,-0.191,-0.196,-0.171,0.307,-0.201,0.974,-0.153
RAB11A,P62491,0.591530871484558,0.19325983997177018,0.20297599010521844,0.72070140503674,0.779,0.612,0.854,0.891,FALSE,FALSE,FALSE,FALSE,FALSE,0.257,0.634,0.62,0.171,-0.855,-0.841,-0.435,-0.0487,-0.598,0.942,-0.22,2.32,-0.264
RAB11B,Q15907,0.4655729751034562,0.18844770179243972,0.13658029922074627,0.8205597148667478,0.729,0.606,0.835,0.902,FALSE,FALSE,FALSE,FALSE,FALSE,0.371,0.678,0.773,-0.114,-0.84,-0.934,-0.16,-0.219,-0.469,0.658,-0.161,2.4,-0.275
RAB11FIP2,Q7L804,0.4378816680955646,0.009773290140689549,6.692122538000209e-6,0.4267672979907806,0.716,0.164,0.0852,0.834,FALSE,FALSE,FALSE,FALSE,FALSE,0.225,0.812,1.72,0.23,-0.149,-1.06,0.0379,-0.167,0.0757,-0.252,0.663,0.581,0.268
RAB11FIP5,Q9BXF6,0.40423173788344624,0.05835309061023101,0.0031286961512086374,0.7930163060486809,0.697,0.367,0.528,0.899,FALSE,FALSE,FALSE,FALSE,FALSE,0.182,0.429,0.719,0.0568,0.0815,-0.208,0.268,-0.566,0.264,-0.691,0.511,0.0166,0.325
RAB12,Q6IQ22,0.5155715283475262,0.5847065457301519,0.560879353055767,0.9987369032918275,0.751,0.803,0.897,0.917,FALSE,FALSE,FALSE,FALSE,FALSE,0.121,0.102,-0.108,-2.93e-4,-0.328,-0.119,-0.284,0.0141,-0.207,0.361,-0.227,1.07,-0.284
RAB13,P51153,0.14586729561376346,0.05626724203548941,0.6905521595812287,0.5126406597126849,0.448,0.362,0.905,0.856,FALSE,FALSE,FALSE,FALSE,FALSE,0.34,0.456,-0.0908,0.15,-0.423,0.124,-0.247,-0.0683,-0.0825,0.17,0.033,0.592,-0.0974
RAB14,P61106,0.24321535259793542,0.366810120351479,0.19665834944076854,0.43747553228432234,0.561,0.733,0.853,0.837,FALSE,FALSE,FALSE,FALSE,FALSE,0.275,0.211,-0.305,0.181,-0.562,-0.046,-0.428,0.153,-0.287,0.432,-0.351,1.34,-0.247
RAB15,P59190,0.12644075452768344,0.129932344782565,0.6686145414485725,0.1165658423099114,0.42,0.525,0.904,0.592,FALSE,FALSE,FALSE,FALSE,FALSE,-3.17,-3.14,-0.862,-3.26,2.84,0.569,2.26,0.24,-0.323,-1.84,-0.293,-2.46,-0.996
RAB18,Q9NP72,0.10090255352594829,0.2744082382506104,0.18528069165471936,0.6331985811410656,0.375,0.681,0.85,0.878,FALSE,FALSE,FALSE,FALSE,FALSE,0.361,0.236,-0.288,0.102,-0.538,-0.0141,-0.363,0.168,-0.177,0.562,-0.302,0.926,-0.261
RAB1A,P62820,0.11848821377860627,0.09001021860650553,0.5638822155693608,0.5888092349639493,0.408,0.442,0.897,0.871,FALSE,FALSE,FALSE,FALSE,FALSE,0.575,0.628,0.207,0.194,-0.73,-0.309,-0.29,-0.257,-0.155,0.347,-0.102,1.59,-0.0965
RAB1B,Q9H0U4,0.23305069618976448,0.12780923356222276,0.4898558775439189,0.8194831421701598,0.548,0.521,0.892,0.902,FALSE,FALSE,FALSE,FALSE,FALSE,0.559,0.722,0.32,0.105,-0.823,-0.42,-0.31,-0.274,-0.264,0.522,-0.1,1.87,-0.205
RAB21,Q9UL25,0.3522430470788416,0.37165488472566144,0.6042841248879851,0.6761330447447409,0.663,0.735,0.9,0.885,FALSE,FALSE,FALSE,FALSE,FALSE,0.301,0.289,-0.167,0.134,-0.641,-0.186,-0.306,0.0453,-0.34,0.587,-0.352,1.36,-0.172
RAB22A,Q9UL26,0.0959099383820944,0.07098005572265532,0.6586789359167804,0.6966612837032151,0.367,0.397,0.903,0.888,FALSE,FALSE,FALSE,FALSE,FALSE,0.733,0.8,0.188,0.166,-1.02,-0.409,-0.426,0.0586,-0.288,0.649,-0.221,1.92,-0.26
RAB23,Q9ULC3,0.9638261232467069,0.7211184845636127,0.2789931801254092,0.8950268246785051,0.857,0.83,0.869,0.909,FALSE,FALSE,FALSE,FALSE,FALSE,0.00959,0.0756,-0.233,-0.0279,-0.22,0.088,-0.224,0.0373,-0.211,0.346,-0.145,0.581,-0.252
RAB24,Q969Q5,0.6529246006941251,0.8173466433138332,0.16136225983638025,0.88643919466571,0.797,0.845,0.843,0.908,FALSE,FALSE,FALSE,FALSE,FALSE,0.185,-0.0947,-0.588,-0.0585,-0.496,-0.00259,-0.13,-0.267,-0.312,0.725,-0.591,1.26,-0.188
RAB27A,P51159,0.20323614150981423,0.23776731655202557,0.6511637703036056,0.875514207134524,0.511,0.654,0.903,0.907,FALSE,FALSE,FALSE,FALSE,FALSE,0.379,0.351,-0.132,-0.0457,-0.513,-0.0296,-0.0392,-0.265,-0.133,0.337,-0.162,0.89,-0.085
RAB28,P51157,0.30513247889866285,0.3996029364143774,0.5966478739436147,0.47052595365767924,0.625,0.747,0.9,0.846,FALSE,FALSE,FALSE,FALSE,FALSE,-0.286,-0.234,-0.146,-0.2,0.322,0.234,0.19,0.0686,0.036,-0.406,0.0881,-0.524,-0.00947
RAB2A,P61019,0.28353254602609046,0.20539785114074013,0.03348453137069743,0.26656632046931134,0.604,0.624,0.748,0.764,FALSE,FALSE,FALSE,FALSE,FALSE,0.182,0.216,-0.377,0.188,-0.298,0.294,-0.28,0.164,-0.116,0.28,-0.0823,0.13,-0.0913
