name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
TNFRSF1A,P19438,0.5929105148794205,0.920980627381559,0.5270392704105504,0.67,0.916,1,FALSE,FALSE,FALSE,FALSE,-0.66,-0.122,-0.782,-2.05,-3.4,-0.475,2,-1.32,1.88,-0.551,2.66,1.26
TNFRSF21,O75509,0.834586686904474,0.9548466104950664,0.8789734350001637,0.693,0.918,1,FALSE,FALSE,FALSE,FALSE,0.235,-0.0637,0.171,0.0177,-2.19,-0.154,1.87,0.142,1.81,-1.13,1.64,-2
TNFSF9,P41273,0.3031300026469691,0.6238017926760242,0.13567784360241789,0.63,0.898,1,FALSE,FALSE,FALSE,FALSE,1.08,0.508,1.59,-1.94,-0.427,0.14,0.999,0.0661,1.51,-0.0628,-0.0786,-0.208
TNIK,Q9UKE5,5.550593022078421e-5,0.31466878821076916,6.006340782765545e-4,0.495,0.859,1,FALSE,FALSE,FALSE,FALSE,0.781,-0.158,0.624,0.0831,-0.144,-0.00948,0.12,0.0995,-0.0374,0.318,-0.661,0.231
TNIP1,Q15025,0.00574160943862083,0.7289788398890409,0.012561028961938994,0.506,0.905,1,FALSE,FALSE,FALSE,FALSE,-1.3,0.148,-1.15,-0.512,-2.06,0.321,0.201,-0.192,0.349,0.325,1.5,0.0652
TNIP2,Q8NFZ5,0.03907830664609381,0.05143417923524052,3.7095702467579135e-4,0.541,0.737,1,FALSE,FALSE,FALSE,FALSE,-1.32,-1.24,-2.55,-0.22,-2.18,0.79,-0.139,0.337,-1.37,0.749,1.18,0.863
TNK2,Q07912,0.2301740580792946,0.37741271115906294,0.04491403765869048,0.615,0.87,1,FALSE,FALSE,FALSE,FALSE,-0.992,-0.723,-1.72,0.0759,-0.927,0.408,-1.47,0.0762,-2.19,2.15,-0.475,2.35
TNKS1BP1,Q9C0C2,2.713425878819158e-4,0.5740447627391347,7.268360170384374e-5,0.499,0.894,1,FALSE,FALSE,FALSE,FALSE,-1.34,-0.173,-1.51,0.0827,-1.05,0.713,-0.896,0.452,-1.07,0.864,0.441,0.463
TNPO1,Q92973,0.014624247366108557,0.7532890444162177,0.028860498589238073,0.519,0.907,1,FALSE,FALSE,FALSE,FALSE,0.826,-0.0984,0.728,0.348,0.33,0.153,-0.264,0.386,-0.363,0.139,-1.09,0.36
TNPO2,O14787,0.003861100687580327,0.6124092952401969,0.012251932657749397,0.502,0.897,1,FALSE,FALSE,FALSE,FALSE,2.52,-0.397,2.12,0.722,0.559,0.522,-0.0343,0.587,-0.431,0.238,-2.56,0.392
TNPO3,Q9Y5L0,0.012306725499889875,0.7437613131203293,0.02512156295144476,0.516,0.906,1,FALSE,FALSE,FALSE,FALSE,3.41,-0.41,3,0.763,0.567,0.528,0.2,0.6,-0.21,0.249,-3.21,0.509
TNRC18,O15417,0.0012924301261422735,0.01774962818613455,0.2597910456146755,0.501,0.696,1,FALSE,FALSE,FALSE,FALSE,-1.08,0.744,-0.334,-0.0801,0.0691,0.243,-1.23,0.365,-0.483,0.62,-0.149,0.64
TNRC6A,Q8NDV7,0.02905913464881292,0.2342005474149606,0.0018966690497440996,0.534,0.84,1,FALSE,FALSE,FALSE,FALSE,-0.528,-0.275,-0.803,-0.175,-0.463,0.0834,-0.366,0.261,-0.641,0.719,0.162,0.42
TNRC6B,Q9UPQ9,0.02358325956738765,0.35444280198290345,0.0028678283457624913,0.529,0.867,1,FALSE,FALSE,FALSE,FALSE,-0.854,-0.33,-1.18,-0.194,-0.713,0.296,-0.472,0.256,-0.802,0.759,0.383,0.487
TOB2,Q14106,0.2917912723707349,0.2669927314202578,0.03786074402643648,0.627,0.849,1,FALSE,FALSE,FALSE,FALSE,-0.285,-0.3,-0.585,0.0719,-0.649,0.502,-0.498,0.4,-0.798,0.684,-0.213,0.501
TOE1,Q96GM8,0.28049494548924264,0.1260335584781244,0.01365634591546907,0.625,0.793,1,FALSE,FALSE,FALSE,FALSE,0.176,0.253,0.429,0.0364,0.397,-0.0313,-0.182,0.051,0.0708,-0.0683,-0.358,0.0843
TOLLIP,Q9H0E2,2.0673308144213913e-4,0.17752468307996971,0.005242239766358304,0.498,0.82,1,FALSE,FALSE,FALSE,FALSE,-1.19,0.366,-0.822,-0.641,-0.221,-0.526,0.359,-0.388,0.725,-0.397,1.55,-0.458
TOM1,O60784,0.028048188416049565,0.5143126955093797,0.10358228920214654,0.533,0.888,1,FALSE,FALSE,FALSE,FALSE,-0.392,0.11,-0.282,-0.366,-0.0432,-0.0079,-0.0613,0.0526,0.0486,0.163,0.331,-0.117
TOM1L1,O75674,0.003855794006125855,0.2202220511936574,2.0537724257428398e-4,0.502,0.836,1,FALSE,FALSE,FALSE,FALSE,-0.66,-0.255,-0.915,-0.0568,-0.528,0.147,0.0788,-0.225,-0.177,0.0995,0.739,-0.0775
TOM1L2,Q6ZVM7,0.0017422961495259864,0.48718281717219636,3.362314701404768e-4,0.501,0.885,1,FALSE,FALSE,FALSE,FALSE,-0.665,-0.13,-0.795,-0.327,-0.267,0.00952,0.165,-0.142,0.0353,-0.109,0.83,-0.196
TOMM20,Q15388,2.4812038813418414e-4,0.014774738312861028,0.08952853339750126,0.499,0.69,1,FALSE,FALSE,FALSE,FALSE,-1.38,0.824,-0.551,-0.433,-0.694,-0.172,-0.39,0.211,0.434,0.347,0.985,-0.287
TOMM22,Q9NS69,0.12546327729963314,0.2646714181488742,0.656213657754046,0.585,0.848,1,FALSE,FALSE,FALSE,FALSE,-0.506,0.363,-0.143,-0.594,-0.282,-0.335,-0.0579,0.156,0.305,0.183,0.448,0.177
TOMM34,Q15785,1.125110063737826e-4,0.9382309272578788,1.3479132147390486e-4,0.497,0.917,1,FALSE,FALSE,FALSE,FALSE,-0.984,0.0161,-0.968,-0.198,-0.894,0.082,-0.134,-0.128,-0.118,0.44,0.85,0.1
TOMM40,O96008,0.43138147176603436,0.11684912526383325,0.41281863051321277,0.651,0.786,1,FALSE,FALSE,FALSE,FALSE,-0.253,0.516,0.263,-0.223,0.467,-0.266,-0.172,-0.0462,0.343,-0.215,0.0802,0.0331
TOMM40L,Q969M1,0.10567696962048222,0.4493555199938192,0.3668031472617824,0.579,0.88,1,FALSE,FALSE,FALSE,FALSE,1.96,-0.89,1.07,0.205,3.2,-2.12,1.93,-1.06,1.04,-1.53,-0.0219,-1.65
TOMM5,Q8N4H5,0.042766404794880496,0.18167620061386042,0.44403499609997865,0.544,0.822,1,FALSE,FALSE,FALSE,FALSE,-1.17,0.749,-0.423,-0.485,-2.02,-0.365,-0.386,0.689,0.363,0.71,0.786,0.709
TOMM7,Q9P0U1,5.0326845749899495e-5,0.04564152986217388,0.006860241525112697,0.495,0.733,1,FALSE,FALSE,FALSE,FALSE,-2.04,0.846,-1.2,-1.23,-1.55,-0.27,-0.378,0.373,0.468,0.515,1.67,0.405
TOMM70,O94826,0.23150619197901673,0.001140165804329084,0.0185400645032563,0.615,0.634,1,FALSE,FALSE,FALSE,FALSE,-0.171,0.525,0.355,-0.245,0.43,-0.194,-0.238,-0.231,0.288,0.164,-0.0672,0.0926
TONSL,Q96HA7,0.10518739173762817,0.1334482354156646,0.003935282579028323,0.579,0.797,1,FALSE,FALSE,FALSE,FALSE,0.491,0.452,0.943,0.0682,0.697,0.0396,-0.49,0.271,-0.0381,-0.122,-0.981,0.557
TOP1,P11387,0.13124499537248446,0.007577123962996304,0.17735771725903005,0.588,0.672,1,FALSE,FALSE,FALSE,FALSE,-0.555,1.05,0.493,-0.288,0.441,-0.293,-0.392,-0.145,0.656,-0.0919,0.163,-0.0517
TOP2A,P11388,0.04022733299393976,0.0017256406372383765,0.1694897913578726,0.542,0.642,1,FALSE,FALSE,FALSE,FALSE,-0.643,1.06,0.418,-0.164,0.617,0.0916,-1.07,0.296,-0.0072,0.425,-0.425,0.234
TOP2B,Q02880,0.09080302272915412,0.004905528326481993,0.18050397964234724,0.573,0.666,1,FALSE,FALSE,FALSE,FALSE,-0.498,0.887,0.389,-0.0477,0.776,0.0286,-1,0.326,-0.116,0.252,-0.505,0.291
TOP3A,Q13472,0.0028408652308431668,0.1287318251311286,7.244998292418273e-5,0.502,0.794,1,FALSE,FALSE,FALSE,FALSE,1.33,0.617,1.94,-0.00117,0.665,0.0137,-0.16,0.106,0.458,0.0677,-1.49,0.335
TOP3B,O95985,0.20844659634555024,0.28882591451753636,0.8355653040265102,0.61,0.854,1,FALSE,FALSE,FALSE,FALSE,0.51,-0.428,0.0826,0.336,0.673,0.197,-0.345,0.448,-0.773,0.236,-0.856,0.0837
TOPBP1,Q92547,0.0017156846309534315,0.12983366189674553,4.453242305736432e-5,0.501,0.795,1,FALSE,FALSE,FALSE,FALSE,0.504,0.22,0.724,0.024,0.623,-0.0924,-0.203,0.0352,0.0168,0.165,-0.707,0.139
TOPORS,Q9NS56,0.0036467825252139243,0.4874311838851261,7.100424546503759e-4,0.502,0.885,1,FALSE,FALSE,FALSE,FALSE,-0.605,-0.13,-0.735,-0.149,0.212,-0.3,-0.00969,-0.0944,-0.14,-0.0708,0.595,-0.0437
TOR1A,O14656,0.33991845361381245,0.1178086392609037,0.016740345772450257,0.636,0.787,1,FALSE,FALSE,FALSE,FALSE,0.196,0.328,0.525,-0.408,0.461,-0.426,0.114,-0.105,0.442,0.0379,-0.0823,-0.0339
TOR1AIP1,Q5JTV8,0.011429144599746014,0.003613224227338941,0.6141786888543508,0.515,0.661,1,FALSE,FALSE,FALSE,FALSE,-0.528,0.625,0.097,-0.261,0.181,-0.178,-0.477,0.0768,0.148,0.243,0.0512,0.215
TOR1AIP2,Q8NFQ8,0.6382108318582118,0.42515928351009535,0.2112978864678197,0.675,0.877,1,FALSE,FALSE,FALSE,FALSE,0.11,0.188,0.299,-0.375,0.275,-0.263,-0.0132,0.0865,0.175,-0.0332,-0.124,0.271
TOR1B,O14657,0.10537299637399677,0.8748340341201123,0.07832657465640624,0.579,0.914,1,FALSE,FALSE,FALSE,FALSE,0.317,0.0298,0.346,-0.281,0.235,-0.295,0.352,-0.193,0.381,-0.0801,0.0349,-0.153
TOR2A,Q5JU69,8.884440573349169e-4,0.08867687229767535,0.047138777009626875,0.501,0.764,1,FALSE,FALSE,FALSE,FALSE,-1.06,0.485,-0.573,-0.561,0.236,-0.38,-0.284,-0.0106,0.201,-0.0643,0.774,0.0895
TOR3A,Q9H497,0.09723099329107168,0.830397943519271,0.14336784441211392,0.576,0.912,1,FALSE,FALSE,FALSE,FALSE,0.326,-0.0406,0.285,-0.125,0.393,-0.251,0.355,-0.283,0.315,-0.274,0.0293,-0.159
TOX2,Q96NM4,0.4107526597532051,0.8806564606381447,0.3329668288580442,0.648,0.914,1,FALSE,FALSE,FALSE,FALSE,-0.864,-0.156,-1.02,0.208,-1.76,0.741,-0.488,0.417,-0.644,0.726,0.376,0.428
TOX4,O94842,0.004041019877680585,0.2622065844782102,0.04903622350519595,0.502,0.848,1,FALSE,FALSE,FALSE,FALSE,-0.842,0.299,-0.543,-0.479,0.183,-0.117,-0.0269,-0.29,0.272,-0.205,0.815,-0.152
TP53,P04637,5.080563331945671e-5,0.6500697338667292,1.4591928779675016e-4,0.495,0.9,1,FALSE,FALSE,FALSE,FALSE,-1.01,0.0908,-0.924,-0.361,0.0452,-0.371,-0.257,0.0952,-0.166,-0.0685,0.758,0.326
TP53BP1,Q12888,0.11534307608213122,0.12628074559229244,0.9600130454717372,0.582,0.793,1,FALSE,FALSE,FALSE,FALSE,-0.214,0.208,-0.0066,0.0919,0.385,0.032,-0.312,0.049,-0.104,-0.0826,-0.0978,0.0388
TP53BP2,Q13625,0.006005148616731465,0.4683006877964837,0.03006243615921615,0.506,0.883,1,FALSE,FALSE,FALSE,FALSE,-0.839,0.202,-0.637,-0.203,-0.866,0.211,-0.308,0.0282,-0.106,0.456,0.531,0.259
TP53I11,O14683,0.06648140759343257,0.6754091259553724,0.028236800418566726,0.561,0.902,1,FALSE,FALSE,FALSE,FALSE,2.25,0.493,2.75,0.528,0.808,-1.97,0.193,0.828,0.686,0.478,-2.06,0.506
TP53I13,Q8NBR0,7.291456345696269e-8,0.08688910525077648,2.661478017633844e-6,0.355,0.762,1,FALSE,FALSE,FALSE,FALSE,-5.59,1.22,-4.38,-1.46,-0.573,-0.979,-1.85,-1.99,-0.639,1.84,3.74,1.91
TP53I3,Q53FA7,0.0012349229642102352,0.23219074701065165,7.118864132254095e-5,0.501,0.839,1,FALSE,FALSE,FALSE,FALSE,-1.19,-0.391,-1.59,-0.114,-0.914,-0.111,0.457,-0.355,0.0658,-0.405,1.65,-0.275
TP53INP2,Q8IXH6,2.4284129779996905e-4,0.36759484441874213,0.0020664811905896073,0.499,0.869,1,FALSE,FALSE,FALSE,FALSE,-1.57,0.324,-1.24,-0.108,-0.94,-0.119,-0.205,-0.315,0.119,0.36,1.36,-0.156
TP53RK,Q96S44,0.23000605871387853,0.4858770961293941,0.6031176092108819,0.615,0.885,1,FALSE,FALSE,FALSE,FALSE,0.34,-0.195,0.145,0.0664,0.437,0.0522,0.236,-0.261,0.0408,-0.0875,-0.104,-0.379
TP73,O15350,0.16795340437459372,0.1952084228051272,0.9287277656036831,0.6,0.827,1,FALSE,FALSE,FALSE,FALSE,1.6,-1.5,0.101,0.326,0.583,0.379,0.0635,0.366,-1.43,0.863,-1.53,0.387
TPBG,Q13641,0.012812317870827693,0.04788515899263566,0.5378257129742074,0.517,0.735,1,FALSE,FALSE,FALSE,FALSE,-1.11,0.854,-0.254,-1.09,-0.702,-0.661,0.989,-0.957,1.84,-0.795,2.1,-0.724
TPCN1,Q9ULQ1,0.11726359999201823,0.594163726971819,0.2861228607157805,0.583,0.895,1,FALSE,FALSE,FALSE,FALSE,-1.98,0.656,-1.33,-0.905,-0.254,-0.148,-0.153,0.343,0.503,-1.47,1.83,0.257
TPD52,P55327,0.01000426962091761,0.08397676278404578,0.3160085517387762,0.513,0.759,1,FALSE,FALSE,FALSE,FALSE,-1.32,0.84,-0.475,-0.704,-0.328,-0.344,-0.00111,-0.54,0.839,-0.0646,1.31,-0.172
TPD52L1,Q16890,1.2669470192118212e-6,0.8802295784969884,1.7404963012081638e-6,0.463,0.914,1,FALSE,FALSE,FALSE,FALSE,-1.63,0.0363,-1.59,-0.317,-0.48,-0.0607,-0.209,-0.237,-0.173,0.231,1.42,-0.172
TPD52L2,O43399,0.001179088357695766,0.20807617266696168,0.02206266280661024,0.501,0.832,1,FALSE,FALSE,FALSE,FALSE,-1.39,0.479,-0.914,-0.69,-0.583,-0.174,0.157,-0.527,0.636,-0.106,1.55,-0.262
TPGS1,Q6ZTW0,0.07202835499693723,0.2946468181942643,0.0075114758334240295,0.564,0.855,1,FALSE,FALSE,FALSE,FALSE,-0.738,-0.418,-1.16,-0.0887,-2.03,-0.139,-0.0841,0.594,-0.502,0.957,0.654,0.636
TPI1,P60174,4.191723959316273e-5,0.3168576439952843,4.454312825652652e-4,0.494,0.86,1,FALSE,FALSE,FALSE,FALSE,-2.43,0.478,-1.96,-0.662,-1.29,-0.0598,-0.108,-0.387,0.369,-0.186,2.32,-4.84e-4
TPM1,P09493,1.4243171214034191e-4,0.05919267037926706,0.014037639393825485,0.498,0.742,1,FALSE,FALSE,FALSE,FALSE,-2.3,0.98,-1.32,-0.318,-1.05,0.133,-1.06,0.439,-0.0846,0.619,1.23,0.0948
TPM3,P06753,0.0011763110050400474,0.15901340399055924,0.03095345740150139,0.501,0.812,1,FALSE,FALSE,FALSE,FALSE,-2.03,0.785,-1.25,-0.569,-1.12,-0.276,-0.287,0.05,0.498,0.266,1.74,-0.303
TPM4,P67936,0.004750441365894587,0.1804156664482911,0.08848899081755324,0.503,0.821,1,FALSE,FALSE,FALSE,FALSE,-1.61,0.703,-0.907,-0.279,-0.986,-0.0238,-0.339,0.0927,0.364,0.372,1.27,-0.472
TPMT,P51580,0.2766255989004271,0.01516140273910715,0.13937562803327755,0.624,0.691,1,FALSE,FALSE,FALSE,FALSE,0.282,-0.671,-0.389,0.0838,-0.0521,-0.0121,0.405,-0.182,-0.266,-0.0314,0.123,-0.0675
TPP1,O14773,0.04373307564526086,0.0025379893326269707,0.20853356839472945,0.545,0.653,1,FALSE,FALSE,FALSE,FALSE,-0.379,0.607,0.229,-0.288,0.263,-0.284,-0.402,0.186,0.205,0.205,-0.0237,0.14
TPP2,P29144,0.0010599709765684866,0.0033478850177887333,0.6240243084413062,0.501,0.659,1,FALSE,FALSE,FALSE,FALSE,0.813,-0.707,0.106,0.283,0.0112,0.108,0.206,0.228,-0.501,0.182,-0.607,0.089
TPPP,O94811,9.853920917814072e-6,0.7630334340091249,5.068436605085545e-6,0.487,0.908,1,FALSE,FALSE,FALSE,FALSE,-1.54,-0.0801,-1.62,5.6e-4,-0.892,0.237,-0.607,0.183,-0.687,0.642,0.934,0.189
TPPP3,Q9BW30,1.9892719670235e-4,0.9953531351627312,2.016610782498464e-4,0.498,0.92,1,FALSE,FALSE,FALSE,FALSE,-1.87,0.00242,-1.86,-0.205,-1.1,0.578,-0.777,0.291,-0.774,0.265,1.09,0.628
TPR,P12270,0.0013748126941285775,0.09002292911778852,0.06715220900904915,0.501,0.765,1,FALSE,FALSE,FALSE,FALSE,-1.49,0.715,-0.777,-0.449,-0.562,0.175,-0.999,0.395,-0.285,0.603,0.492,0.63
TPRG1L,Q5T0D9,1.0868494015950604e-4,0.7961518496994706,1.9882726488564166e-4,0.497,0.91,1,FALSE,FALSE,FALSE,FALSE,1.69,-0.0921,1.6,-0.341,0.413,-0.0884,1.04,-0.498,0.953,-0.479,-0.648,-0.356
TPRKB,Q9Y3C4,0.010732375871422275,0.22028741576843236,5.914378727639787e-4,0.514,0.836,1,FALSE,FALSE,FALSE,FALSE,-0.385,-0.173,-0.558,0.115,-0.0373,0.184,0.154,-0.376,-0.0186,-0.241,0.539,-0.32
TPRN,Q4KMQ1,0.8213219447137552,0.9523831731126622,0.8679858215135738,0.692,0.918,1,FALSE,FALSE,FALSE,FALSE,-0.245,0.0646,-0.18,0.0398,-2.63,0.584,-0.0394,0.413,0.0252,0.918,0.205,0.484
TPST1,O60507,0.6995841847312712,0.5669315235978467,0.34188735259151115,0.681,0.893,1,FALSE,FALSE,FALSE,FALSE,0.212,0.315,0.527,-0.75,0.0994,-0.364,0.273,-0.151,0.588,-0.0271,0.0614,0.27
TPST2,O60704,0.04647847221866979,0.35347044298971886,0.006039007159585513,0.548,0.867,1,FALSE,FALSE,FALSE,FALSE,0.385,0.172,0.557,-0.357,-0.0129,-0.109,0.269,-0.143,0.441,-0.0685,-0.116,0.0963
TPT1,P13693,1.2103065479952465e-4,0.9983807833654605,1.2160452533479273e-4,0.497,0.92,1,FALSE,FALSE,FALSE,FALSE,-1.05,4.52e-4,-1.05,-0.387,-0.699,-0.242,0.302,-0.219,0.303,-0.139,1.35,-0.27
TPX2,Q9ULW0,0.004438562402415786,0.06438340911533899,0.22541860346274697,0.502,0.745,1,FALSE,FALSE,FALSE,FALSE,-1.16,0.706,-0.451,-0.218,-0.46,0.106,-1.21,0.644,-0.508,0.84,-0.0574,0.868
TRA2A,Q13595,4.492458443123673e-4,0.006023340554262571,0.2739232593067503,0.5,0.669,1,FALSE,FALSE,FALSE,FALSE,-1.31,0.958,-0.35,-0.199,0.0634,-0.0574,-0.635,-0.0152,0.322,-0.33,0.672,0.178
TRA2B,P62995,2.480699052716166e-4,0.016275915823309405,0.08233688187004046,0.499,0.693,1,FALSE,FALSE,FALSE,FALSE,-1.52,0.899,-0.626,-0.204,-0.0586,0.0755,-0.788,-0.0106,0.111,-0.21,0.737,0.347
TRABD,Q9H4I3,0.31338426350697196,0.9822804489076044,0.3237533102474416,0.631,0.919,1,FALSE,FALSE,FALSE,FALSE,1.05,-0.0228,1.03,-0.43,0.33,-1.39,0.582,0.208,0.559,0.498,-0.468,0.108
TRADD,Q15628,0.010300753633168212,0.2227681628390072,0.13077446840501333,0.513,0.837,1,FALSE,FALSE,FALSE,FALSE,-0.616,0.273,-0.342,-0.172,-0.826,-0.0517,0.284,-0.308,0.558,-0.0187,0.9,-0.366
TRAF2,Q12933,0.8973177168650643,0.747905462580377,0.6529029942215476,0.698,0.907,1,FALSE,FALSE,FALSE,FALSE,-0.119,-0.298,-0.417,0.26,-0.234,0.193,0.563,0.0234,0.266,-1.98,0.683,0.225
TRAF3,Q13114,0.07365565496699726,0.008198376389719684,0.3067960000825174,0.565,0.673,1,FALSE,FALSE,FALSE,FALSE,0.361,-0.561,-0.2,-0.0213,-0.845,0.221,0.468,-0.035,-0.0924,-0.197,0.108,0.393
TRAF3IP1,Q8TDR0,4.263072988061396e-4,0.5147489153927904,0.0019898109424440883,0.5,0.888,1,FALSE,FALSE,FALSE,FALSE,-1.13,0.178,-0.956,0.11,-0.756,0.284,-0.854,0.413,-0.676,0.816,0.28,0.382
TRAF4,Q9BUZ4,0.6698008259562415,0.8078066886180647,0.5047607730400423,0.678,0.91,1,FALSE,FALSE,FALSE,FALSE,-0.215,-0.122,-0.337,-1.01,0.148,-0.0643,0.574,-0.315,0.452,-0.588,0.789,0.0188
TRAF6,Q9Y4K3,0.3778548076774282,0.04412008351791155,0.22667102028650532,0.643,0.732,1,FALSE,FALSE,FALSE,FALSE,1.18,-2.82,-1.64,0.348,0.153,0.36,0.762,0.25,-2.06,0.367,-0.421,0.239
TRAF7,Q6Q0C0,0.1551541798185125,0.38269552941773544,0.5650287862009846,0.596,0.871,1,FALSE,FALSE,FALSE,FALSE,-2.21,1.34,-0.876,0.0394,2.55,-0.547,-3.23,2.38,-1.89,0.159,-1.02,1.54
TRAFD1,O14545,0.005765002434525788,0.2615156844354813,3.9998590936030825e-4,0.506,0.848,1,FALSE,FALSE,FALSE,FALSE,-0.92,-0.343,-1.26,-0.129,-0.997,0.14,0.374,-0.514,0.0304,0.0428,1.29,-0.24
TRAM1,Q15629,0.023356280220728175,0.9729331781978943,0.02511428651193659,0.529,0.919,1,FALSE,FALSE,FALSE,FALSE,0.641,-0.00897,0.633,0.0723,0.742,-0.14,-0.113,0.171,-0.122,-0.0928,-0.754,0.236
TRAP1,Q12931,0.20280560473354103,0.07933356054297719,0.00489430531206552,0.609,0.755,1,FALSE,FALSE,FALSE,FALSE,0.337,0.474,0.811,-0.409,0.556,-0.807,0.0318,0.191,0.505,-0.0464,-0.306,0.284
TRAPPC1,Q9Y5R8,0.11794166387857583,0.554997040377013,0.3135481538072803,0.583,0.892,1,FALSE,FALSE,FALSE,FALSE,0.435,-0.16,0.275,0.142,-0.398,0.0521,0.158,0.206,-0.00218,0.00305,-0.278,0.117
TRAPPC11,Q7Z392,0.01914434485981032,0.44773795276583284,0.09107972215194679,0.524,0.88,1,FALSE,FALSE,FALSE,FALSE,2.24,-0.68,1.56,0.563,0.0985,0.296,0.433,0.346,-0.246,0.0868,-1.81,0.228
TRAPPC12,Q8WVT3,0.7829209022330739,0.05857567761788996,0.0995637908663783,0.689,0.742,1,FALSE,FALSE,FALSE,FALSE,0.0495,-0.356,-0.307,0.409,0.00751,0.339,-0.197,0.0499,-0.554,0.256,-0.247,-0.0637
TRAPPC13,A5PLN9,0.011581012690874313,0.035209707912051115,0.607898827037226,0.515,0.724,1,FALSE,FALSE,FALSE,FALSE,1.86,-1.51,0.348,0.435,0.203,0.279,0.556,0.219,-0.955,0.357,-1.3,0.208
TRAPPC14,Q8WVR3,0.9799864957860125,0.6054232422685348,0.6228769402129071,0.704,0.896,1,FALSE,FALSE,FALSE,FALSE,-0.0204,0.421,0.401,0.3,0.35,0.00362,-0.529,0.504,-0.108,-0.604,-0.509,0.591
TRAPPC2L,Q9UL33,0.3973936238541752,0.04960308861274399,0.23443626982530882,0.646,0.736,1,FALSE,FALSE,FALSE,FALSE,1.2,-2.9,-1.7,0.314,0.471,0.304,0.58,0.41,-2.32,0.558,-0.62,0.305
TRAPPC3,O43617,0.0031437170398574917,0.4009697080252408,0.02121477416131763,0.502,0.874,1,FALSE,FALSE,FALSE,FALSE,-0.531,0.136,-0.395,-0.138,-0.549,-0.148,0.0319,0.0756,0.167,0.0839,0.563,-0.086
TRAPPC4,Q9Y296,0.001648718837540781,0.06000357292205906,0.11552926464576835,0.501,0.743,1,FALSE,FALSE,FALSE,FALSE,0.594,-0.325,0.268,0.126,-0.283,0.0794,0.371,0.0129,0.0459,-0.0909,-0.222,-0.0391
TRAPPC5,Q8IUR0,0.8976868926250735,0.6871465805632855,0.595934382415198,0.698,0.903,1,FALSE,FALSE,FALSE,FALSE,-0.036,-0.113,-0.149,-0.366,-0.869,-0.193,1.06,-0.459,0.945,-0.507,1.09,-0.702
TRAPPC6B,Q86SZ2,0.6870631613293507,0.029383336792837264,0.012238267182825904,0.68,0.718,1,FALSE,FALSE,FALSE,FALSE,-0.103,-0.591,-0.694,-0.276,-0.78,-0.161,0.788,-0.208,0.197,-0.404,0.891,-0.0459
TRAPPC8,Q9Y2L5,0.018355891356630277,0.04984407668377762,0.6355093749347048,0.523,0.736,1,FALSE,FALSE,FALSE,FALSE,3.74,-3.04,0.7,0.756,0.558,0.785,0.801,0.778,-2.24,0.96,-2.94,0.533
TRAPPC9,Q96Q05,0.007963762579805963,0.39338280092554667,0.05090402936009864,0.509,0.873,1,FALSE,FALSE,FALSE,FALSE,3.6,-1.06,2.53,1.43,0.872,1.12,1.23,-0.358,0.17,-1.9,-2.36,-0.193
TRIAP1,O43715,0.015116624293846715,0.12279373936535458,0.30716494016485146,0.519,0.79,1,FALSE,FALSE,FALSE,FALSE,-2.68,1.62,-1.06,-1.18,-1.55,-0.266,-1.22,0.255,0.408,1.32,1.46,0.769
TRIB3,Q96RU7,8.316971551035976e-5,0.022589120443066324,0.02337491334610342,0.496,0.707,1,FALSE,FALSE,FALSE,FALSE,5.4,-2.71,2.69,3.28,2.9,-0.869,3.21,-3.23,0.501,-1.58,-2.19,-2.01
TRIM11,Q96F44,0.022222331064227118,0.0043501460412631995,1.4671514453605368e-5,0.528,0.664,1,FALSE,FALSE,FALSE,FALSE,-0.486,-0.63,-1.12,0.211,-0.267,0.348,-0.0135,-0.111,-0.644,0.0559,0.472,-0.0513
TRIM2,Q9C040,0.002319561368697815,0.04944863207296977,0.1768922253314257,0.502,0.736,1,FALSE,FALSE,FALSE,FALSE,2.41,-1.45,0.967,0.807,0.679,0.778,0.0702,0.602,-1.37,0.481,-2.34,0.299
