name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
FIP1L1,Q6UN15,6.327552119954205e-5,0.13067014909118488,0.0024307006378107288,0.495,0.796,1,FALSE,FALSE,FALSE,FALSE,-1.21,0.377,-0.829,-0.0818,0.138,-0.00853,-1.15,0.591,-0.774,0.727,0.0556,0.502
FIRRM,Q9NSG2,0.05627225923590286,0.06233130055526759,0.9588507342282095,0.555,0.744,1,FALSE,FALSE,FALSE,FALSE,-1.64,1.6,-0.0423,-0.297,-0.207,-0.282,-0.416,-0.447,1.19,-0.343,1.23,-0.423
FIS1,Q9Y3D6,0.09682106862486799,0.09301591408083859,0.9829120892307145,0.575,0.767,1,FALSE,FALSE,FALSE,FALSE,-0.497,0.503,0.00618,-0.306,-0.929,-0.239,0.246,-0.0181,0.749,-0.0455,0.742,-0.199
FIZ1,Q96SL8,9.496433859620466e-5,0.06230941426512033,0.008985617066567373,0.497,0.744,1,FALSE,FALSE,FALSE,FALSE,-2.08,0.845,-1.24,-0.274,-0.203,-0.379,-0.193,-0.761,0.652,-0.283,1.89,-0.451
FKBP10,Q96AY3,0.09249471744510274,0.03302598482287807,0.6061483027511395,0.574,0.722,1,FALSE,FALSE,FALSE,FALSE,-0.518,0.671,0.153,-0.598,0.121,-0.611,-0.116,-0.0226,0.556,0.157,0.402,0.111
FKBP14,Q9NWM8,0.0027279917437095483,0.018281759070104243,0.405158422304698,0.502,0.697,1,FALSE,FALSE,FALSE,FALSE,-1.59,1.19,-0.395,-0.845,-0.578,-0.352,-0.247,-0.279,0.947,-0.00805,1.34,0.0207
FKBP15,Q5T1M5,0.009570633354166594,0.09892336448783286,0.26916836632812097,0.512,0.772,1,FALSE,FALSE,FALSE,FALSE,0.607,-0.367,0.241,0.209,-0.283,0.145,0.409,-0.159,0.042,-0.0693,-0.199,-0.0939
FKBP1A,P62942,0.006512308107701535,0.8257363797749553,0.0039274688121224335,0.507,0.911,1,FALSE,FALSE,FALSE,FALSE,-1.84,-0.135,-1.98,-1.04,-1.83,-0.338,0.21,-0.0735,0.0748,0.643,2.05,0.301
FKBP1B,P68106,0.002167605546162939,0.43603498249296824,0.013049079966805436,0.502,0.879,1,FALSE,FALSE,FALSE,FALSE,-2.37,0.534,-1.83,-0.445,-2.27,0.172,-0.535,0.0942,-0.00123,0.743,1.83,0.416
FKBP2,P26885,0.0012982461372966646,0.07187456816259856,0.08043442577911199,0.501,0.749,1,FALSE,FALSE,FALSE,FALSE,-1.83,0.932,-0.903,-0.755,-0.812,-0.375,-0.302,-0.25,0.63,0.238,1.53,0.0948
FKBP3,Q00688,4.5623284865432736e-5,0.48053678880733897,2.3767188059948088e-4,0.494,0.884,1,FALSE,FALSE,FALSE,FALSE,-2.06,0.285,-1.78,-0.573,-0.928,-0.113,-0.418,0.0173,-0.132,0.375,1.64,0.127
FKBP4,Q02790,0.0020235480781643695,0.1424231857213469,5.906124824286565e-5,0.502,0.803,1,FALSE,FALSE,FALSE,FALSE,-0.588,-0.253,-0.84,-0.0204,-0.0943,0.0881,-0.00898,-0.125,-0.262,-0.0174,0.579,-0.139
FKBP5,Q13451,4.168716523383119e-5,0.5047343809250301,9.174613176607643e-6,0.494,0.887,1,FALSE,FALSE,FALSE,FALSE,-0.811,-0.105,-0.917,-0.0261,-0.00781,0.0465,0.00106,-0.396,-0.104,0.00987,0.813,-0.335
FKBP7,Q9Y680,3.3339390736837317e-4,0.04748988573551547,0.03860949892259131,0.499,0.734,1,FALSE,FALSE,FALSE,FALSE,-2.33,1.14,-1.19,-0.886,-0.763,-0.258,-0.286,-0.503,0.85,-0.278,2.04,0.0817
FKBP8,Q14318,0.4418764003607344,0.7570191146483822,0.2851756760199273,0.652,0.907,1,FALSE,FALSE,FALSE,FALSE,0.119,0.0476,0.167,-0.106,0.384,-0.112,-0.233,0.203,-0.185,0.125,-0.352,0.277
FKBP9,O95302,0.01167399573548626,0.006023178439762715,0.7696596606733118,0.515,0.669,1,FALSE,FALSE,FALSE,FALSE,-0.949,1.05,0.101,-0.502,0.0114,-0.385,-0.0826,-0.264,0.967,-0.408,0.866,-0.204
FKBPL,Q9UIM3,0.025562285392521228,0.0029453020346127765,1.1651401016368086e-5,0.531,0.656,1,FALSE,FALSE,FALSE,FALSE,-0.598,-0.839,-1.44,0.293,-1.15,0.498,-0.273,0.3,-1.11,0.646,0.325,0.478
FKRP,Q9H9S5,0.25641730515191297,0.27172066664256,0.970039477869997,0.62,0.85,1,FALSE,FALSE,FALSE,FALSE,1.95,-1.89,0.0636,-0.627,0.884,-0.744,0.802,1.21,-1.09,-0.695,-1.15,1.41
FLAD1,Q8NFF5,0.007185010630923687,0.2135387266184585,0.10259299641823103,0.508,0.834,1,FALSE,FALSE,FALSE,FALSE,0.779,-0.334,0.445,0.175,0.216,0.0457,0.0898,0.179,-0.244,0.0848,-0.689,0.143
FLCN,Q8NFG4,0.02558841298971781,0.5555280298193721,0.08478657785520236,0.531,0.892,1,FALSE,FALSE,FALSE,FALSE,1.38,-0.343,1.04,0.313,0.13,0.31,0.0177,0.215,-0.325,0.63,-1.36,0.0713
FLG2,Q5D862,4.5969528424475104e-4,0.500305234687752,0.002262491994108584,0.5,0.886,1,FALSE,FALSE,FALSE,FALSE,-2.45,0.401,-2.05,0.224,0.0785,0.107,-1.52,0.78,-1.12,0.635,0.932,-0.124
FLII,Q13045,6.883125125901276e-5,0.008905503004060641,0.04758364994969673,0.496,0.674,1,FALSE,FALSE,FALSE,FALSE,1.02,-0.588,0.428,0.0858,-0.214,0.0218,0.541,0.0107,-0.047,0.111,-0.475,-0.0349
FLNA,P21333,0.0018324113007134838,0.26177486108518144,1.2564681481619274e-4,0.501,0.848,1,FALSE,FALSE,FALSE,FALSE,-0.806,-0.259,-1.06,0.022,-0.961,0.351,-0.103,-0.0695,-0.362,0.385,0.703,0.0341
FLNB,O75369,9.082214478521228e-5,0.024273157510328568,4.677674528370802e-7,0.496,0.71,1,FALSE,FALSE,FALSE,FALSE,-0.707,-0.353,-1.06,-0.0596,-0.668,0.23,0.0618,-0.138,-0.291,0.124,0.769,-0.0287
FLNC,Q14315,9.265351978341472e-4,0.06322823094463863,1.0361374566956344e-5,0.501,0.745,1,FALSE,FALSE,FALSE,FALSE,-0.671,-0.34,-1.01,0.317,-0.411,0.713,-0.44,-0.133,-0.78,0.389,0.231,0.113
FLOT1,O75955,0.001004372994413172,0.5003832105656176,2.0377950469061866e-4,0.501,0.886,1,FALSE,FALSE,FALSE,FALSE,0.968,0.172,1.14,0.0634,0.732,-0.246,0.0898,0.0554,0.262,-0.115,-0.878,0.0365
FLOT2,Q14254,5.753481038189089e-4,0.8175936431011831,9.90919373850885e-4,0.5,0.911,1,FALSE,FALSE,FALSE,FALSE,1.08,-0.0617,1.02,0.151,0.61,-0.112,-0.0728,0.244,-0.135,0.114,-1.15,0.354
FLRT3,Q9NZU0,0.08497690609324747,0.006387922519088154,0.23096791827540453,0.57,0.67,1,FALSE,FALSE,FALSE,FALSE,-0.301,0.505,0.205,-0.113,-0.254,0.0963,0.108,-0.307,0.614,-0.449,0.409,-0.104
FLT1,P17948,0.7429522056177265,0.612268226094735,0.40681923619288407,0.685,0.897,1,FALSE,FALSE,FALSE,FALSE,0.0759,0.118,0.193,-0.638,-0.937,-0.464,1.21,-0.624,1.32,-0.395,1.13,-0.602
FLVCR1,Q9Y5Y0,0.35393368481122,0.05834208862505998,0.3018798222224319,0.639,0.741,1,FALSE,FALSE,FALSE,FALSE,0.334,-0.708,-0.373,0.232,-0.0613,0.239,0.15,0.174,-0.558,0.035,-0.185,-0.0253
FLYWCH1,Q4VC44,4.975752979741057e-4,0.33354111788277396,0.004912030655641877,0.5,0.863,1,FALSE,FALSE,FALSE,FALSE,-1.04,0.249,-0.794,-0.248,-0.031,-0.0618,-0.214,-0.0987,0.0345,0.0677,0.828,-0.277
FLYWCH2,Q96CP2,6.0399115658071745e-5,0.8793577568746098,8.58212513759127e-5,0.495,0.914,1,FALSE,FALSE,FALSE,FALSE,-1.56,0.0473,-1.51,-0.176,-1.09,0.169,-0.532,0.108,-0.484,0.632,1.03,0.346
FMC1,Q96HJ9,0.0026014434658116134,0.1011167104818259,0.10030367291546893,0.502,0.773,1,FALSE,FALSE,FALSE,FALSE,-1.02,0.508,-0.51,-0.276,-0.451,-0.241,-0.226,-0.242,0.283,0.177,0.792,0.183
