name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_100_atRAL5hr_centered,RDH12_200_atRAL5hr_centered,RDH12_control_atRAL5hr_centered
RIOK2,Q9BVS4,0.008479899583941247,0.19292496790527802,0.0012053368156645908,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.885,-0.363,-1.25,-0.174,-0.537,0.711
RIOX2,Q8IUF8,0.5022313021965134,0.21786720884079813,0.07561244906579574,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,0.204,0.389,0.593,-0.0615,0.328,-0.266
RIT1,Q92963,0.38667879548240225,0.873526594933446,0.4740848889863498,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.17,0.211,-0.963,-0.461,-0.251,0.712
RLF,Q13129,0.31483361264954907,0.6502443594293197,0.16127156887968286,0.988,0.991,1,TRUE,TRUE,TRUE,TRUE,1.36,0.598,1.96,0.255,0.853,-1.11
RLIG1,Q8N999,0.43441682124157366,0.19565431658679644,0.5721922051485504,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,0.704,-1.21,-0.504,0.638,-0.571,-0.0668
RLIM,Q9NVW2,0.0665462590756423,0.1581783643773929,0.0062037157944533185,0.988,0.989,1,FALSE,FALSE,TRUE,TRUE,-0.502,-0.368,-0.871,-0.0446,-0.413,0.458
RMC1,Q96DM3,0.4232582896049413,0.3119226888536079,0.8198473026819977,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,1.11,-1.42,-0.309,0.842,-0.576,-0.267
RMDN3,Q96TC7,0.9723671097703491,0.0161131149175578,0.017015664772429374,0.99,0.987,1,FALSE,TRUE,TRUE,TRUE,-0.00772,0.656,0.648,-0.221,0.435,-0.214
RMI1,Q9H9A7,0.12160190592190316,0.5772015759266766,0.2833085553672538,0.988,0.99,1,TRUE,FALSE,TRUE,TRUE,1.72,-0.577,1.14,0.765,0.188,-0.953
RNASE4,P34096,0.10228593425053333,0.141315039806652,0.8369517871662084,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-1.23,1.08,-0.141,-0.77,0.314,0.456
RNASEH1,O60930,0.34119970000193767,0.5201109005955646,0.7432065501732394,0.988,0.99,1,TRUE,FALSE,FALSE,TRUE,0.727,-0.483,0.244,0.404,-0.0799,-0.324
RNASEH2C,Q8TDP1,0.023187987903796996,0.6359938109466832,0.04987326463132853,0.988,0.991,1,TRUE,FALSE,FALSE,TRUE,-0.679,0.119,-0.56,-0.266,-0.147,0.413
RNASEL,Q05823,0.06077715039559447,0.9038495316275152,0.07380881233329309,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,0.801,-0.0458,0.755,0.282,0.236,-0.519
RNASET2,O00584,0.029797512283696516,0.08703342287672727,0.5111261797465005,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-1.21,0.892,-0.315,-0.7,0.192,0.507
RND3,P61587,0.0071205837304452796,0.8770521200907493,0.009002471604142652,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-2.21,0.0986,-2.11,-0.77,-0.671,1.44
RNF10,Q8N5U6,0.0927088874234206,0.4029390305345043,0.33527757148175685,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,0.986,-0.456,0.53,0.481,0.0245,-0.505
RNF113A,O15541,0.0016233761894617342,0.798954094053458,0.002299340435419675,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.48,0.0836,-1.39,-0.521,-0.437,0.957
RNF114,Q9Y508,0.0022838378738133302,0.9821527630768949,0.0022143428867486465,0.988,0.993,1,TRUE,FALSE,TRUE,TRUE,-1.74,-0.00914,-1.75,-0.577,-0.587,1.16
RNF123,Q5XPI4,0.19315701321386158,0.4181802305243689,0.58623360602033725,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,1.62,-0.973,0.646,0.864,-0.109,-0.755
RNF126,Q9BV68,0.06446080437320821,0.062419761295600784,0.9840468428882577,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,-2.47,2.49,0.0238,-1.65,0.839,0.815
RNF128,Q8TEB7,0.10407246275022025,0.42569493945443926,0.028196740606039144,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,1.18,0.542,1.73,0.214,0.757,-0.971
RNF13,O43567,0.011528686500378735,0.07763163661896047,0.25200602002723294,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-1.65,1.02,-0.624,-0.89,0.133,0.757
RNF138,Q8WVD3,0.005589141229930988,0.8362888200561723,0.004128102765261516,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.04,-0.0593,-1.1,-0.328,-0.387,0.715
RNF141,Q8WVD5,0.5588723594439902,0.6523893650813734,0.31255260555940734,0.989,0.991,1,TRUE,TRUE,TRUE,TRUE,0.943,0.723,1.67,0.0732,0.796,-0.869
RNF146,Q9NTX7,0.031759860348341065,0.7920534739619052,0.02082303495632181,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.07,-0.113,-1.19,-0.32,-0.433,0.753
RNF166,Q96A37,0.02021366759927653,0.43151148427973296,0.07335030483403392,0.988,0.989,1,TRUE,TRUE,TRUE,TRUE,-2.08,0.597,-1.48,-0.892,-0.296,1.19
RNF167,Q9H6Y7,9.153896236805593e-4,0.020346941798470724,0.05695945388008586,0.988,0.988,1,TRUE,TRUE,TRUE,TRUE,-2.32,1.31,-1.01,-1.21,0.1,1.11
RNF168,Q8IYW5,0.05381092768855613,0.40658945233643073,0.204249469240619,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.828,0.321,-0.507,-0.383,-0.0619,0.445
RNF169,Q8NCN4,0.061058689358756066,0.20358528582174854,0.45078194743527533,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.743,0.472,-0.271,-0.405,0.0673,0.338
RNF187,Q5TA31,0.0010921302147696072,0.2192888091531737,2.3068712064235386e-4,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.78,-0.477,-2.25,-0.433,-0.911,1.34
RNF19A,Q9NV58,0.004497647311189033,0.7418508066601699,0.007341870685261508,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,1.72,-0.151,1.57,0.625,0.474,-1.1
RNF19B,Q6ZMZ0,0.015853911461704222,0.45637215466933756,0.05332315056437437,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,1.4,-0.359,1.04,0.585,0.226,-0.812
RNF2,Q99496,0.004174160983849248,0.03176010379963357,0.21068778724704365,0.988,0.988,1,TRUE,TRUE,FALSE,TRUE,-1.16,0.76,-0.398,-0.639,0.121,0.519
RNF213,Q63HN8,0.020626902555099205,0.083957922080217,0.3933059703101204,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.836,0.574,-0.262,-0.47,0.104,0.366
RNF214,Q8ND24,0.002050405740887532,0.7817916805108006,0.003018464607968404,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.5,0.0958,-1.4,-0.531,-0.435,0.966
RNF25,Q96BH1,0.02013375674559151,0.11347883613858792,0.001596314858639556,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.686,-0.421,-1.11,-0.0881,-0.509,0.597
RNF31,Q96EP0,0.08488022403931425,0.6529996210813058,0.040984948535778144,0.988,0.991,1,TRUE,FALSE,TRUE,TRUE,1.34,0.318,1.66,0.34,0.659,-0.999
RNF34,Q969K3,0.007767962475194654,0.08620736207812314,5.819524340282298e-4,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-0.988,-0.548,-1.54,-0.147,-0.695,0.842
RNF4,P78317,8.093821603316905e-5,0.8251466686401867,6.506501583063013e-5,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-2.25,-0.0703,-2.32,-0.728,-0.798,1.53
RNF5,Q99942,0.035461619612011185,0.1357393184149927,0.4114261172231659,0.988,0.989,1,TRUE,FALSE,FALSE,TRUE,-0.889,0.584,-0.305,-0.491,0.093,0.398
RNF7,Q9UBF6,0.002678029270738539,0.7597062753788703,0.004146698896292365,0.988,0.992,1,TRUE,FALSE,TRUE,TRUE,-1.46,0.108,-1.36,-0.524,-0.416,0.94
RNGTT,O60942,0.04591150872810467,0.7682498057598173,0.02854026260189849,0.988,0.992,1,FALSE,FALSE,TRUE,TRUE,0.573,0.0741,0.647,0.166,0.24,-0.407
RNH1,P13489,0.11143756317306265,0.2690575397882285,0.5645479695617075,0.988,0.989,1,TRUE,TRUE,FALSE,TRUE,0.963,-0.639,0.323,0.534,-0.105,-0.429
RNPC3,Q96LT9,0.005315862660826728,0.2621716000313287,0.03257040460198918,0.988,0.989,1,TRUE,FALSE,TRUE,TRUE,-1.08,0.343,-0.734,-0.473,-0.13,0.603
