X,name,ID,Control_100_vs_Control_Veh_p.val,Control_200_vs_Control_100_p.val,Control_200_vs_Control_Veh_p.val,RDH12_100_vs_Control_100_p.val,RDH12_100_vs_RDH12_Veh_p.val,RDH12_200_vs_Control_200_p.val,RDH12_200_vs_RDH12_100_p.val,RDH12_200_vs_RDH12_Veh_p.val,RDH12_Veh_vs_Control_Veh_p.val,Control_100_vs_Control_Veh_p.adj,Control_200_vs_Control_100_p.adj,Control_200_vs_Control_Veh_p.adj,RDH12_100_vs_Control_100_p.adj,RDH12_100_vs_RDH12_Veh_p.adj,RDH12_200_vs_Control_200_p.adj,RDH12_200_vs_RDH12_100_p.adj,RDH12_200_vs_RDH12_Veh_p.adj,RDH12_Veh_vs_Control_Veh_p.adj,Control_100_vs_Control_Veh_significant,Control_200_vs_Control_100_significant,Control_200_vs_Control_Veh_significant,RDH12_100_vs_Control_100_significant,RDH12_100_vs_RDH12_Veh_significant,RDH12_200_vs_Control_200_significant,RDH12_200_vs_RDH12_100_significant,RDH12_200_vs_RDH12_Veh_significant,RDH12_Veh_vs_Control_Veh_significant,significant,Control_100_vs_Control_Veh_ratio,Control_200_vs_Control_100_ratio,Control_200_vs_Control_Veh_ratio,RDH12_100_vs_Control_100_ratio,RDH12_100_vs_RDH12_Veh_ratio,RDH12_200_vs_Control_200_ratio,RDH12_200_vs_RDH12_100_ratio,RDH12_200_vs_RDH12_Veh_ratio,RDH12_Veh_vs_Control_Veh_ratio,Control_100_centered,Control_200_centered,Control_Veh_centered,RDH12_100_centered,RDH12_200_centered,RDH12_Veh_centered
99,DG 40:7 NL 22:6,684.55667 -> 339.29017,0.088702819,0.070310586,0.899121665,0.025795084,0.914587499,8.01E-05,0.338580978,0.289791306,0.00083597,0.469603161,0.328724818,0.989198075,0.18207895,0.986640738,0.001029821,0.851781189,0.584496396,0.016719391,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.235,0.251,0.0166,-0.32,-0.014,-0.699,-0.127,-0.141,-0.541,0.0977,0.349,0.333,-0.222,-0.349,-0.208
100,DG 42:10 NL 22:5,706.54107 -> 359.25867,0.522972109,0.426583417,0.872424315,0.550387571,0.395277108,0.036010014,0.39196647,0.995047496,0.049678199,0.804572475,0.720986056,0.989198075,0.812047235,0.953944604,0.113715834,0.8710366,0.997819216,0.198712796,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.165,0.206,0.0411,-0.154,0.22,-0.581,-0.222,-0.00159,-0.538,0.0888,0.294,0.253,-0.0649,-0.287,-0.285
101,DG 42:11 NL 16:0,704.52537 -> 431.258591,0.596660695,0.63697064,0.953716421,0.816539146,0.442877187,0.08391386,0.128892009,0.424586233,0.291934777,0.844145548,0.866777309,0.989198075,0.929952993,0.953944604,0.211545228,0.773352052,0.729643082,0.512143005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.203,0.181,-0.0222,0.0887,0.296,-0.697,-0.605,-0.308,-0.411,0.0418,0.223,0.245,0.13,-0.474,-0.166
102,DG 42:11 NL 22:5,704.52537 -> 357.24297,0.926752881,0.954100459,0.972572215,0.951090304,0.541717122,0.28079235,0.279211295,0.625046287,0.522050236,0.979634527,0.997868493,0.997509965,0.972648825,0.953944604,0.465830626,0.819582967,0.818088104,0.706672861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0504,0.0316,-0.0189,0.0336,0.337,-0.604,-0.606,-0.269,-0.354,0.127,0.158,0.177,0.16,-0.446,-0.177
103,LPC 16:0,496.376725 -> 184.07,0.98400907,0.089881012,0.086675987,0.858101594,0.620148099,0.085432285,0.836216907,0.771441112,0.765390455,0.989506328,0.375680412,0.447092099,0.933013703,0.953944604,0.212107742,0.998456697,0.897621457,0.88032129,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00663,0.591,0.598,0.0592,0.165,-0.6,-0.0684,0.0962,-0.0989,-0.0882,0.503,-0.0948,-0.029,-0.0974,-0.194
104,LPC 16:1,494.361025 -> 184.07,0.343611236,0.304413158,0.0596479,0.936218478,0.450974776,0.054980016,0.287422628,0.746291544,0.779052871,0.70145794,0.600734573,0.352020392,0.965726797,0.953944604,0.160917119,0.819582967,0.892250793,0.884728812,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.275,0.299,0.574,0.0229,0.218,-0.587,-0.31,-0.0927,0.0803,0.0726,0.372,-0.203,0.0954,-0.215,-0.122
105,LPC 18:0,524.408025 -> 184.07,0.159173118,0.209416073,0.013906822,0.007229524,0.714653582,0.025646347,0.070734607,0.035194783,0.063115327,0.516053985,0.505971721,0.153543646,0.086754284,0.976005797,0.083933499,0.649923037,0.222282837,0.223343256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.326,0.289,0.615,-0.687,0.0819,-0.547,0.429,0.511,-0.442,0.292,0.58,-0.0344,-0.395,0.0338,-0.477
106,LPC 18:1,522.355925 -> 184.07,0.743225102,0.266845476,0.158027524,0.640987783,0.613957026,0.099325086,0.296671043,0.579290118,0.772441362,0.905526004,0.568428233,0.598841144,0.870775856,0.953944604,0.233610021,0.819582967,0.801754668,0.882790128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.155,0.536,0.691,0.221,0.239,-0.817,-0.502,-0.263,0.137,-0.0504,0.486,-0.205,0.171,-0.332,-0.0686
107,LPC 18:2,520.376725 -> 184.07,0.394073753,0.839825104,0.511771549,0.067625718,0.602847264,0.024501528,0.470467589,0.223099715,0.580488332,0.735059849,0.963622707,0.881520371,0.333496692,0.953944604,0.08167176,0.91275928,0.53701383,0.749017202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.107,-0.025,0.0818,-0.24,-0.0647,-0.305,-0.0902,-0.155,-0.0688,0.146,0.121,0.0395,-0.0939,-0.184,-0.0292
108,LPC 20:0,552.402925 -> 184.07,0.317768084,0.011998226,0.086802522,0.531041446,0.077753167,0.029108817,0.850455768,0.109239106,0.03742121,0.698956427,0.139334238,0.447092099,0.799374187,0.906179064,0.094406974,0.998456697,0.385549786,0.170303978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0978,0.272,0.174,0.0607,0.18,-0.229,-0.0181,0.161,-0.217,-0.059,0.213,0.0389,0.00172,-0.0164,-0.178
109,LPC 24:0,608.465525 -> 184.07,0.835954202,0.73080579,0.582974456,0.713680515,0.150925883,0.551866268,0.909386302,0.124181892,0.114445946,0.943396591,0.913507237,0.91393034,0.901491177,0.931806613,0.728327791,0.998456697,0.406413464,0.3097785,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0293,0.0487,0.0779,-0.0519,0.21,-0.0845,0.0161,0.227,-0.233,0.0551,0.104,0.0259,0.0032,0.0193,-0.207
110,LPC 26:0,636.496825 -> 184.07,0.929669198,0.65003789,0.588631842,0.596471302,0.109742369,0.329906077,0.3675526,0.019234267,0.300817618,0.979634527,0.866777309,0.91393034,0.854555773,0.931806613,0.51637473,0.851781189,0.188078626,0.518115163,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0224,0.116,0.138,0.135,0.425,0.252,0.232,0.658,-0.268,-0.0509,0.0647,-0.0733,0.0842,0.316,-0.341
111,LPC O-18:1,508.376725 -> 184.07,0.162389363,0.009688923,0.153407189,0.138507288,0.403372768,0.01917063,0.240147356,0.720951937,0.456529642,0.516053985,0.120276281,0.593996817,0.466005828,0.953944604,0.067661049,0.7859368,0.885811254,0.652185203,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.173,0.351,0.177,0.185,0.101,-0.31,-0.144,-0.0429,-0.09,-0.139,0.212,0.0346,0.0459,-0.0983,-0.0554
112,LPC O-20:4,530.361025 -> 184.07,0.892639004,0.542427881,0.458757353,0.038447229,0.328394596,0.01384089,0.920978374,0.284096983,0.006848631,0.967921812,0.807499382,0.860170037,0.223241972,0.953944604,0.05244969,0.998456697,0.581107465,0.050316473,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0251,0.114,0.139,-0.416,0.185,-0.511,0.0184,0.203,-0.575,0.221,0.335,0.196,-0.195,-0.177,-0.38
113,LPC O-20:5,528.366555 -> 184.1,0.377689918,0.000520116,0.003181932,0.406909158,0.637172206,0.002975578,0.104751249,0.231427673,0.219843395,0.734023537,0.038610211,0.076366358,0.709396573,0.957126316,0.016737627,0.711517921,0.540015996,0.44462709,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.127,0.619,0.492,-0.119,-0.0671,-0.497,0.241,0.174,-0.179,-0.116,0.503,0.0106,-0.235,0.006,-0.168
114,LPC(14:0),468.345425 -> 184.1,0.480977799,0.171751055,0.047923669,0.147009232,0.13196165,0.053108461,0.044471975,0.555030557,0.520179204,0.775834311,0.448214095,0.313682198,0.478024217,0.931806613,0.156713493,0.626505494,0.797077177,0.706672861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.122,0.243,0.365,0.259,0.269,-0.355,-0.371,-0.102,0.111,-0.0426,0.2,-0.165,0.216,-0.155,-0.0534
115,LPC(20:1),550.387225 -> 184.1,0.109969059,0.137409823,0.898129052,0.193366578,0.394347392,0.90251059,0.743743602,0.245285358,0.243198327,0.514141054,0.405601323,0.989198075,0.531389069,0.953944604,0.950011147,0.995250349,0.551892055,0.468718636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.247,0.228,-0.0189,0.198,0.127,0.0181,0.0483,0.176,-0.176,-0.165,0.0631,0.082,0.0329,0.0812,-0.0944
116,LPE 18:0,482.324625 -> 341.304625,0.630303488,0.674501696,0.372503361,0.318663264,0.580729309,0.199311982,0.909027129,0.506456409,0.286752315,0.860861318,0.882984038,0.803608775,0.655535857,0.953944604,0.366083232,0.998456697,0.781586877,0.511043729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.082,0.0715,0.153,-0.172,0.0942,-0.224,0.0194,0.114,-0.184,0.1,0.172,0.0183,-0.0719,-0.0525,-0.166
117,LPE 18:1,480.309025 -> 339.289025,0.686966442,0.632530652,0.939441456,0.896520267,0.786806351,0.775838691,0.528247359,0.716220882,0.997419124,0.872664581,0.866777309,0.989198075,0.948681088,0.981017338,0.87015312,0.924067762,0.883012047,0.997419124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0782,-0.093,-0.0147,-0.0252,0.0524,-0.0552,-0.123,-0.0705,0.000626,0.0704,-0.0226,-0.00788,0.0452,-0.0778,-0.00726
118,LPE 20:1,508.340325 -> 367.320325,0.564654852,0.609835437,0.946842105,0.81602016,0.265618295,0.495314881,0.341208058,0.04967444,0.152467101,0.836525706,0.850933169,0.989198075,0.929952993,0.953944604,0.686387347,0.851781189,0.255468548,0.349727954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0731,0.0647,-0.00842,0.0294,0.144,0.0868,0.122,0.266,-0.187,-0.0341,0.0306,0.039,-0.00468,0.117,-0.148
119,LPE(O-20:4),488.314125 -> 347.24,0.666851911,0.180444902,0.348932735,0.539390358,0.889431531,0.034960992,0.774937117,0.882964607,0.2458812,0.864948034,0.45473215,0.803506192,0.805544666,0.986640738,0.111380152,0.998456697,0.946779671,0.47083634,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0958,0.307,0.211,-0.137,0.0308,-0.507,-0.0635,-0.0327,-0.264,0.0171,0.324,0.113,-0.12,-0.183,-0.151
120,LPI O-20:0,632.41387 -> 355.357598,0.820056249,0.597996766,0.762853014,0.952122675,0.349711314,0.166203792,0.404926439,0.915074402,0.227931695,0.943396591,0.844230728,0.970438284,0.972648825,0.953944604,0.325181332,0.878285363,0.957636002,0.453344808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0501,0.117,0.0666,-0.0132,0.209,-0.316,-0.186,0.0235,-0.273,0.0446,0.161,0.0948,0.0314,-0.154,-0.178
121,PC 14:0,482.361025 -> 184.07,0.943875212,0.042878289,0.049078543,0.212792741,0.802878632,0.467724912,0.866589804,0.6769101,0.344332818,0.979634527,0.244250672,0.31550492,0.559163407,0.981017338,0.655178866,0.998456697,0.854627767,0.575706383,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0127,0.393,0.38,0.231,0.045,-0.132,0.0302,0.0752,0.173,-0.18,0.212,-0.168,0.0502,0.0804,0.0052
122,PC 18:0,538.423625 -> 184.07,0.935338816,0.788295094,0.851179307,0.417825255,0.245691866,0.420237092,0.185548062,0.020578757,0.06940153,0.979634527,0.953209199,0.980809545,0.712877212,0.953944604,0.605141412,0.783852927,0.189957759,0.234627052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0132,-0.0437,-0.0305,-0.133,0.193,0.132,0.222,0.415,-0.313,0.0712,0.0276,0.0581,-0.0619,0.16,-0.255
123,PC 22:0,594.413525 -> 184.07,0.779209559,0.232605281,0.147235186,0.603284832,0.643401579,0.77621155,0.158358758,0.069540272,0.48391916,0.928859077,0.521782416,0.593996817,0.854555773,0.957126316,0.87015312,0.783852927,0.312931223,0.683103708,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0349,0.152,0.187,-0.0649,0.0578,-0.0354,0.182,0.24,-0.0878,-0.00777,0.145,-0.0427,-0.0727,0.109,-0.131
124,PC 24:0,622.444825 -> 184.07,0.614941226,0.039395757,0.101186688,0.358591563,0.134593552,0.799642051,0.307343612,0.018903542,0.268435551,0.849817274,0.244250672,0.485696103,0.688546783,0.931806613,0.878356907,0.819582967,0.188078626,0.498127826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0823,0.363,0.28,0.152,0.254,-0.0414,0.169,0.423,-0.184,-0.136,0.227,-0.0537,0.0158,0.185,-0.238
125,PC 26:0,650.476125 -> 184.07,0.40702436,0.305373408,0.837631925,0.090893362,0.113622009,0.272213622,0.700374031,0.056131219,0.479056761,0.740044291,0.600734573,0.980809545,0.392731454,0.931806613,0.455319615,0.983273573,0.27681149,0.678978086,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.308,0.384,0.0753,0.654,0.608,0.412,0.142,0.75,-0.262,-0.365,0.019,-0.0563,0.289,0.431,-0.319
126,PC 26:1,648.460425 -> 184.07,0.444308779,0.002987178,0.014501344,0.237251731,0.45868116,0.074038805,0.691652277,0.262502167,0.757436123,0.758062372,0.070912168,0.153543646,0.593129327,0.953944604,0.196960569,0.983273573,0.566576636,0.876774934,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0701,0.318,0.248,0.11,0.0679,-0.172,0.0361,0.104,-0.0281,-0.114,0.203,-0.0442,-0.00437,0.0317,-0.0723
127,PC 28:0,678.543725 -> 184.07,0.82604584,0.041726404,0.027144162,0.004414158,0.032414297,5.94E-05,0.990455403,0.033182557,0.448357338,0.943396591,0.244250672,0.227253452,0.066212373,0.807615346,0.001018986,0.998456697,0.219424644,0.647207399,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.032,-0.319,-0.351,0.482,0.338,0.8,-0.00174,0.337,0.111,-0.136,-0.456,-0.104,0.345,0.344,0.00712
128,PC 28:1,676.528125 -> 184.07,0.962372126,0.852736132,0.889832384,0.679917659,0.55871134,0.302804415,0.416495791,0.815287256,0.347227324,0.989506328,0.963622707,0.989198075,0.893239092,0.953944604,0.486649953,0.88720997,0.917263566,0.57604533,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0085,0.0335,0.025,0.0746,-0.106,0.189,0.148,0.0421,0.172,-0.0866,-0.0532,-0.0781,-0.0121,0.136,0.0939
129,PC 28:2,674.476125 -> 184.07,0.190155858,0.860235248,0.141822223,0.028770269,0.274073275,0.147757751,0.298580564,0.954032898,0.934835126,0.540504953,0.963622707,0.593996817,0.191801795,0.953944604,0.2988359,0.819582967,0.984102703,0.96707082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.122,0.0159,0.138,-0.216,-0.101,-0.136,0.0959,-0.00521,0.0074,0.0928,0.109,-0.0294,-0.123,-0.0272,-0.022
130,PC 28:6,666.47104 -> 184.1,0.14449467,0.392307424,0.518969937,0.701874804,0.292405175,0.349974257,0.041451811,0.270632596,0.414248926,0.516053985,0.693786148,0.885934186,0.900342513,0.953944604,0.540732757,0.621777162,0.57367604,0.620830599,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.186,0.106,-0.0797,-0.0471,-0.132,0.116,0.27,0.138,-0.101,-0.0921,0.0142,0.0939,-0.139,0.131,-0.00745
131,PC 30:0,706.575025 -> 184.07,0.001020146,0.039940867,0.086007636,0.188900451,0.336392855,1.64E-05,0.017378281,0.002362305,0.00047867,0.087866461,0.244250672,0.447092099,0.530563505,0.953944604,0.000707939,0.497266208,0.064173919,0.013255475,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.652,-0.359,0.293,0.219,0.158,1.01,0.427,0.586,0.714,0.0141,-0.345,-0.638,0.233,0.661,0.0752
132,PC 30:1,704.559425 -> 184.07,0.638705426,0.066068579,0.15289418,0.227554293,0.754780369,0.090878006,0.172040021,0.28154847,0.176408636,0.864413358,0.312956428,0.593996817,0.585139609,0.981017338,0.22105461,0.783852927,0.579185424,0.383610527,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0722,-0.299,-0.227,0.19,0.0479,0.273,-0.216,-0.168,0.214,0.0111,-0.288,-0.0611,0.201,-0.0155,0.153
133,PC 30:2,702.543725 -> 184.07,0.170546719,0.552843282,0.417472614,0.098918424,0.6311058,0.069067137,0.689804215,0.384022867,0.002286038,0.524759135,0.812341149,0.840296399,0.404701275,0.957126316,0.18836492,0.983273573,0.691803058,0.029391913,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.19,-0.0799,0.11,0.232,-0.0645,0.258,-0.0536,-0.118,0.486,-0.0729,-0.153,-0.263,0.159,0.106,0.224
134,PC 30:3,700.491725 -> 184.07,0.448091275,0.185786189,0.551625469,0.691253176,0.668308095,0.985199401,0.35029682,0.605577756,0.950807628,0.760909712,0.461262261,0.908168736,0.893239092,0.962656101,0.988763276,0.851781189,0.810030553,0.972416892,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0944,0.168,0.0738,0.0491,-0.053,-0.00229,0.117,0.0639,0.0076,-0.0966,0.0716,-0.00219,-0.0475,0.0693,0.00541
135,PC 32:0,734.606325 -> 184.07,0.001603052,0.016131718,0.268780662,0.166169688,0.606035177,3.87E-05,0.120690794,0.04658889,0.000258097,0.096183141,0.170156584,0.763400455,0.500874561,0.953944604,0.000929477,0.773352052,0.254121216,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.626,-0.44,0.186,0.236,0.0853,0.943,0.267,0.352,0.777,0.0297,-0.411,-0.597,0.265,0.532,0.18
136,PC 32:1,732.590725 -> 184.07,0.306074684,0.107216052,0.521716798,0.153861195,0.616390227,0.00683154,0.945432845,0.569775962,0.00794429,0.697385357,0.389821314,0.885934186,0.481652437,0.953944604,0.029863293,0.998456697,0.801754668,0.05719889,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.207,-0.334,-0.128,0.293,-0.0997,0.614,-0.0136,-0.113,0.599,-0.0707,-0.405,-0.277,0.222,0.209,0.322
137,PC 32:2,730.575025 -> 184.07,0.179580037,0.764566545,0.287106743,0.907394285,0.096969225,0.324154511,0.246614026,0.009622654,0.008121472,0.531486964,0.93303036,0.764952876,0.948681088,0.931806613,0.511822912,0.791545254,0.134961527,0.057328035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.24,-0.0519,0.188,-0.0201,-0.302,-0.174,-0.205,-0.507,0.521,0.0426,-0.00929,-0.197,0.0225,-0.183,0.324
138,PC 32:3,728.559425 -> 184.07,0.484896444,0.00230272,0.000554312,0.763421344,0.666960267,0.001324567,0.976031763,0.688747652,0.409523166,0.775834311,0.070912168,0.031487729,0.918502271,0.962656101,0.01014562,0.998456697,0.863934337,0.616854979,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0789,0.406,0.485,-0.0337,-0.0483,-0.437,0.00336,-0.045,0.0934,-0.0463,0.36,-0.125,-0.0801,-0.0767,-0.0317
139,PC 32:4,726.580125 -> 184.07,0.966196005,0.140631156,0.151121383,0.969814617,0.520311746,0.145760033,0.986597677,0.531036381,0.517435003,0.989506328,0.405601323,0.593996817,0.980711411,0.953944604,0.2988359,0.998456697,0.783496299,0.706672861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.00488,0.176,0.171,0.00436,0.0745,-0.174,-0.00193,0.0726,-0.0751,-0.0196,0.157,-0.0148,-0.0153,-0.0172,-0.0898
140,PC 32:5,724.491725 -> 184.07,0.237443648,0.646612984,0.11043087,0.367816976,0.113967304,0.973961999,0.674777309,0.229666945,0.638635198,0.608763474,0.866777309,0.509680939,0.693267598,0.931806613,0.982146553,0.983273573,0.540015996,0.798172461,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.144,0.0548,0.199,0.109,0.197,0.00389,-0.0501,0.147,0.0561,0.00168,0.0565,-0.143,0.11,0.0604,-0.0864
141,PC 32:6,722.56994 -> 184.1,0.200529325,0.356824776,0.70259095,0.242275089,0.618185649,0.13786839,0.212826111,0.090713603,0.53763286,0.556088424,0.66302463,0.970284575,0.594361347,0.953944604,0.288561746,0.783852927,0.340651968,0.714198634,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.745,0.529,-0.216,0.677,0.283,0.872,0.724,1.01,-0.351,-0.624,-0.0957,0.121,0.0528,0.777,-0.23
142,PC 34:0,762.637625 -> 184.07,0.217256956,0.046112552,0.387174228,0.008955436,0.728907963,2.78E-05,0.426336544,0.260201628,0.001361726,0.583675403,0.247768938,0.815103638,0.10074865,0.976005797,0.000833713,0.892332302,0.566576636,0.022282786,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.204,-0.346,-0.141,0.478,0.056,0.954,0.13,0.186,0.627,-0.16,-0.506,-0.364,0.319,0.448,0.263
143,PC 34:1,760.622025 -> 184.07,0.066848311,0.003151652,0.141590743,0.024816887,0.827620561,2.13E-05,0.897884604,0.729663811,0.000736903,0.416720608,0.070912168,0.593996817,0.178681587,0.981017338,0.000707939,0.998456697,0.886089998,0.016719391,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.386,-0.689,-0.303,0.488,0.0432,1.2,0.0254,0.0686,0.831,-0.0618,-0.751,-0.448,0.426,0.451,0.383
144,PC 34:2,758.606325 -> 184.07,0.91817557,0.282505089,0.241691526,0.608736293,0.047727846,0.112631521,0.960986422,0.052393301,0.021315391,0.979634527,0.577851318,0.737363977,0.854555773,0.819262707,0.250885797,0.998456697,0.261966504,0.121227553,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0162,-0.173,-0.189,0.081,-0.335,0.261,0.0077,-0.327,0.4,-0.0715,-0.244,-0.0553,0.00949,0.0172,0.344
145,PC 34:3,756.590725 -> 184.07,0.634208285,0.049813794,0.119548676,0.347580848,0.339253636,0.180660587,0.816110894,0.2401226,0.16217487,0.861565971,0.252576985,0.53796904,0.688546783,0.953944604,0.342304269,0.998456697,0.547114785,0.363662368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.079,0.348,0.269,0.158,-0.161,-0.229,-0.0385,-0.199,0.239,-0.17,0.178,-0.0914,-0.0126,-0.0511,0.148
146,PC 34:6,750.507425 -> 184.07,0.431660321,0.039786214,0.168204147,0.00080784,0.60277929,7.11E-05,0.341131031,0.657734271,0.000469228,0.754357843,0.244250672,0.624262815,0.03730155,0.953944604,0.001029821,0.851781189,0.839660771,0.013255475,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.112,-0.314,-0.202,0.586,0.0739,0.763,-0.137,-0.0628,0.625,-0.187,-0.501,-0.299,0.399,0.262,0.325
147,PC 36:1,788.653325 -> 184.07,0.418547909,0.656773824,0.710175192,0.004859003,0.346966196,0.000525968,0.519186018,0.124112624,0.006435276,0.745926966,0.86850899,0.970284575,0.069969644,0.953944604,0.005259684,0.924067762,0.406413464,0.050316473,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.168,-0.0915,0.0764,0.67,0.196,0.895,0.133,0.329,0.642,-0.281,-0.373,-0.449,0.389,0.522,0.193
148,PC 36:2,786.637625 -> 184.07,0.337550271,0.142432735,0.584362617,0.245102289,0.299774387,0.017812317,0.929790523,0.262828606,0.005301102,0.70145794,0.406950671,0.91393034,0.594361347,0.953944604,0.064124342,0.998456697,0.566576636,0.045438021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.172,-0.269,-0.0972,0.21,-0.187,0.464,-0.0156,-0.202,0.569,-0.0601,-0.33,-0.232,0.15,0.135,0.337
149,PC 36:3,784.622025 -> 184.07,0.589079705,0.002476698,0.007536547,0.817776295,0.180864375,0.00485894,0.921824194,0.153654478,0.106077599,0.844145548,0.070912168,0.115594618,0.929952993,0.953944604,0.024636881,0.998456697,0.459842841,0.292993889,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0929,-0.615,-0.522,-0.0394,-0.236,0.559,-0.0168,-0.253,0.29,0.101,-0.514,0.00819,0.0616,0.0448,0.298
150,PC 36:4,782.606325 -> 184.07,0.024167529,0.157445574,0.321312899,0.001716729,0.394660258,0.965345849,0.03656194,0.174918858,0.663638497,0.269810078,0.432674859,0.776326467,0.045934819,0.953944604,0.978942269,0.621777162,0.47705143,0.820996079,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.324,-0.192,0.132,-0.494,-0.113,-0.00569,0.297,0.184,-0.0572,0.265,0.0729,-0.0593,-0.229,0.0673,-0.116
