"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"46","DG 34:0 NL 20:0","614.57237 -> 285.24297",0.101628974709145,0.716283362622697,0.178675985679361,0.951,0.797,1,FALSE,FALSE,FALSE,FALSE,1.6,-0.325,1.27,0.641,0.316,-0.957
"47","DG 34:1 NL 16:0","612.55667 -> 339.289891",0.0781702217316083,0.387330747072015,0.0191152938397793,0.94,0.704,1,FALSE,FALSE,FALSE,FALSE,-0.265,-0.12,-0.385,-0.0484,-0.168,0.217
"48","DG 34:1 NL 16:1","612.55667 -> 341.305541",0.56615085996922,0.383081551856799,0.753655607703529,0.985,0.702,1,FALSE,FALSE,FALSE,FALSE,0.19,-0.293,-0.103,0.161,-0.132,-0.0289
"49","DG 34:1 NL 18:1","612.55667 -> 313.25667",0.00544888459139589,0.536681100713304,0.00226444793806132,0.433,0.757,1,FALSE,FALSE,FALSE,FALSE,-0.39,-0.0664,-0.457,-0.108,-0.174,0.282
"50","DG 34:1 NL 20:0","612.55667 -> 283.22727",0.1010861790079,0.817183883275889,0.145026204116548,0.951,0.814,1,FALSE,FALSE,FALSE,FALSE,2.91,-0.375,2.54,1.1,0.721,-1.82
"51","DG 34:2 NL 16:1","610.54107 -> 339.289941",0.429343985602287,0.50714907634307,0.89348319350307,0.983,0.748,1,FALSE,FALSE,FALSE,FALSE,0.315,-0.263,0.0523,0.192,-0.0701,-0.122
"52","DG 34:2 NL 20:0","610.54107 -> 281.21167",0.110471705758245,0.825152703588749,0.155680155591418,0.954,0.815,1,FALSE,FALSE,FALSE,FALSE,3.63,-0.461,3.17,1.36,0.903,-2.27
"53","DG 34:5 NL 20:4","604.49407 -> 283.22727",0.496035195651746,0.986258451024928,0.485701363727649,0.984,0.836,1,FALSE,FALSE,FALSE,FALSE,0.158,0.00392,0.161,0.0512,0.0551,-0.106
"54","DG 36:0 NL 16:0","642.60367 -> 369.336891",0.681184846616204,0.751044066028387,0.924457986894719,0.987,0.803,1,FALSE,FALSE,FALSE,FALSE,0.0407,-0.0314,0.00935,0.024,-0.00734,-0.0167
"55","DG 36:0 NL 18:0","642.50977 -> 341.20977",0.831358959004074,0.182372133510667,0.131609145288042,0.989,0.552,1,FALSE,FALSE,FALSE,FALSE,-0.12,-0.8,-0.92,0.227,-0.573,0.347
"56","DG 36:5 NL 16:0","632.52537 -> 359.258591",0.157703123588562,0.02903586316046,0.302178493705857,0.965,0.194,1,FALSE,FALSE,FALSE,FALSE,0.485,-0.827,-0.343,0.437,-0.39,-0.0473
"57","DG 36:5 NL 20:4","632.52537 -> 311.25857",0.542059610993991,0.876459087459526,0.448385266134539,0.985,0.822,1,FALSE,FALSE,FALSE,FALSE,0.109,0.0274,0.136,0.0271,0.0545,-0.0817
"58","DG 36:6 NL 16:0","630.50977 -> 357.242991",0.507423752786807,0.0382938624040113,0.111645715722657,0.984,0.221,1,FALSE,FALSE,FALSE,FALSE,0.416,-1.49,-1.07,0.635,-0.854,0.219
