Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
DG 34:5 NL 20:4,604.49407 -> 283.22727,RDH12_200_vs_RDH12_Veh,0.174,0.410992382,0.673982208
DG 36:0 NL 16:0,642.60367 -> 369.336891,RDH12_100_vs_RDH12_Veh,0.0547,0.618122386,0.834931143
DG 36:0 NL 16:0,642.60367 -> 369.336891,RDH12_200_vs_RDH12_100,-0.0422,0.699902646,0.850701003
DG 36:0 NL 16:0,642.60367 -> 369.336891,RDH12_200_vs_RDH12_Veh,0.0125,0.908394676,0.954780787
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_100_vs_RDH12_Veh,-0.103,0.848496682,0.898721274
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_200_vs_RDH12_100,-0.813,0.15746862,0.437019653
DG 36:0 NL 18:0,642.50977 -> 341.20977,RDH12_200_vs_RDH12_Veh,-0.917,0.11643783,0.403684265
DG 36:1 NL 16:1,640.53047 -> 369.279341,RDH12_100_vs_RDH12_Veh,0.162,0.091819892,0.482615795
DG 36:1 NL 16:1,640.53047 -> 369.279341,RDH12_200_vs_RDH12_100,-0.183,0.061666961,0.276940716
DG 36:1 NL 16:1,640.53047 -> 369.279341,RDH12_200_vs_RDH12_Veh,-0.0214,0.808143273,0.879345324
DG 36:1 NL 18:0,640.53047 -> 339.23047,RDH12_100_vs_RDH12_Veh,-0.0484,0.755499813,0.888611685
DG 36:1 NL 18:0,640.53047 -> 339.23047,RDH12_200_vs_RDH12_100,-0.00189,0.990241639,0.998054198
DG 36:1 NL 18:0,640.53047 -> 339.23047,RDH12_200_vs_RDH12_Veh,-0.0503,0.746305898,0.853414615
DG 36:2 NL 18:1,638.51487 -> 339.21487,RDH12_100_vs_RDH12_Veh,-0.0481,0.618496447,0.834931143
DG 36:2 NL 18:1,638.51487 -> 339.21487,RDH12_200_vs_RDH12_100,-0.155,0.131541739,0.392611556
DG 36:2 NL 18:1,638.51487 -> 339.21487,RDH12_200_vs_RDH12_Veh,-0.203,0.058265203,0.3889596
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_100_vs_RDH12_Veh,0.483,0.158148392,0.560940863
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_200_vs_RDH12_100,-0.836,0.026396151,0.179872799
DG 36:5 NL 16:0,632.52537 -> 359.258591,RDH12_200_vs_RDH12_Veh,-0.353,0.289024874,0.571487797
