"","name","ID","lipid_class1","lipid_class","contrast","p.val","p.adj","ratio"
"164","DG 36:0 NL 18:0","642.50977 -> 341.20977","DG","DG","RDH12_200_vs_RDH12_100",0.182372133510667,0.552,-0.8
"165","DG 36:0 NL 18:0","642.50977 -> 341.20977","DG","DG","RDH12_200_vs_RDH12_Veh",0.131609145288042,1,-0.92
"166","DG 36:5 NL 16:0","632.52537 -> 359.258591","DG","DG","RDH12_100_vs_RDH12_Veh",0.157703123588562,0.965,0.485
"167","DG 36:5 NL 16:0","632.52537 -> 359.258591","DG","DG","RDH12_200_vs_RDH12_100",0.02903586316046,0.194,-0.827
"168","DG 36:5 NL 16:0","632.52537 -> 359.258591","DG","DG","RDH12_200_vs_RDH12_Veh",0.302178493705857,1,-0.343
"169","DG 36:5 NL 20:4","632.52537 -> 311.25857","DG","DG","RDH12_100_vs_RDH12_Veh",0.542059610993991,0.985,0.109
"170","DG 36:5 NL 20:4","632.52537 -> 311.25857","DG","DG","RDH12_200_vs_RDH12_100",0.876459087459526,0.822,0.0274
"171","DG 36:5 NL 20:4","632.52537 -> 311.25857","DG","DG","RDH12_200_vs_RDH12_Veh",0.448385266134539,1,0.136
"172","DG 36:6 NL 16:0","630.50977 -> 357.242991","DG","DG","RDH12_100_vs_RDH12_Veh",0.507423752786807,0.984,0.416
"173","DG 36:6 NL 16:0","630.50977 -> 357.242991","DG","DG","RDH12_200_vs_RDH12_100",0.0382938624040113,0.221,-1.49
"174","DG 36:6 NL 16:0","630.50977 -> 357.242991","DG","DG","RDH12_200_vs_RDH12_Veh",0.111645715722657,1,-1.07
"175","DG 36:6 NL 16:1","630.50977 -> 359.258641","DG","DG","RDH12_100_vs_RDH12_Veh",0.104920714896962,0.952,0.284
"176","DG 36:6 NL 16:1","630.50977 -> 359.258641","DG","DG","RDH12_200_vs_RDH12_100",0.281289453332499,0.644,-0.179
"177","DG 36:6 NL 16:1","630.50977 -> 359.258641","DG","DG","RDH12_200_vs_RDH12_Veh",0.518547546940112,1,0.105
"178","DG 36:7 NL 16:0","628.49407 -> 355.227291","DG","DG","RDH12_100_vs_RDH12_Veh",0.533717434372129,0.985,0.417
"179","DG 36:7 NL 16:0","628.49407 -> 355.227291","DG","DG","RDH12_200_vs_RDH12_100",0.0373378457238144,0.219,-1.6
"180","DG 36:7 NL 16:0","628.49407 -> 355.227291","DG","DG","RDH12_200_vs_RDH12_Veh",0.101909398334286,1,-1.19
"181","DG 36:7 NL 16:1","628.49407 -> 357.242941","DG","DG","RDH12_100_vs_RDH12_Veh",0.55149914542964,0.985,0.203
"182","DG 36:7 NL 16:1","628.49407 -> 357.242941","DG","DG","RDH12_200_vs_RDH12_100",0.243476401236612,0.615,-0.412
"183","DG 36:7 NL 16:1","628.49407 -> 357.242941","DG","DG","RDH12_200_vs_RDH12_Veh",0.541032913963065,1,-0.209
"184","DG 36:7 NL 22:5","628.49407 -> 281.21167","DG","DG","RDH12_100_vs_RDH12_Veh",0.41331275836717,0.982,0.326
"185","DG 36:7 NL 22:5","628.49407 -> 281.21167","DG","DG","RDH12_200_vs_RDH12_100",0.0476309383387031,0.241,-0.885
"186","DG 36:7 NL 22:5","628.49407 -> 281.21167","DG","DG","RDH12_200_vs_RDH12_Veh",0.177470221958067,1,-0.559
"187","DG 38:0 NL 20:0","670.59857 -> 341.269191","DG","DG","RDH12_100_vs_RDH12_Veh",0.357817217155004,0.98,0.302
"188","DG 38:0 NL 20:0","670.59857 -> 341.269191","DG","DG","RDH12_200_vs_RDH12_100",0.237511900300623,0.61,0.395
"189","DG 38:0 NL 20:0","670.59857 -> 341.269191","DG","DG","RDH12_200_vs_RDH12_Veh",0.0547364352144297,1,0.698
"190","DG 40:5 NL 20:0","688.58797 -> 359.25857","DG","DG","RDH12_100_vs_RDH12_Veh",0.0845271904752304,0.943,1.52
"191","DG 40:5 NL 20:0","688.58797 -> 359.25857","DG","DG","RDH12_200_vs_RDH12_100",0.855950983036459,0.82,-0.144
"192","DG 40:5 NL 20:0","688.58797 -> 359.25857","DG","DG","RDH12_200_vs_RDH12_Veh",0.112580746236563,1,1.37
"193","DG 40:5 NL 22:5","688.58797 -> 341.30557","DG","DG","RDH12_100_vs_RDH12_Veh",0.164273836888732,0.966,0.409
"194","DG 40:5 NL 22:5","688.58797 -> 341.30557","DG","DG","RDH12_200_vs_RDH12_100",0.778890573275464,0.808,-0.0775
"195","DG 40:5 NL 22:5","688.58797 -> 341.30557","DG","DG","RDH12_200_vs_RDH12_Veh",0.24953066434884,1,0.331
"196","DG 40:6 NL 20:0","686.57237 -> 357.24297","DG","DG","RDH12_100_vs_RDH12_Veh",0.115209278539956,0.956,2.73
"197","DG 40:6 NL 20:0","686.57237 -> 357.24297","DG","DG","RDH12_200_vs_RDH12_100",0.897913590512806,0.825,-0.204
"198","DG 40:6 NL 20:0","686.57237 -> 357.24297","DG","DG","RDH12_200_vs_RDH12_Veh",0.140645042296142,1,2.53
