"Lipid annotation","MRM transition","Precursor m/z","Product m/z","Lipid class","RDH12_Veh_rep1","RDH12_Veh_rep2","RDH12_Veh_rep3","RDH12_100_rep1","RDH12_100_rep2","RDH12_100_rep3","RDH12_200_rep1","RDH12_200_rep2","RDH12_200_rep3"
"[TG48:7","810.75507 -> 537.488291","810","537","TG","2773.520191","3122.220249","3288.48024","2076.540154","0","2609.160191","2760.600204","2712.580189","2266.920143"
"TG48:1] NL 16:0","822.75507 -> 549.488291","822","549","TG","2215.720169","2130.540142","2666.620186","2003.620136","0","2204.16016","2676.560192","2004.360142","2087.70015"
"[TG50:9","834.75507 -> 563.503941","834","563","TG","1825.020123","1838.540127","1822.860142","1743.36013","1946.62014","2135.800167","2293.800152","1868.540131","1776.900116"
"[TG50:8","836.77067 -> 563.503891","836","563","TG","2420.720181","1891.040134","2249.360161","1808.640125","0","1860.900139","2057.240158","2107.020164","1619.000107"
"TG50:1] NL 18:1","850.78637 -> 551.503941","850","551","TG","2488.160187","2357.800179","2442.320187","2138.140156","2266.200142","2295.620171","2352.440163","2293.020161","2411.120159"
"TG50:1] NL 16:0","850.78637 -> 577.519591","850","577","TG","3246.960213","2988.040195","3570.260239","2505.800186","0","2900.180214","2607.940159","2339.120155","2777.080212"
"TG50:0] NL 16:0","852.80197 -> 579.535191","852","579","TG","2416.980175","2427.360168","2215.560154","2646.740177","0","2292.040157","2588.02018","2140.520153","2075.820145"
"TG52:3] NL 18:1","874.78637 -> 575.503941","874","575","TG","1976.840137","1908.660126","1818.180126","1786.980125","2096.080151","1945.720142","2527.980167","2212.780163","2108.400146"
"TG52:2] NL 18:1","876.80197 -> 577.519541","876","577","TG","2868.100235","2684.580177","2753.280178","2777.360199","2656.340195","3416.860218","3154.120239","2731.500191","2798.940197"
"TG52:2] NL 16:0","876.80197 -> 603.535191","876","603","TG","2405.760151","2134.360157","2151.840157","2161.160175","0","2282.180161","2566.620197","2057.04015","2055.34013"
"TG54:3] NL 18:1","902.81767 -> 603.535241","902","603","TG","3152.540192","2731.540207","3170.540226","3095.82021","2993.100204","2906.520191","3177.34024","3002.640209","3603.260292"
