"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"CDK16",NA,0.0832,0.999934611520757,"0.08","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK19",NA,-0.0211,0.999934611520757,"-0.02","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK2",NA,-0.164,0.999934611520757,"-0.16","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK2AP1",NA,0.419,0.999934611520757,"0.42","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK4",NA,-0.0406,0.999934611520757,"-0.04","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK5",NA,-0.054,0.999934611520757,"-0.05","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK5RAP1",NA,-0.471,0.640633255080212,"-0.47","0.641",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK5RAP2",NA,0.364,0.856962178658258,"0.36","0.857",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK5RAP3",NA,-0.174,0.999934611520757,"-0.17","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK6",NA,0.142,0.999934611520757,"0.14","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK7",NA,-0.125,0.999934611520757,"-0.12","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDK9",NA,-0.192,0.999934611520757,"-0.19","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDKAL1",NA,-0.165,0.999934611520757,"-0.16","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDKL5",NA,0.499,0.999934611520757,"0.50","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDKN1A",NA,0.464,0.884264382468088,"0.46","0.884",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CDKN1B",NA,0.337,0.999934611520757,"0.34","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
