"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ATG2A",NA,-0.152,0.643377072491556,"-0.15","0.643",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG2B",NA,-0.323,0.476502612077137,"-0.32","0.477",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG3",NA,-0.824,0.00269748622603487,"-0.82","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATG4A",NA,-0.232,0.790509663482659,"-0.23","0.791",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG4B",NA,-0.473,0.218868123735502,"-0.47","0.219",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG4C",NA,-0.495,0.13529041023667,"-0.49","0.135",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG5",NA,-0.35,0.146742835671272,"-0.35","0.147",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATG7",NA,-0.59,0.00589767727050187,"-0.59","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATG9A",NA,0.485,0.543598029434242,"0.48","0.544",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATIC",NA,-0.482,0.0540757517489031,"-0.48","0.054",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATL1",NA,-1.33,0.640906415895918,"-1.33","0.641",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ATL2",NA,0.438,0.155297308057148,"0.44","0.155",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATL3",NA,0.554,0.0395731995305777,"0.55","0.040",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATN1",NA,-2.07,0.00827343619164638,"-2.07","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ATOX1",NA,-2.62,0.00130831204363829,"-2.62","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ATP11C",NA,0.268,0.748524526745317,"0.27","0.749",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP13A1",NA,1.02,0.365378009005897,"1.02","0.365",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ATP1A1","Lipid synthesis",0.516,0.200300036311066,"0.52","0.200",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP1A3",NA,1.25,0.442259899983919,"1.25","0.442",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ATP1B1",NA,0.544,0.0481826418052517,"0.54","0.048",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATP1B3",NA,-0.203,0.474530489543368,"-0.20","0.475",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP23",NA,-0.0301,0.96620440503333,"-0.03","0.966",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP2A2",NA,0.89,0.0165174662598188,"0.89","0.017",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATP2B1",NA,0.677,0.0644272258526149,"0.68","0.064",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP2B4",NA,0.848,0.314070705549695,"0.85","0.314",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP2C1",NA,0.713,0.159148332737611,"0.71","0.159",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP5F1A","Lipid synthesis",1.28,0.00139478679677043,"1.28","<0.01",TRUE,TRUE,TRUE,FALSE,"Lipid synthesis",NA
"ATP5F1B",NA,0.895,0.00180468131249283,"0.90","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATP5F1C",NA,1.35,0.0014484696224453,"1.35","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ATP5F1D",NA,0.296,0.481313990374733,"0.30","0.481",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP5IF1",NA,-1.12,0.0909380616297595,"-1.12","0.091",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ATP5ME",NA,-0.317,0.295440564306997,"-0.32","0.295",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP5MF",NA,1.13,0.00244208202095583,"1.13","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ATP5MG",NA,0.442,0.130074731973737,"0.44","0.130",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP5MJ",NA,-0.721,0.0135299275473532,"-0.72","0.014",TRUE,FALSE,FALSE,FALSE,"NS",NA
