"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"BLOC1S5",NA,-1.43,0.0075514399866349,"-1.43","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BLOC1S6",NA,-2,0.000892233993721215,"-2.00","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BLTP3A",NA,-0.209,0.240783583886865,"-0.21","0.241",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLTP3B",NA,-0.106,0.809490143808367,"-0.11","0.809",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLVRA","Lipid synthesis",0.000302,0.999330667827227,"0.00","0.999",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLVRB",NA,-0.866,0.000626516556072701,"-0.87","<0.001",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BLZF1",NA,-0.49,0.19027604957905,"-0.49","0.190",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BMI1",NA,0.119,0.683090511491031,"0.12","0.683",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BMP10",NA,-0.368,0.711953567541877,"-0.37","0.712",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BMP2K",NA,-1.25,0.111789662693344,"-1.25","0.112",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BMPER",NA,-0.706,0.205885471249735,"-0.71","0.206",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BMPR1A",NA,4.57,0.000708602300855154,"4.57","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BMS1",NA,0.52,0.0207614414367618,"0.52","0.021",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BNIP1",NA,0.09,0.70885436511876,"0.09","0.709",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BNIP2",NA,0.738,0.0976351271915869,"0.74","0.098",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BNIP3L",NA,-0.34,0.553293178649463,"-0.34","0.553",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BOD1L1",NA,-1.23,0.003187364653038,"-1.23","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BOLA1",NA,-0.568,0.0682968776531906,"-0.57","0.068",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BOLA2B",NA,-1.35,3.95040908917948e-05,"-1.35","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BOLA3",NA,-0.695,0.0749643534948636,"-0.69","0.075",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BOP1",NA,0.278,0.328025380997242,"0.28","0.328",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BORCS5",NA,-0.971,0.00388435831017234,"-0.97","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BORCS7",NA,-1.06,0.00764279723317329,"-1.06","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BPHL",NA,1.24,0.000155781877907116,"1.24","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BPNT1",NA,0.232,0.45505949434276,"0.23","0.455",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPTF",NA,0.323,0.163954233784124,"0.32","0.164",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRAF",NA,-0.655,0.0118435522015658,"-0.66","0.012",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRAP",NA,-0.67,0.00334874897390763,"-0.67","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRAT1",NA,0.304,0.509344316686163,"0.30","0.509",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRCA1",NA,-0.204,0.341844856422726,"-0.20","0.342",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRCA2",NA,0.381,0.465661378577396,"0.38","0.466",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRCC3",NA,-0.141,0.5233746162235,"-0.14","0.523",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD1",NA,0.226,0.540513162588924,"0.23","0.541",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD2",NA,-0.372,0.420303791479674,"-0.37","0.420",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD3",NA,-0.211,0.694141509835315,"-0.21","0.694",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD4",NA,-0.378,0.373149645602981,"-0.38","0.373",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD7",NA,-0.379,0.224077314701033,"-0.38","0.224",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD8",NA,-0.445,0.198805174084901,"-0.44","0.199",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRD9",NA,0.254,0.420524062561671,"0.25","0.421",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRF1",NA,0.233,0.35431084961228,"0.23","0.354",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRIP1",NA,1.36,0.0432275282138455,"1.36","0.043",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRIX1",NA,0.508,0.187284695955667,"0.51","0.187",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRK1",NA,-1.6,0.00687714489342914,"-1.60","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRME1",NA,-4.6,0.0331920548126214,"-4.60","0.033",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRMS1",NA,-0.973,0.00287703384871153,"-0.97","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRMS1L",NA,-0.354,0.242925911126617,"-0.35","0.243",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BROX",NA,0.0611,0.846956067894952,"0.06","0.847",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRPF1",NA,0.0617,0.865924529915269,"0.06","0.866",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRPF3",NA,0.364,0.192350237656013,"0.36","0.192",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BRSK2",NA,-1.29,0.000502540946782478,"-1.29","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRWD1",NA,3.8,0.000878891215872219,"3.80","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BSCL2",NA,0.602,0.0219205575383797,"0.60","0.022",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BSDC1",NA,-0.729,0.0437600881636092,"-0.73","0.044",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BSG",NA,-0.917,0.0842208842538758,"-0.92","0.084",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BSN",NA,-1.08,0.0355533057238384,"-1.08","0.036",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BTAF1",NA,0.418,0.0690049492309839,"0.42","0.069",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BTBD1",NA,0.00823,0.9956745684812,"0.01","0.996",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BTBD2",NA,1.87,8.55009528825579e-05,"1.87","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BTBD8",NA,-1.22,0.00338495337444116,"-1.22","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BTD",NA,0.286,0.114298520472686,"0.29","0.114",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BTF3",NA,-2.05,0.00140661614949439,"-2.05","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BTF3L4",NA,-2.37,0.000566212149868182,"-2.37","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BTN2A1",NA,0.313,0.0978035219061203,"0.31","0.098",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BTRC",NA,-0.201,0.403546287944381,"-0.20","0.404",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BUB1",NA,0.202,0.559017666314944,"0.20","0.559",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BUB1B",NA,0.397,0.0623475119931013,"0.40","0.062",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BUB3",NA,-0.979,0.0263516169739554,"-0.98","0.026",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BUD13",NA,-0.764,0.0475464553408254,"-0.76","0.048",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BUD23",NA,0.122,0.74644733459533,"0.12","0.746",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BUD31",NA,-1.14,0.0109683573936412,"-1.14","0.011",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BYSL",NA,0.486,0.0136986831051402,"0.49","0.014",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BZW1",NA,0.232,0.416426388960767,"0.23","0.416",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BZW2",NA,-0.552,0.00131338763556625,"-0.55","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"C11orf54",NA,-1.85,0.00240245003351717,"-1.85","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C11orf68",NA,-0.732,0.00259357892940041,"-0.73","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"C11orf96",NA,-0.326,0.383185349668257,"-0.33","0.383",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C11orf98",NA,-0.496,0.42579803368823,"-0.50","0.426",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C14orf93",NA,3.76,0.17851047960602,"3.76","0.179",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C15orf39",NA,-0.925,0.0643467387515108,"-0.92","0.064",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C15orf40",NA,-1.62,0.0136200140179919,"-1.62","0.014",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C16orf87",NA,-1.41,0.0147802214253238,"-1.41","0.015",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C17orf75",NA,-0.175,0.376414301673803,"-0.17","0.376",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C18orf21",NA,-0.415,0.188214230838418,"-0.41","0.188",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C19orf12",NA,0.0643,0.815635628363106,"0.06","0.816",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C19orf25",NA,-0.889,0.234621114564061,"-0.89","0.235",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C19orf47",NA,-0.0482,0.862082279244906,"-0.05","0.862",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C19orf53",NA,-0.876,0.139173365818683,"-0.88","0.139",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C1D",NA,-0.845,0.0787734366424255,"-0.84","0.079",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C1GALT1",NA,0.63,0.0276155440323326,"0.63","0.028",TRUE,FALSE,FALSE,FALSE,"NS",NA
"C1GALT1C1",NA,3.09,0.0319403918553035,"3.09","0.032",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf122",NA,-2.27,0.000544360629957445,"-2.27","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf131",NA,-0.327,0.415180701841213,"-0.33","0.415",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C1orf174",NA,-0.6,0.181570648189109,"-0.60","0.182",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C1orf226",NA,-0.499,0.271772206840927,"-0.50","0.272",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C1orf43",NA,-1.01,0.000903252489233191,"-1.01","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf50",NA,-1.2,0.0202797539370142,"-1.20","0.020",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf52",NA,-2.28,0.0010996835051953,"-2.28","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf53",NA,-0.87,0.663623180022687,"-0.87","0.664",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C1QBP",NA,-0.166,0.720243570199471,"-0.17","0.720",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C22orf39",NA,3.25,0.461879214403725,"3.25","0.462",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C2CD5",NA,0.151,0.466514932927976,"0.15","0.467",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C2orf49",NA,-1.15,0.000890423111957459,"-1.15","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C2orf68",NA,-1.24,0.0102895654357772,"-1.24","0.010",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C2orf69",NA,-0.164,0.321501945004549,"-0.16","0.322",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C2orf76",NA,-0.353,0.255530943237824,"-0.35","0.256",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C3orf38",NA,-0.221,0.360473391818967,"-0.22","0.360",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C5orf22",NA,-0.748,0.0315883035856021,"-0.75","0.032",TRUE,FALSE,FALSE,FALSE,"NS",NA
