"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ELOVL1",NA,0.373,0.915833520529785,"0.37","0.916",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ELOVL5",NA,2.03,0.142083290730198,"2.03","0.142",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ENDOD1",NA,0.451,0.294640929889408,"0.45","0.295",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ENKD1",NA,-3.33,3.89348720102952e-06,"-3.33","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ENTPD6",NA,4.7,5.35117811695178e-06,"4.70","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ENTR1",NA,-5.93,6.8028832443182e-06,"-5.93","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EPHA4",NA,-0.0226,0.950706955880395,"-0.02","0.951",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EPHA7",NA,-0.602,0.106406939512402,"-0.60","0.106",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERAP1",NA,0.655,0.19902850682021,"0.66","0.199",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERBB2",NA,0.627,0.37945934617529,"0.63","0.379",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERC2",NA,-0.723,0.463170123645039,"-0.72","0.463",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERCC8",NA,-0.913,0.654553840899231,"-0.91","0.655",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERP44",NA,0.421,0.12408974703992,"0.42","0.124",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERRFI1",NA,-6.01,1.83837025400723e-06,"-6.01","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ESRRA",NA,0.735,0.00765585252990881,"0.73","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ETAA1",NA,-3.45,1.34660732050555e-05,"-3.45","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EVI5",NA,-0.266,0.646865288411383,"-0.27","0.647",FALSE,FALSE,FALSE,FALSE,"NS",NA
"F13A1",NA,4.46,0.00929946765235453,"4.46","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"F5",NA,1.69,0.00128026570604705,"1.69","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"FAAP100",NA,1.5,0.124432042100102,"1.50","0.124",FALSE,TRUE,FALSE,FALSE,"NS",NA
