"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"EHD3",NA,-4.33,0.00861711478506512,"-4.33","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EIF1",NA,-0.205,0.882707492038362,"-0.20","0.883",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EIF1B",NA,-0.27,0.748014723556899,"-0.27","0.748",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EIF3C","Translation/Ribosome",-0.334,0.913491807016056,"-0.33","0.913",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EIF4ENIF1",NA,0.199,0.814570197290198,"0.20","0.815",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EIF5",NA,0.228,0.6952864550978,"0.23","0.695",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ELOF1",NA,-0.727,0.764103033957366,"-0.73","0.764",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ELOVL1",NA,0.183,0.989223508332373,"0.18","0.989",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ELOVL5",NA,3.03,0.134659093779084,"3.03","0.135",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ENDOD1",NA,0.0161,0.994468912352257,"0.02","0.994",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ENKD1",NA,1.34,0.0858385815822363,"1.34","0.086",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ENTPD6",NA,4.76,9.80850066045656e-06,"4.76","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ENTR1",NA,-5.85,1.76891369148295e-05,"-5.85","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"EPHA4",NA,0.168,0.796051815349783,"0.17","0.796",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EPHA7",NA,0.0514,0.977121738672114,"0.05","0.977",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERAP1",NA,0.254,0.856942496058738,"0.25","0.857",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERBB2",NA,0.319,0.866697009838121,"0.32","0.867",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERC2",NA,4.72,4.4085024763743e-05,"4.72","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ERCC8",NA,-0.656,0.89817155810144,"-0.66","0.898",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERP44",NA,-0.126,0.872206376670538,"-0.13","0.872",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ERRFI1",NA,-0.372,0.896947261710406,"-0.37","0.897",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ESRRA",NA,0.516,0.209656413381676,"0.52","0.210",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ETAA1",NA,0.0956,0.973348679606647,"0.10","0.973",FALSE,FALSE,FALSE,FALSE,"NS",NA
"EVI5",NA,0.101,0.961298129731124,"0.10","0.961",FALSE,FALSE,FALSE,FALSE,"NS",NA
"F13A1",NA,5.09,0.0144317122175369,"5.09","0.014",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"F5",NA,0.23,0.86138831897091,"0.23","0.861",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FAAP100",NA,-0.556,0.828980407580494,"-0.56","0.829",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FAM174A",NA,-4.1,1.12937713391543e-06,"-4.10","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"FAM174B",NA,5.87,7.87266721189218e-05,"5.87","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"FAM199X",NA,2.65,0.251034290877922,"2.65","0.251",FALSE,TRUE,FALSE,FALSE,"NS",NA
"FAM234B",NA,0.432,0.30676260382534,"0.43","0.307",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FAM3C",NA,1.17,0.0238610791020397,"1.17","0.024",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"FAM89A",NA,0.468,0.591814602373733,"0.47","0.592",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FANCE",NA,0.0404,0.984569478679405,"0.04","0.985",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FAT1",NA,0.246,0.943688664665929,"0.25","0.944",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FBLIM1",NA,-0.361,0.842189953945838,"-0.36","0.842",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FBRSL1",NA,0.45,0.408580733950164,"0.45","0.409",FALSE,FALSE,FALSE,FALSE,"NS",NA
"FBXO2",NA,5.43,0.0289323988560834,"5.43","0.029",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"FBXO46",NA,-3.8,0.0280025546475822,"-3.80","0.028",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"FDX2",NA,2.23,0.626367867194918,"2.23","0.626",FALSE,TRUE,FALSE,FALSE,"NS",NA
