"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"PC 38:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.21669603,0.246
"PC 38:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.132846473,0.279
"PC 38:4","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.416107168,0.122
"PC 38:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.729236114,0.0556
"PC 38:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.044439598,0.337
"PC 38:7","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.662264323,-0.0861
"PC 40:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.153018041,0.178
"PC 40:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.346831981,0.183
"PC 40:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.329151486,0.126
"PC 40:4","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.979552083,0.00399
"PC 40:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.036290974,0.316
"PC 40:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.113513515,0.155
"PC 40:7","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.833602757,-0.0274
"PC 42:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.824564944,0.0309
"PC 42:1","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.080146913,0.213
"PC 42:10","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.512585679,0.0864
"PC 42:11","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.055229275,0.26
"PC 42:2","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.01415634,0.299
"PC 42:3","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.740154939,0.0422
"PC 42:4","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.670334727,-0.0456
"PC 42:5","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.392316346,0.0851
"PC 42:6","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.122557596,0.21
"PC 42:7","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.406372501,0.113
"PC 42:8","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.652004678,-0.045
"PC 42:9","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.651839522,-0.072
"PC 44:0","PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.403508167,0.0702
