"ContrastID","Contrast","ComparisonType","Class","Direction","EnrichedIn","Count","SignedCount"
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PS","Down","WT 200",1,-1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PS","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PS ether","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","PS ether","Up","RDH12 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","SM","Down","WT 200",0,0
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","SM","Up","RDH12 200",1,1
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","TG","Down","WT 200",5,-5
"RDH12_200_vs_Control_200","RDH12 200 vs WT 200","RDH12 vs WT matched dose","TG","Up","RDH12 200",1,1
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","CE","Down","RDH12 100",1,-1
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","CE","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","Cer","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","Cer","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","DG","Down","RDH12 100",2,-2
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","DG","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","LPC","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","LPC","Up","RDH12 200",1,1
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","LPE","Down","RDH12 100",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","LPE","Up","RDH12 200",0,0
"RDH12_200_vs_RDH12_100","RDH12 200 vs RDH12 100","Dose-to-dose context","Other","Down","RDH12 100",0,0
