"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"B4GALT7",0.911,0.903,0.9,0.9,"0.9","0.90","NS",NA
"B9D1",4.28,0.342,4.3,0.34,"4.3","0.34","NS",NA
"BACE1",-7.66,0.269,-7.7,0.27,"-7.7","0.27","NS",NA
"BACH2",1.88,0.843,1.9,0.84,"1.9","0.84","NS",NA
"BAD",-0.151,0.967,-0.2,0.97,"-0.2","0.97","NS",NA
"BAG1",-1.38,0.693,-1.4,0.69,"-1.4","0.69","NS",NA
"BAG4",-1.35,0.858,-1.4,0.86,"-1.4","0.86","NS",NA
"BAMBI",-4.62,0.606,-4.6,0.61,"-4.6","0.61","NS",NA
"BCAT1",-2.65,0.733,-2.6,0.73,"-2.6","0.73","NS",NA
"BCKDHB",-1.07,0.872,-1.1,0.87,"-1.1","0.87","NS",NA
"BCKDK",1.68,0.0945,1.7,0.09,"1.7","0.09","NS",NA
"BCL10",-0.399,0.96,-0.4,0.96,"-0.4","0.96","NS",NA
"BCL11B",0.47,0.955,0.5,0.96,"0.5","0.96","NS",NA
"BCL2",1.61,0.77,1.6,0.77,"1.6","0.77","NS",NA
"BCL2L1",1.61,0.846,1.6,0.85,"1.6","0.85","NS",NA
"BCL2L12",0.514,0.964,0.5,0.96,"0.5","0.96","NS",NA
"BCL9L",0.135,0.967,0.1,0.97,"0.1","0.97","NS",NA
"BCOR",1.25,0.563,1.2,0.56,"1.2","0.56","NS",NA
"BDH1",4.3,0.924,4.3,0.92,"4.3","0.92","NS",NA
"BIN1",-0.681,0.937,-0.7,0.94,"-0.7","0.94","NS",NA
"BIRC2",-0.132,0.965,-0.1,0.96,"-0.1","0.96","NS",NA
"BLM",0.46,0.919,0.5,0.92,"0.5","0.92","NS",NA
"BLOC1S1",-1.13,0.911,-1.1,0.91,"-1.1","0.91","NS",NA
"BLOC1S4",-0.753,0.918,-0.8,0.92,"-0.8","0.92","NS",NA
"BLOC1S6",-1.18,0.926,-1.2,0.93,"-1.2","0.93","NS",NA
"BMP2",1.77,0.958,1.8,0.96,"1.8","0.96","NS",NA
"BMP4",-7.49,0.0757,-7.5,0.08,"-7.5","0.08","NS",NA
"BMPR1A",0.82,0.963,0.8,0.96,"0.8","0.96","NS",NA
"BMPR2",0.211,0.969,0.2,0.97,"0.2","0.97","NS",NA
"BNIP3",2.85,0.94,2.9,0.94,"2.9","0.94","NS",NA
"BOD1",0.462,0.961,0.5,0.96,"0.5","0.96","NS",NA
"BOLA2B",-1.54,0.443,-1.5,0.44,"-1.5","0.44","NS",NA
"BORCS6",1.36,0.741,1.4,0.74,"1.4","0.74","NS",NA
"BPGM",-3.05,0.00438,-3,0,"-3.0","<0.01","Down",NA
"BPHL",1.06,0.806,1.1,0.81,"1.1","0.81","NS",NA
"BPNT2",0.0336,0.969,0,0.97,"0.0","0.97","NS",NA
"BRI3",-6.01,0.00221,-6,0,"-6.0","<0.01","Down",NA
"BRI3BP",-0.331,0.944,-0.3,0.94,"-0.3","0.94","NS",NA
"BRWD1",2.89,0.073,2.9,0.07,"2.9","0.07","NS",NA
"BRWD3",1.04,0.896,1,0.9,"1.0","0.90","NS",NA
"BSN",-0.759,0.947,-0.8,0.95,"-0.8","0.95","NS",NA
"BTBD2",1.25,0.739,1.2,0.74,"1.2","0.74","NS",NA
