"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CARMIL1",-0.255,0.909,-0.3,0.91,"-0.3","0.91","NS",NA
"CARMIL2",-0.569,0.618,-0.6,0.62,"-0.6","0.62","NS",NA
"CAST",-0.645,0.706,-0.6,0.71,"-0.6","0.71","NS",NA
"CASTOR2",0.201,0.961,0.2,0.96,"0.2","0.96","NS",NA
"CBR1",-0.277,0.926,-0.3,0.93,"-0.3","0.93","NS",NA
"CBX7",0.553,0.952,0.6,0.95,"0.6","0.95","NS",NA
"CBY1",-0.649,0.438,-0.6,0.44,"-0.6","0.44","NS",NA
"CCDC106",-0.374,0.642,-0.4,0.64,"-0.4","0.64","NS",NA
"CCDC120",7.21,5.28e-14,7.2,0,"7.2","<0.01","Up",NA
"CCDC124",-0.444,0.88,-0.4,0.88,"-0.4","0.88","NS",NA
"CCDC138",-0.591,0.955,-0.6,0.96,"-0.6","0.96","NS",NA
"CCDC158",0.00562,0.972,0,0.97,"0.0","0.97","NS",NA
"CCDC174",-0.459,0.582,-0.5,0.58,"-0.5","0.58","NS",NA
"CCDC18",-0.303,0.91,-0.3,0.91,"-0.3","0.91","NS",NA
"CCDC186",-0.415,0.29,-0.4,0.29,"-0.4","0.29","NS",NA
"CCDC28A",-0.805,0.49,-0.8,0.49,"-0.8","0.49","NS",NA
"CCDC28B",-0.385,0.946,-0.4,0.95,"-0.4","0.95","NS",NA
"CCDC43",-0.29,0.896,-0.3,0.9,"-0.3","0.90","NS",NA
"CCDC6",-0.584,0.536,-0.6,0.54,"-0.6","0.54","NS",NA
"CCDC82",-0.318,0.967,-0.3,0.97,"-0.3","0.97","NS",NA
"CCK",0.101,0.969,0.1,0.97,"0.1","0.97","NS",NA
"CCN1",0.0961,0.968,0.1,0.97,"0.1","0.97","NS",NA
"CCN2",-5.73,1.69e-10,-5.7,0,"-5.7","<0.01","Down",NA
"CCNQ",-4.43,0.00392,-4.4,0,"-4.4","<0.01","Down",NA
"CCNYL1",-0.0228,0.971,0,0.97,"-0.0","0.97","NS",NA
"CCPG1",-0.373,0.824,-0.4,0.82,"-0.4","0.82","NS",NA
"CD151",0.0935,0.962,0.1,0.96,"0.1","0.96","NS",NA
"CD2AP",-0.305,0.81,-0.3,0.81,"-0.3","0.81","NS",NA
"CD40",-4.17,0.0317,-4.2,0.03,"-4.2","0.03","Down",NA
"CD81",0.035,0.969,0,0.97,"0.0","0.97","NS",NA
"CD83",-1.66,0.0952,-1.7,0.1,"-1.7","0.10","NS",NA
"CD84",-5.23,1.53e-06,-5.2,0,"-5.2","<0.01","Down",NA
"CD9",0.0126,0.972,0,0.97,"0.0","0.97","NS",NA
"CD99",5.57,0.000537,5.6,0,"5.6","<0.01","Up",NA
"CDC123",-0.0236,0.968,0,0.97,"-0.0","0.97","NS",NA
"CDC16",0.33,0.957,0.3,0.96,"0.3","0.96","NS",NA
"CDC37",-0.321,0.801,-0.3,0.8,"-0.3","0.80","NS",NA
"CDC42EP1",-0.3,0.858,-0.3,0.86,"-0.3","0.86","NS",NA
"CDC42EP4",-0.341,0.854,-0.3,0.85,"-0.3","0.85","NS",NA
"CDCA7L",-0.302,0.704,-0.3,0.7,"-0.3","0.70","NS",NA
"CDK11A",0.0482,0.971,0,0.97,"0.0","0.97","NS",NA
"CDK16",0.105,0.964,0.1,0.96,"0.1","0.96","NS",NA
"CDK19",0.0011,0.972,0,0.97,"0.0","0.97","NS",NA
"CDKN1A",-0.343,0.854,-0.3,0.85,"-0.3","0.85","NS",NA
"CDKN2A",-0.183,0.909,-0.2,0.91,"-0.2","0.91","NS",NA
"CDT1",-0.449,0.576,-0.4,0.58,"-0.4","0.58","NS",NA
"CDV3",-0.578,0.813,-0.6,0.81,"-0.6","0.81","NS",NA
"CEBPZOS",-0.31,0.932,-0.3,0.93,"-0.3","0.93","NS",NA
"CENPF",-0.485,0.557,-0.5,0.56,"-0.5","0.56","NS",NA
"CENPW",-0.0504,0.968,-0.1,0.97,"-0.1","0.97","NS",NA
"CEP170",-0.11,0.951,-0.1,0.95,"-0.1","0.95","NS",NA
"CEP170B",-0.194,0.902,-0.2,0.9,"-0.2","0.90","NS",NA
"CEP41",-0.174,0.901,-0.2,0.9,"-0.2","0.90","NS",NA
"CEP63",-0.166,0.961,-0.2,0.96,"-0.2","0.96","NS",NA
"CEP68",-0.241,0.95,-0.2,0.95,"-0.2","0.95","NS",NA
"CEP85",-0.627,0.433,-0.6,0.43,"-0.6","0.43","NS",NA
"CEP85L",0.299,0.955,0.3,0.96,"0.3","0.96","NS",NA
"CES3",0.324,0.848,0.3,0.85,"0.3","0.85","NS",NA
"CFAP298",-0.412,0.344,-0.4,0.34,"-0.4","0.34","NS",NA
"CFAP97",-0.543,0.592,-0.5,0.59,"-0.5","0.59","NS",NA
"CFDP1",-0.202,0.944,-0.2,0.94,"-0.2","0.94","NS",NA
"CFL1",-0.139,0.924,-0.1,0.92,"-0.1","0.92","NS",NA
"CHCHD4",0.444,0.945,0.4,0.94,"0.4","0.94","NS",NA
"CHKA",-1.21,0.875,-1.2,0.88,"-1.2","0.88","NS",NA
"CHMP4A",-0.396,0.891,-0.4,0.89,"-0.4","0.89","NS",NA
"CHMP4C",-0.384,0.847,-0.4,0.85,"-0.4","0.85","NS",NA
"CHN1",1.79,0.0933,1.8,0.09,"1.8","0.09","NS",NA
"CHORDC1",-0.155,0.94,-0.2,0.94,"-0.2","0.94","NS",NA
"CHPF",-0.228,0.967,-0.2,0.97,"-0.2","0.97","NS",NA
"CHPF2",0.528,0.945,0.5,0.94,"0.5","0.94","NS",NA
"CHSY1",0.186,0.922,0.2,0.92,"0.2","0.92","NS",NA
"CHURC1",-0.303,0.721,-0.3,0.72,"-0.3","0.72","NS",NA
"CILP",0.874,0.138,0.9,0.14,"0.9","0.14","NS",NA
"CIRBP",-0.00959,0.971,0,0.97,"-0.0","0.97","NS",NA
"CISD1",0.117,0.941,0.1,0.94,"0.1","0.94","NS",NA
"CKB",-0.805,0.596,-0.8,0.6,"-0.8","0.60","NS",NA
"CKS1B",-0.375,0.766,-0.4,0.77,"-0.4","0.77","NS",NA
"CKS2",-0.481,0.356,-0.5,0.36,"-0.5","0.36","NS",NA
"CLASP2",0.0385,0.966,0,0.97,"0.0","0.97","NS",NA
"CLCN3",-0.0772,0.969,-0.1,0.97,"-0.1","0.97","NS",NA
"CLDND1",-0.0542,0.969,-0.1,0.97,"-0.1","0.97","NS",NA
"CLIP1",-0.531,0.79,-0.5,0.79,"-0.5","0.79","NS",NA
"CLK3",0.211,0.891,0.2,0.89,"0.2","0.89","NS",NA
"CLN6",0.0388,0.971,0,0.97,"0.0","0.97","NS",NA
"CLOCK",-0.147,0.968,-0.1,0.97,"-0.1","0.97","NS",NA
"CLTCL1",0.186,0.963,0.2,0.96,"0.2","0.96","NS",NA
"CLU",-0.0885,0.957,-0.1,0.96,"-0.1","0.96","NS",NA
"CMBL",-0.517,0.683,-0.5,0.68,"-0.5","0.68","NS",NA
"CMTM6",-1,0.932,-1,0.93,"-1.0","0.93","NS",NA
"CNBP",0.235,0.962,0.2,0.96,"0.2","0.96","NS",NA
"CNEP1R1",4.75,1.71e-05,4.8,0,"4.8","<0.01","Up",NA
"CNN2",-0.275,0.816,-0.3,0.82,"-0.3","0.82","NS",NA
"CNN3",-0.252,0.783,-0.3,0.78,"-0.3","0.78","NS",NA
"CNOT3",-0.304,0.853,-0.3,0.85,"-0.3","0.85","NS",NA
"CNOT4",-0.126,0.938,-0.1,0.94,"-0.1","0.94","NS",NA
"CNOT8",0.171,0.95,0.2,0.95,"0.2","0.95","NS",NA
"CNOT9",-0.0723,0.965,-0.1,0.96,"-0.1","0.96","NS",NA
"CNRIP1",-0.181,0.921,-0.2,0.92,"-0.2","0.92","NS",NA
"COCH",-2.7,0.0434,-2.7,0.04,"-2.7","0.04","Down",NA
"COL1A1",-0.0808,0.967,-0.1,0.97,"-0.1","0.97","NS",NA
"COL4A6",-0.221,0.856,-0.2,0.86,"-0.2","0.86","NS",NA
"COLEC12",-0.735,0.00624,-0.7,0.01,"-0.7","<0.01","Down",NA
"COMMD3",-0.0705,0.962,-0.1,0.96,"-0.1","0.96","NS",NA
"COMMD5",0.00943,0.972,0,0.97,"0.0","0.97","NS",NA
"COMMD6",-0.253,0.908,-0.3,0.91,"-0.3","0.91","NS",NA
"COMMD8",-0.327,0.948,-0.3,0.95,"-0.3","0.95","NS",NA
"COMMD9",-0.235,0.747,-0.2,0.75,"-0.2","0.75","NS",NA
"COPS5",-0.358,0.822,-0.4,0.82,"-0.4","0.82","NS",NA
"COQ5",0.183,0.908,0.2,0.91,"0.2","0.91","NS",NA
"COQ6",-0.139,0.97,-0.1,0.97,"-0.1","0.97","NS",NA
"COQ9",-0.113,0.948,-0.1,0.95,"-0.1","0.95","NS",NA
"COX6A1",0.387,0.929,0.4,0.93,"0.4","0.93","NS",NA
"COX7A2L",-0.245,0.86,-0.2,0.86,"-0.2","0.86","NS",NA
"CPNE8",-0.326,0.336,-0.3,0.34,"-0.3","0.34","NS",NA
"CPT2",0.129,0.949,0.1,0.95,"0.1","0.95","NS",NA
"CRABP2",-0.42,0.934,-0.4,0.93,"-0.4","0.93","NS",NA
"CRBN",0.107,0.964,0.1,0.96,"0.1","0.96","NS",NA
"CREB1",0.112,0.953,0.1,0.95,"0.1","0.95","NS",NA
"CREM",-4.04,0.0169,-4,0.02,"-4.0","0.02","Down",NA
"CRIM1",0.141,0.961,0.1,0.96,"0.1","0.96","NS",NA
"CRK",0.094,0.94,0.1,0.94,"0.1","0.94","NS",NA
"CRKL",-0.286,0.825,-0.3,0.82,"-0.3","0.82","NS",NA
"CRYGD",-1.64,0.0036,-1.6,0,"-1.6","<0.01","Down",NA
"CS",0.344,0.782,0.3,0.78,"0.3","0.78","NS",NA
"CSNK1G2",-0.047,0.969,0,0.97,"-0.0","0.97","NS",NA
"CSNK2A1",-0.179,0.906,-0.2,0.91,"-0.2","0.91","NS",NA
"CSPG4",-0.0169,0.972,0,0.97,"-0.0","0.97","NS",NA
"CSPG5",-6.55,2.21e-07,-6.6,0,"-6.6","<0.01","Down",NA
