"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"BMPR1A",5.73,0.00594,5.7,0.01,"5.7","<0.01","Up",NA
"BMPR2",5.03,0.0422,5,0.04,"5.0","0.04","Up",NA
"BNIP3",3.99,0.115,4,0.12,"4.0","0.12","NS",NA
"BOD1",-1.24,0.173,-1.2,0.17,"-1.2","0.17","NS",NA
"BOLA2B",-1.35,0.00152,-1.4,0,"-1.4","<0.01","Down",NA
"BORCS6",-0.553,0.224,-0.6,0.22,"-0.6","0.22","NS",NA
"BPGM",-3.45,3.36e-14,-3.5,0,"-3.5","<0.01","Down",NA
"BPHL",1.24,0.0065,1.2,0.01,"1.2","<0.01","Up",NA
"BPNT2",0.52,0.217,0.5,0.22,"0.5","0.22","NS",NA
"BRI3",0.326,0.435,0.3,0.44,"0.3","0.44","NS",NA
"BRI3BP",1.03,0.00172,1,0,"1.0","<0.01","Up",NA
"BRWD1",2.27,1.72e-05,2.3,0,"2.3","<0.01","Up",NA
"BRWD3",-0.136,0.481,-0.1,0.48,"-0.1","0.48","NS",NA
"BSN",-0.842,0.239,-0.8,0.24,"-0.8","0.24","NS",NA
"BTBD2",1.72,0.000154,1.7,0,"1.7","<0.01","Up",NA
"BTBD8",-1.29,0.0358,-1.3,0.04,"-1.3","0.04","Down",NA
"BTBD9",0.969,0.473,1,0.47,"1.0","0.47","NS",NA
"BTF3",-2.05,0.0348,-2,0.03,"-2.0","0.03","Down",NA
"BTF3L4",-2.37,0.0184,-2.4,0.02,"-2.4","0.02","Down",NA
"C11orf54",-1.85,0.0479,-1.9,0.05,"-1.9","0.05","Down",NA
"C1orf122",-2.27,0.018,-2.3,0.02,"-2.3","0.02","Down",NA
"C1orf159",0.2,0.482,0.2,0.48,"0.2","0.48","NS",NA
"C1orf198",-1.09,0.0452,-1.1,0.05,"-1.1","0.05","Down",NA
"C1orf43",-1.01,0.0268,-1,0.03,"-1.0","0.03","Down",NA
"C1orf50",-2.11,0.000694,-2.1,0,"-2.1","<0.01","Down",NA
"C1orf52",-2.28,0.0296,-2.3,0.03,"-2.3","0.03","Down",NA
"C2orf49",-1.15,0.0263,-1.1,0.03,"-1.1","0.03","Down",NA
"C4A",7.36,1.1e-06,7.4,0,"7.4","<0.01","Up",NA
"C4BPA",2.05,0.262,2,0.26,"2.0","0.26","NS",NA
"C6orf89",5.09,5.67e-06,5.1,0,"5.1","<0.01","Up",NA
"C8orf88",-3.73,0.0856,-3.7,0.09,"-3.7","0.09","NS",NA
"C9orf40",-1.57,0.117,-1.6,0.12,"-1.6","0.12","NS",NA
"C9orf72",3.11,0.304,3.1,0.3,"3.1","0.30","NS",NA
"C9orf78",-1.37,0.0182,-1.4,0.02,"-1.4","0.02","Down",NA
"CAAP1",-1.32,0.00143,-1.3,0,"-1.3","<0.01","Down",NA
"CABIN1",5.34,0.00776,5.3,0.01,"5.3","<0.01","Up",NA
"CABLES1",5.71,1.06e-08,5.7,0,"5.7","<0.01","Up",NA
